Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lori Campbell,Bardish Chagger,Erika Traub,Kirsten Wright,Jerry Zhang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 1","Waterloo",10,92,3,17,123,2,247,474
35112,"Waterloo/Waterloo"," 2A","Waterloo",20,66,2,11,62,0,161,307
35112,"Waterloo/Waterloo"," 2B","Waterloo",11,78,0,7,57,0,153,313
35112,"Waterloo/Waterloo"," 3","Waterloo",24,64,1,9,39,4,141,203
35112,"Waterloo/Waterloo"," 4","Waterloo",35,108,2,23,62,2,232,472
35112,"Waterloo/Waterloo"," 5","Waterloo",38,129,5,29,72,4,277,488
35112,"Waterloo/Waterloo"," 6","Waterloo",18,88,4,18,71,1,200,399
35112,"Waterloo/Waterloo"," 7","Waterloo",18,104,6,11,49,2,190,344
35112,"Waterloo/Waterloo"," 8","Waterloo",26,159,3,24,62,0,274,490
35112,"Waterloo/Waterloo"," 9","Waterloo",27,113,3,21,89,2,255,486
35112,"Waterloo/Waterloo"," 10","Waterloo",23,118,0,15,84,0,240,467
35112,"Waterloo/Waterloo"," 11","Waterloo",25,114,1,29,65,0,234,401
35112,"Waterloo/Waterloo"," 12","Waterloo",36,136,5,31,77,4,289,460
35112,"Waterloo/Waterloo"," 13","Waterloo",36,102,1,21,61,2,223,421
35112,"Waterloo/Waterloo"," 14","Waterloo",52,110,4,36,49,0,251,529
35112,"Waterloo/Waterloo"," 15","Waterloo",15,91,2,18,67,0,193,364
35112,"Waterloo/Waterloo"," 16","Waterloo",20,111,13,18,82,3,247,433
35112,"Waterloo/Waterloo"," 17","Waterloo",21,112,5,27,103,1,269,450
35112,"Waterloo/Waterloo"," 18","Waterloo",23,122,1,26,102,0,274,493
35112,"Waterloo/Waterloo"," 19","Waterloo",14,93,5,22,71,0,205,416
35112,"Waterloo/Waterloo"," 20","Waterloo",36,107,5,23,87,2,260,400
35112,"Waterloo/Waterloo"," 21","Waterloo",25,106,4,14,52,0,201,337
35112,"Waterloo/Waterloo"," 22","Waterloo",31,66,3,23,57,4,184,322
