Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Dias,Todd McCarthy,Mirko Pejic,Paul Slavchenko,Ryan Turnbull,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Whitby/Whitby"," 1","Whitby",31,109,4,15,65,2,226,431
35114,"Whitby/Whitby"," 2","Whitby",33,132,3,17,93,1,279,532
35114,"Whitby/Whitby"," 3","Whitby",17,86,3,11,52,2,171,363
35114,"Whitby/Whitby"," 4","Whitby",49,121,2,11,134,0,317,606
35114,"Whitby/Whitby"," 5","Whitby",40,131,9,21,114,1,316,602
35114,"Whitby/Whitby"," 6","Whitby",27,129,4,14,116,0,290,487
35114,"Whitby/Whitby"," 7","Whitby",47,111,2,21,147,0,328,565
35114,"Whitby/Whitby"," 8","Whitby",47,146,1,22,147,0,363,646
35114,"Whitby/Whitby"," 9","Whitby",32,113,7,9,115,2,278,474
35114,"Whitby/Whitby"," 10","Whitby",19,90,5,14,113,0,241,425
35114,"Whitby/Whitby"," 11","Whitby",40,109,1,8,108,0,266,427
35114,"Whitby/Whitby"," 12","Whitby",35,91,4,5,90,0,225,388
35114,"Whitby/Whitby"," 13","Whitby",46,97,2,14,98,1,258,459
35114,"Whitby/Whitby"," 14","Whitby",32,111,7,11,83,0,244,552
35114,"Whitby/Whitby"," 15","Whitby",23,120,6,13,103,0,265,552
35114,"Whitby/Whitby"," 16","Whitby",35,98,5,12,114,1,265,479
35114,"Whitby/Whitby"," 17","Whitby",36,77,5,10,108,1,237,440
35114,"Whitby/Whitby"," 18","Whitby",19,114,4,18,94,1,250,474
35114,"Whitby/Whitby"," 19","Whitby",51,105,8,18,133,0,315,600
35114,"Whitby/Whitby"," 20","Whitby",34,97,3,7,70,0,211,474
35114,"Whitby/Whitby"," 21","Whitby",36,116,2,12,121,0,287,529
35114,"Whitby/Whitby"," 22","Whitby",24,111,0,12,125,3,275,502
35114,"Whitby/Whitby"," 23","Whitby",39,98,3,9,123,2,274,534
35114,"Whitby/Whitby"," 24","Whitby",44,110,0,18,91,0,263,501
35114,"Whitby/Whitby"," 25","Whitby",36,104,0,17,92,1,250,492
35114,"Whitby/Whitby"," 26","Whitby",31,101,2,14,59,2,209,459
35114,"Whitby/Whitby"," 27","Whitby",54,103,1,13,86,1,258,466
35114,"Whitby/Whitby"," 28","Whitby",41,76,3,9,96,1,226,529
35114,"Whitby/Whitby"," 29","Whitby",25,78,1,9,79,0,192,394
35114,"Whitby/Whitby"," 30","Whitby",38,79,3,12,101,2,235,439
35114,"Whitby/Whitby"," 31","Whitby",31,56,2,9,73,0,171,320
35114,"Whitby/Whitby"," 32","Whitby",30,62,2,13,60,0,167,366
35114,"Whitby/Whitby"," 33","Whitby",18,57,3,9,53,0,140,337
35114,"Whitby/Whitby"," 34","Whitby",16,74,2,15,41,0,148,368
35114,"Whitby/Whitby"," 35","Whitby",12,64,4,3,61,1,145,368
35114,"Whitby/Whitby"," 36","Whitby",30,92,5,14,90,0,231,494
35114,"Whitby/Whitby"," 37","Whitby",26,74,6,0,102,0,208,432
35114,"Whitby/Whitby"," 38","Whitby",53,110,6,20,126,9,324,563
35114,"Whitby/Whitby"," 39","Whitby",53,88,3,15,143,1,303,590
35114,"Whitby/Whitby"," 40","Whitby",45,62,4,10,111,1,233,419
35114,"Whitby/Whitby"," 41","Whitby",40,86,1,15,139,1,282,582
