Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Birinder Singh Ahluwalia,Ali Ehsassi,Richard Hillier,Leah Kalsi,Daniel Lee,Sharolyn Vettese,Shodja Ziaian,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35115,"Willowdale/Willowdale"," 1","North York",1,108,0,12,63,4,0,1,189,547
35115,"Willowdale/Willowdale"," 2","North York",0,119,0,12,110,15,1,1,258,552
35115,"Willowdale/Willowdale"," 3","North York",2,84,4,9,68,8,0,1,176,336
35115,"Willowdale/Willowdale"," 4","North York",0,78,3,11,78,3,0,4,177,358
35115,"Willowdale/Willowdale"," 5","North York",2,82,2,24,68,5,1,2,186,514
35115,"Willowdale/Willowdale"," 6","North York",0,94,0,17,67,15,1,3,197,547
35115,"Willowdale/Willowdale"," 7","North York",1,94,1,25,81,6,0,4,212,552
35115,"Willowdale/Willowdale"," 8","North York",1,87,2,15,100,5,0,5,215,603
35115,"Willowdale/Willowdale"," 9","North York",3,101,0,16,60,4,0,2,186,433
35115,"Willowdale/Willowdale"," 10","North York",0,110,4,16,76,11,1,2,220,541
35115,"Willowdale/Willowdale"," 11","North York",3,141,2,23,67,11,0,1,248,638
35115,"Willowdale/Willowdale"," 12","North York",2,124,2,15,101,4,0,3,251,535
35115,"Willowdale/Willowdale"," 13","North York",0,83,4,14,42,4,0,4,151,349
35115,"Willowdale/Willowdale"," 14","North York",0,81,3,10,59,5,0,6,164,392
35115,"Willowdale/Willowdale"," 15","North York",0,60,1,6,46,8,0,6,127,348
35115,"Willowdale/Willowdale"," 16","North York",1,67,0,20,71,3,0,1,163,393
35115,"Willowdale/Willowdale"," 17","North York",6,108,6,16,95,6,1,3,241,567
35115,"Willowdale/Willowdale"," 18","North York",3,50,2,14,63,3,0,0,135,320
35115,"Willowdale/Willowdale"," 19","North York",1,83,1,21,87,10,0,0,203,550
35115,"Willowdale/Willowdale"," 20","North York",1,53,1,16,62,2,0,2,137,347
35115,"Willowdale/Willowdale"," 21","North York",0,73,4,5,76,0,0,3,161,457
35115,"Willowdale/Willowdale"," 22","North York",0,68,2,21,82,4,0,2,179,409
35115,"Willowdale/Willowdale"," 23","North York",1,38,2,13,45,5,1,3,108,331
35115,"Willowdale/Willowdale"," 24","North York",0,136,1,16,80,13,0,3,249,536
35115,"Willowdale/Willowdale"," 25","North York",3,94,4,15,108,10,0,9,243,575
35115,"Willowdale/Willowdale"," 26","North York",0,107,2,18,74,4,0,2,207,479
35115,"Willowdale/Willowdale"," 27","North York",0,84,3,31,46,9,0,3,176,456
35115,"Willowdale/Willowdale"," 28","North York",0,81,3,13,52,5,0,3,157,474
35115,"Willowdale/Willowdale"," 29","North York",0,79,4,15,67,6,0,1,172,508
35115,"Willowdale/Willowdale"," 30","North York",1,60,1,21,33,5,0,2,123,406
35115,"Willowdale/Willowdale"," 31","North York",3,75,5,27,74,6,0,3,193,558
35115,"Willowdale/Willowdale"," 32","North York",2,120,2,30,80,4,0,0,238,566
35115,"Willowdale/Willowdale"," 33","North York",2,86,0,9,80,4,0,2,183,457
35115,"Willowdale/Willowdale"," 34","North York",1,71,3,19,71,9,0,2,176,486
35115,"Willowdale/Willowdale"," 35","North York",1,79,0,12,70,13,0,0,175,588
35115,"Willowdale/Willowdale"," 36","North York",1,73,2,30,60,5,0,1,172,595
35115,"Willowdale/Willowdale"," 37","North York",1,67,5,31,92,6,0,2,204,583
35115,"Willowdale/Willowdale"," 38","North York",0,50,0,14,69,7,1,3,144,423
35115,"Willowdale/Willowdale"," 39","North York",0,75,2,12,82,6,0,2,179,450
35115,"Willowdale/Willowdale"," 40","North York",2,91,3,11,57,8,2,0,174,405
35115,"Willowdale/Willowdale"," 41","North York",1,111,6,27,65,8,0,2,220,449
35115,"Willowdale/Willowdale"," 42","North York",1,55,3,25,79,3,4,1,171,382
35115,"Willowdale/Willowdale"," 43","North York",0,213,9,43,84,8,0,0,357,682
35115,"Willowdale/Willowdale"," 44","North York",1,63,2,14,65,10,0,0,155,526
35115,"Willowdale/Willowdale"," 45","North York",1,76,1,20,57,4,0,4,163,439
35115,"Willowdale/Willowdale"," 46","North York",0,94,3,34,83,5,0,2,221,496
35115,"Willowdale/Willowdale"," 47","North York",2,68,1,19,47,8,1,3,149,323
35115,"Willowdale/Willowdale"," 48","North York",0,102,2,27,57,5,0,3,196,417
35115,"Willowdale/Willowdale"," 49","North York",0,95,2,24,84,8,0,1,214,544
35115,"Willowdale/Willowdale"," 50","North York",2,109,3,14,68,12,0,0,208,516
35115,"Willowdale/Willowdale"," 51","North York",1,90,4,27,73,4,0,3,202,498
35115,"Willowdale/Willowdale"," 52","North York",1,100,6,27,62,4,0,2,202,584
35115,"Willowdale/Willowdale"," 53","North York",0,59,2,10,49,6,0,0,126,439
35115,"Willowdale/Willowdale"," 54","North York",4,124,0,16,39,5,0,6,194,514
35115,"Willowdale/Willowdale"," 55","North York",4,62,1,15,65,2,0,0,149,554
35115,"Willowdale/Willowdale"," 56","North York",1,95,1,28,55,13,1,0,194,548
35115,"Willowdale/Willowdale"," 57","North York",0,89,2,16,94,5,0,0,206,594
35115,"Willowdale/Willowdale"," 58","North York",0,45,1,6,40,1,0,1,94,368
35115,"Willowdale/Willowdale"," 59","North York",1,91,0,25,66,8,1,1,193,409
35115,"Willowdale/Willowdale"," 60","North York",1,72,2,13,55,7,0,1,151,486
35115,"Willowdale/Willowdale"," 61","North York",1,96,0,19,48,5,1,1,171,500
35115,"Willowdale/Willowdale"," 62","North York",0,112,3,25,44,4,0,1,189,551
35115,"Willowdale/Willowdale"," 63","North York",1,70,3,11,61,2,0,0,148,381
35115,"Willowdale/Willowdale"," 64","North York",0,74,1,20,46,12,0,0,153,394
35115,"Willowdale/Willowdale"," 65","North York",1,96,8,17,55,12,0,2,191,504
35115,"Willowdale/Willowdale"," 66","North York",1,98,3,25,89,9,0,8,233,644
35115,"Willowdale/Willowdale"," 67","North York",0,106,2,28,58,11,0,0,205,528
35115,"Willowdale/Willowdale"," 68","North York",0,74,3,10,72,2,0,2,163,487
35115,"Willowdale/Willowdale"," 69","North York",0,81,2,11,98,5,0,0,197,591
35115,"Willowdale/Willowdale"," 70","North York",0,78,0,19,94,8,0,1,200,565
35115,"Willowdale/Willowdale"," 71","North York",0,74,1,15,81,11,0,0,182,545
35115,"Willowdale/Willowdale"," 72","North York",0,75,4,17,54,5,0,0,155,365
35115,"Willowdale/Willowdale"," 73","North York",0,121,2,12,80,9,0,0,224,537
35115,"Willowdale/Willowdale"," 74","North York",0,85,1,33,44,6,0,3,172,412
35115,"Willowdale/Willowdale"," 75","North York",0,74,7,19,55,8,0,3,166,545
35115,"Willowdale/Willowdale"," 76","North York",1,103,3,18,82,10,0,0,217,513
35115,"Willowdale/Willowdale"," 77","North York",2,81,1,17,57,6,0,1,165,432
35115,"Willowdale/Willowdale"," 78","North York",0,87,1,8,65,10,0,1,172,457
35115,"Willowdale/Willowdale"," 79","North York",2,79,3,20,103,4,0,0,211,510
35115,"Willowdale/Willowdale"," 80","North York",0,66,2,6,42,6,0,1,123,368
35115,"Willowdale/Willowdale"," 81","North York",1,70,2,5,81,3,0,4,166,463
35115,"Willowdale/Willowdale"," 82","North York",1,104,5,24,76,8,0,2,220,524
35115,"Willowdale/Willowdale"," 83","North York",0,100,2,19,97,9,1,1,229,510
