Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Giovanni Abati,Dan Burr,Laura Chesnik,Leo Demarce,Cheryl Hardcastle,Irek Kusmierczyk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 1","Tecumseh",9,4,0,82,53,76,0,224,440
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 2","Tecumseh",7,3,2,111,19,85,0,227,398
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 3","Tecumseh",8,0,0,119,39,88,0,254,468
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 4","Tecumseh",15,4,0,57,52,81,0,209,447
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 5","Tecumseh",8,0,0,59,20,63,1,151,429
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 6","Windsor",4,1,1,51,31,83,0,171,331
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 7","Windsor",10,2,1,61,62,78,5,219,446
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 8","Windsor",11,4,1,65,62,88,0,231,416
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 9","Windsor",6,5,1,63,69,94,2,240,405
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 10","Windsor",11,1,1,50,44,83,2,192,376
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 11","Windsor",8,11,0,48,54,56,0,177,402
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 12","Windsor",5,4,0,49,64,79,1,202,341
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 13","Windsor",12,6,0,62,38,82,3,203,432
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 14","Windsor",3,6,0,68,44,84,8,213,429
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 15","Windsor",5,5,0,75,45,70,1,201,402
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 16","Windsor",11,1,0,100,59,76,0,247,500
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 17","Windsor",8,6,0,62,43,62,1,182,382
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 18","Windsor",7,4,0,74,53,97,0,235,422
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 19","Windsor",3,3,0,57,27,75,4,169,412
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 20","Tecumseh",6,6,0,56,60,71,1,200,394
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 21","Tecumseh",4,5,0,81,33,83,1,207,387
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 22","Tecumseh",10,3,0,44,62,76,4,199,397
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 23","Tecumseh",7,4,1,77,43,74,4,210,409
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 24","Tecumseh",12,6,0,90,79,53,1,241,453
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 25","Windsor",4,6,0,53,79,53,0,195,412
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 26","Windsor",8,1,3,42,70,58,4,186,386
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 27","Windsor",9,3,0,44,60,54,1,171,368
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 28","Windsor",16,5,0,63,62,53,1,200,365
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 29","Windsor",12,5,0,39,82,66,2,206,375
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 30","Windsor",5,6,0,41,48,98,0,198,341
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 31","Windsor",7,1,0,38,57,69,0,172,357
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 32","Windsor",9,1,0,34,53,87,0,184,379
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 33","Windsor",5,8,0,50,64,62,0,189,361
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 34","Windsor",14,5,2,44,100,104,1,270,472
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 35","Windsor",9,3,0,60,61,84,2,219,400
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 36","Windsor",4,3,0,67,79,74,3,230,411
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 37","Tecumseh",6,0,1,52,43,74,0,176,336
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 38","Tecumseh",13,6,0,62,80,92,2,255,494
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 39","Tecumseh",10,4,0,59,70,81,1,225,384
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 40","Tecumseh",10,3,1,58,59,97,1,229,414
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 41","Tecumseh",7,4,0,54,53,101,0,219,359
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 42","Tecumseh",9,1,0,88,68,87,0,253,448
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 43","Windsor",8,4,0,56,43,75,1,187,341
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 44","Windsor",13,4,0,46,53,90,0,206,380
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 45","Windsor",27,7,1,52,95,53,0,235,418
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 46","Windsor",4,2,0,62,45,82,1,196,445
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 47","Windsor",4,5,0,43,34,79,1,166,351
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 48","Windsor",9,5,0,67,40,111,0,232,420
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 49","Windsor",5,2,0,66,44,105,0,222,417
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 50","Windsor",4,4,0,67,51,70,0,196,427
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 51","Windsor",8,1,0,76,54,52,1,192,350
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 52","Windsor",3,4,0,55,50,76,3,191,420
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 53","Windsor",6,4,1,86,64,118,5,284,612
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 54","Windsor",18,6,2,42,70,63,2,203,539
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 55","Windsor",8,3,1,20,38,39,3,112,361
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 56","Windsor",7,12,1,29,87,25,1,162,395
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 57","Windsor",13,1,0,80,71,106,1,272,565
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 58","Windsor",10,4,0,48,65,45,1,173,464
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 59","Windsor",8,9,0,47,64,52,1,181,484
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 60","Windsor",6,3,1,49,33,63,0,155,346
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 61","Windsor",8,1,0,71,45,95,0,220,440
