Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ahmed Hussen,Gerard Racine,Jasveen Rattan,Yafet Tewelde,Nicki Ward,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35120,"York South--Weston/York-Sud--Weston"," 1","North York",136,6,53,34,4,0,233,392
35120,"York South--Weston/York-Sud--Weston"," 2","North York",151,4,69,27,13,4,268,492
35120,"York South--Weston/York-Sud--Weston"," 3","North York",98,2,48,32,5,2,187,464
35120,"York South--Weston/York-Sud--Weston"," 4","North York",116,9,68,21,8,0,222,471
35120,"York South--Weston/York-Sud--Weston"," 5","North York",94,10,37,13,4,1,159,317
35120,"York South--Weston/York-Sud--Weston"," 6","North York",96,4,47,37,7,0,191,432
35120,"York South--Weston/York-Sud--Weston"," 7","North York",117,3,55,26,5,0,206,550
35120,"York South--Weston/York-Sud--Weston"," 8","North York",92,3,77,14,8,2,196,360
35120,"York South--Weston/York-Sud--Weston"," 9","North York",112,9,73,19,10,7,230,370
35120,"York South--Weston/York-Sud--Weston"," 10","North York",88,6,56,14,14,2,180,322
35120,"York South--Weston/York-Sud--Weston"," 11","North York",109,6,55,24,3,2,199,499
35120,"York South--Weston/York-Sud--Weston"," 12","North York",80,3,34,12,3,0,132,287
35120,"York South--Weston/York-Sud--Weston"," 13","North York",98,1,58,20,9,3,189,511
35120,"York South--Weston/York-Sud--Weston"," 14","North York",116,3,52,24,8,0,203,476
35120,"York South--Weston/York-Sud--Weston"," 15","North York",127,6,50,11,3,3,200,372
35120,"York South--Weston/York-Sud--Weston"," 16","North York",148,3,53,14,4,3,225,407
35120,"York South--Weston/York-Sud--Weston"," 17","North York",83,6,44,13,5,0,151,291
35120,"York South--Weston/York-Sud--Weston"," 18","North York",121,3,60,23,6,1,214,367
35120,"York South--Weston/York-Sud--Weston"," 19","North York",81,5,45,30,8,2,171,444
35120,"York South--Weston/York-Sud--Weston"," 20","North York",128,2,40,26,1,0,197,484
35120,"York South--Weston/York-Sud--Weston"," 21","North York",97,2,37,20,4,4,164,410
35120,"York South--Weston/York-Sud--Weston"," 22","North York",104,2,35,26,10,3,180,524
35120,"York South--Weston/York-Sud--Weston"," 23","North York",73,1,43,9,5,4,135,331
35120,"York South--Weston/York-Sud--Weston"," 24","North York",126,3,81,59,9,4,282,519
35120,"York South--Weston/York-Sud--Weston"," 25","North York",104,5,49,35,8,2,203,392
35120,"York South--Weston/York-Sud--Weston"," 26","North York",116,5,65,41,9,1,237,444
35120,"York South--Weston/York-Sud--Weston"," 27","North York",106,3,69,49,15,3,245,443
35120,"York South--Weston/York-Sud--Weston"," 28","North York",109,4,60,43,13,0,229,417
35120,"York South--Weston/York-Sud--Weston"," 29","North York",182,6,66,44,10,2,310,607
35120,"York South--Weston/York-Sud--Weston"," 30","North York",137,4,46,48,7,3,245,459
35120,"York South--Weston/York-Sud--Weston"," 31","North York",100,1,40,28,9,4,182,391
35120,"York South--Weston/York-Sud--Weston"," 32","North York",122,3,39,17,1,3,185,378
35120,"York South--Weston/York-Sud--Weston"," 33","North York",119,3,25,26,2,0,175,493
35120,"York South--Weston/York-Sud--Weston"," 34","North York",165,1,31,32,5,3,237,664
35120,"York South--Weston/York-Sud--Weston"," 35","North York",103,2,48,31,5,0,189,411
35120,"York South--Weston/York-Sud--Weston"," 36A","North York",63,5,17,5,6,0,96,233
35120,"York South--Weston/York-Sud--Weston"," 36B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,3
35120,"York South--Weston/York-Sud--Weston"," 37","North York",102,1,53,37,8,0,201,449
35120,"York South--Weston/York-Sud--Weston"," 38","York",100,5,45,61,24,0,235,475
35120,"York South--Weston/York-Sud--Weston"," 39","York",143,6,53,63,21,0,286,509
35120,"York South--Weston/York-Sud--Weston"," 40","York",99,1,50,45,25,0,220,477
35120,"York South--Weston/York-Sud--Weston"," 41","North York",142,1,30,23,6,0,202,550
35120,"York South--Weston/York-Sud--Weston"," 42","North York",109,1,47,32,7,3,199,358
35120,"York South--Weston/York-Sud--Weston"," 43","North York",109,4,70,35,2,4,224,450
35120,"York South--Weston/York-Sud--Weston"," 44","North York",122,2,74,31,4,2,235,556
35120,"York South--Weston/York-Sud--Weston"," 45","North York",177,3,41,51,7,0,279,615
35120,"York South--Weston/York-Sud--Weston"," 46","North York",86,6,27,31,6,1,157,350
35120,"York South--Weston/York-Sud--Weston"," 47","North York",100,1,41,26,7,1,176,448
35120,"York South--Weston/York-Sud--Weston"," 48","North York",113,1,33,19,3,2,171,369
35120,"York South--Weston/York-Sud--Weston"," 49","York",141,3,54,60,13,0,271,469
35120,"York South--Weston/York-Sud--Weston"," 50","York",95,1,45,44,11,3,199,406
35120,"York South--Weston/York-Sud--Weston"," 51","York",103,1,58,29,16,1,208,442
35120,"York South--Weston/York-Sud--Weston"," 52","York",117,1,59,61,5,1,244,473
35120,"York South--Weston/York-Sud--Weston"," 53","York",101,2,32,30,8,0,173,437
35120,"York South--Weston/York-Sud--Weston"," 54","York",89,1,19,34,4,0,147,555
35120,"York South--Weston/York-Sud--Weston"," 55","North York",90,2,54,25,6,1,178,346
35120,"York South--Weston/York-Sud--Weston"," 56","North York",132,5,43,28,4,2,214,444
35120,"York South--Weston/York-Sud--Weston"," 57","North York",106,7,38,34,14,2,201,383
35120,"York South--Weston/York-Sud--Weston"," 58","North York",127,2,48,27,5,0,209,409
35120,"York South--Weston/York-Sud--Weston"," 59","North York",150,2,26,28,4,4,214,614
35120,"York South--Weston/York-Sud--Weston"," 60","York",137,45,15,35,1,0,233,505
35120,"York South--Weston/York-Sud--Weston"," 61","York",107,0,28,41,2,0,178,492
35120,"York South--Weston/York-Sud--Weston"," 62","York",113,2,45,36,5,5,206,500
35120,"York South--Weston/York-Sud--Weston"," 63","York",192,4,31,62,12,2,303,668
35120,"York South--Weston/York-Sud--Weston"," 64","York",144,4,31,38,2,8,227,549
35120,"York South--Weston/York-Sud--Weston"," 65","York",150,2,38,38,8,0,236,658
35120,"York South--Weston/York-Sud--Weston"," 66","York",132,3,11,22,1,7,176,419
35120,"York South--Weston/York-Sud--Weston"," 67","York",89,2,37,21,5,0,154,399
35120,"York South--Weston/York-Sud--Weston"," 68","North York",7,0,6,6,2,0,21,49
35120,"York South--Weston/York-Sud--Weston"," 69","North York",97,1,38,17,4,2,159,457
35120,"York South--Weston/York-Sud--Weston"," 70","York",135,2,28,45,6,2,218,594
35120,"York South--Weston/York-Sud--Weston"," 71","North York",117,1,52,35,0,5,210,567
35120,"York South--Weston/York-Sud--Weston"," 72","North York",126,6,39,31,2,0,204,514
35120,"York South--Weston/York-Sud--Weston"," 73","York",90,3,50,15,7,0,165,332
35120,"York South--Weston/York-Sud--Weston"," 74","York",94,1,31,28,4,2,160,330
35120,"York South--Weston/York-Sud--Weston"," 75","York",121,3,57,31,7,7,226,511
35120,"York South--Weston/York-Sud--Weston"," 76","York",232,2,26,55,9,3,327,771
35120,"York South--Weston/York-Sud--Weston"," 77","York",128,6,43,35,8,0,220,498
35120,"York South--Weston/York-Sud--Weston"," 78","York",123,2,46,38,15,6,230,516
35120,"York South--Weston/York-Sud--Weston"," 79","York",136,4,21,34,7,0,202,502
35120,"York South--Weston/York-Sud--Weston"," 80","York",13,1,8,3,1,0,26,92
35120,"York South--Weston/York-Sud--Weston"," 81","York",155,2,30,30,4,0,221,555
35120,"York South--Weston/York-Sud--Weston"," 82","York",128,0,25,35,9,0,197,489
35120,"York South--Weston/York-Sud--Weston"," 83","York",126,8,49,57,16,1,257,491
35120,"York South--Weston/York-Sud--Weston"," 84","York",144,9,46,38,7,4,248,447
35120,"York South--Weston/York-Sud--Weston"," 85","York",156,1,50,51,9,4,271,526
35120,"York South--Weston/York-Sud--Weston"," 86","York",88,2,32,39,8,5,174,374
35120,"York South--Weston/York-Sud--Weston"," 87","York",129,0,35,33,8,2,207,484
35120,"York South--Weston/York-Sud--Weston"," 88","York",92,4,40,27,7,3,173,462
35120,"York South--Weston/York-Sud--Weston"," 89","York",78,4,35,40,15,5,177,409
35120,"York South--Weston/York-Sud--Weston"," 90","York",83,0,39,23,12,0,157,416
35120,"York South--Weston/York-Sud--Weston"," 91","York",69,0,7,12,2,3,93,187
35120,"York South--Weston/York-Sud--Weston"," 92","York",168,4,37,38,7,2,256,567
35120,"York South--Weston/York-Sud--Weston"," 93","York",205,3,51,66,6,0,331,621
35120,"York South--Weston/York-Sud--Weston"," 94","York",35,1,18,14,5,1,74,171
35120,"York South--Weston/York-Sud--Weston"," 95","York",101,1,24,42,4,1,173,409
35120,"York South--Weston/York-Sud--Weston"," 96","York",116,4,36,40,9,2,207,520
35120,"York South--Weston/York-Sud--Weston"," 97","York",76,2,32,49,5,1,165,479
35120,"York South--Weston/York-Sud--Weston"," 98","York",46,1,5,19,1,2,74,231
35120,"York South--Weston/York-Sud--Weston"," 99","York",84,1,27,35,9,1,157,332
35120,"York South--Weston/York-Sud--Weston"," 100","York",128,1,19,24,4,1,177,407
35120,"York South--Weston/York-Sud--Weston"," 101","York",64,0,22,30,13,2,131,334
35120,"York South--Weston/York-Sud--Weston"," 102","York",177,4,68,68,10,0,327,545
35120,"York South--Weston/York-Sud--Weston"," 103","York",124,5,26,40,5,2,202,447
35120,"York South--Weston/York-Sud--Weston"," 104","York",96,3,39,44,10,4,196,431
35120,"York South--Weston/York-Sud--Weston"," 105","York",92,4,42,34,8,3,183,409
35120,"York South--Weston/York-Sud--Weston"," 106","York",114,1,22,63,4,3,207,496
35120,"York South--Weston/York-Sud--Weston"," 107","York",96,6,34,54,11,0,201,430
35120,"York South--Weston/York-Sud--Weston"," 108","York",84,0,33,47,11,2,177,443
35120,"York South--Weston/York-Sud--Weston"," 109","York",124,1,30,43,10,6,214,415
35120,"York South--Weston/York-Sud--Weston"," 110","York",86,4,42,26,9,10,177,452
35120,"York South--Weston/York-Sud--Weston"," 111","York",97,5,46,48,11,6,213,510
35120,"York South--Weston/York-Sud--Weston"," 112","York",114,1,55,44,12,3,229,558
35120,"York South--Weston/York-Sud--Weston"," 113","Toronto",90,3,39,41,14,4,191,493
35120,"York South--Weston/York-Sud--Weston"," 114","York",251,4,47,60,12,15,389,959
35120,"York South--Weston/York-Sud--Weston"," 115","York",101,0,34,31,6,0,172,354
35120,"York South--Weston/York-Sud--Weston"," 116","York",125,1,48,63,24,2,263,504
35120,"York South--Weston/York-Sud--Weston"," 117","York",137,1,47,87,16,2,290,578
35120,"York South--Weston/York-Sud--Weston"," 118","York",117,3,40,47,6,1,214,506
35120,"York South--Weston/York-Sud--Weston"," 119","York",149,5,63,48,10,4,279,567
35120,"York South--Weston/York-Sud--Weston"," 120","York",129,4,45,62,17,0,257,498
35120,"York South--Weston/York-Sud--Weston"," 121","York",143,8,60,80,13,0,304,564
35120,"York South--Weston/York-Sud--Weston"," 122","York",107,6,39,49,7,4,212,374
35120,"York South--Weston/York-Sud--Weston"," 123","York",123,3,44,35,7,0,212,489
35120,"York South--Weston/York-Sud--Weston"," 124","York",82,0,26,53,6,4,171,345
35120,"York South--Weston/York-Sud--Weston"," 125","York",115,0,13,21,0,3,152,452
35120,"York South--Weston/York-Sud--Weston"," 126","York",119,1,12,26,3,3,164,457
35120,"York South--Weston/York-Sud--Weston"," 127","York",108,2,23,23,2,0,158,423
35120,"York South--Weston/York-Sud--Weston"," 128","York",113,1,21,44,6,5,190,574
35120,"York South--Weston/York-Sud--Weston"," 129","Toronto",93,1,25,32,7,1,159,380
35120,"York South--Weston/York-Sud--Weston"," 130","Toronto",88,3,27,28,3,0,149,387
35120,"York South--Weston/York-Sud--Weston"," 131","Toronto",130,3,45,29,16,5,228,514
35120,"York South--Weston/York-Sud--Weston"," 132","Toronto",96,7,37,40,8,1,189,459
35120,"York South--Weston/York-Sud--Weston"," 133","Toronto",51,2,20,43,18,0,134,398
35120,"York South--Weston/York-Sud--Weston"," 134","Toronto",107,0,27,54,9,2,199,418
35120,"York South--Weston/York-Sud--Weston"," 135","York",101,7,49,82,17,0,256,481
35120,"York South--Weston/York-Sud--Weston"," 136","York",89,5,42,68,10,3,217,405
35120,"York South--Weston/York-Sud--Weston"," 137","York",105,3,44,56,7,3,218,392
35120,"York South--Weston/York-Sud--Weston"," 138","York",108,2,38,49,8,2,207,458
35120,"York South--Weston/York-Sud--Weston"," 139","York",105,2,52,45,8,0,212,450
35120,"York South--Weston/York-Sud--Weston"," 140","York",99,1,53,43,7,0,203,410
35120,"York South--Weston/York-Sud--Weston"," 141","York",115,0,47,63,13,9,247,470
35120,"York South--Weston/York-Sud--Weston"," 142","York",94,6,36,40,4,0,180,403
35120,"York South--Weston/York-Sud--Weston"," 143","York",93,1,25,56,14,3,192,353
35120,"York South--Weston/York-Sud--Weston"," 144","York",112,2,56,58,14,5,247,429
35120,"York South--Weston/York-Sud--Weston"," 400","North York",104,1,18,12,5,1,141,205
35120,"York South--Weston/York-Sud--Weston"," 401","North York",87,2,12,13,1,3,118,339
35120,"York South--Weston/York-Sud--Weston"," 402","North York",106,1,1,17,0,0,125,366
35120,"York South--Weston/York-Sud--Weston"," 403","North York",102,2,7,19,2,0,132,379
35120,"York South--Weston/York-Sud--Weston"," 404","North York",46,2,25,6,3,2,84,324
35120,"York South--Weston/York-Sud--Weston"," 405","North York",108,3,8,4,1,0,124,170
35120,"York South--Weston/York-Sud--Weston"," 406","North York",112,2,15,30,4,1,164,277
35120,"York South--Weston/York-Sud--Weston"," 407","North York",87,2,9,14,0,0,112,185
35120,"York South--Weston/York-Sud--Weston"," 408","York",98,1,19,18,7,1,144,247
35120,"York South--Weston/York-Sud--Weston"," 409","York",95,3,17,23,7,1,146,247
35120,"York South--Weston/York-Sud--Weston"," 410","York",51,1,21,15,2,9,99,143
35120,"York South--Weston/York-Sud--Weston"," 411","York",100,0,9,10,2,0,121,250
35120,"York South--Weston/York-Sud--Weston"," 412","North York",217,0,7,22,1,0,247,538
35120,"York South--Weston/York-Sud--Weston"," 413","North York",186,4,48,46,7,0,291,633
35120,"York South--Weston/York-Sud--Weston"," 414","North York",241,2,12,44,1,0,300,527
35120,"York South--Weston/York-Sud--Weston"," 415","York",118,1,8,17,4,12,160,347
35120,"York South--Weston/York-Sud--Weston"," 416","York",98,3,23,42,8,4,178,474
35120,"York South--Weston/York-Sud--Weston"," 417","York",179,3,19,35,7,8,251,414
35120,"York South--Weston/York-Sud--Weston"," 418","North York",81,0,4,16,0,3,104,232
35120,"York South--Weston/York-Sud--Weston"," 419","North York",135,0,9,13,0,4,161,314
35120,"York South--Weston/York-Sud--Weston"," 420","York",156,3,8,25,4,0,196,393
35120,"York South--Weston/York-Sud--Weston"," 421","York",68,0,0,14,0,1,83,167
35120,"York South--Weston/York-Sud--Weston"," 422","York",62,2,3,9,3,4,83,134
35120,"York South--Weston/York-Sud--Weston"," 423","York",78,3,40,29,11,0,161,291
35120,"York South--Weston/York-Sud--Weston"," 424","York",99,2,43,28,9,0,181,304
35120,"York South--Weston/York-Sud--Weston"," 425","York",43,1,11,10,2,0,67,163
35120,"York South--Weston/York-Sud--Weston"," 426","York",133,0,5,18,1,6,163,318
35120,"York South--Weston/York-Sud--Weston"," 427","York",56,1,5,6,2,0,70,178
35120,"York South--Weston/York-Sud--Weston"," 428","Mobile poll/Bureau itinérant",78,3,27,13,3,9,133,239
35120,"York South--Weston/York-Sud--Weston"," 429","York",68,1,5,24,2,1,101,222
35120,"York South--Weston/York-Sud--Weston"," 430","York",124,2,16,27,3,0,172,401
35120,"York South--Weston/York-Sud--Weston"," 431","York",109,2,28,36,3,2,180,544
35120,"York South--Weston/York-Sud--Weston"," 432","York",205,4,57,51,9,2,328,753
35120,"York South--Weston/York-Sud--Weston"," 433","York",133,2,53,36,9,9,242,460
35120,"York South--Weston/York-Sud--Weston"," 434","York",127,1,9,13,2,3,155,229
35120,"York South--Weston/York-Sud--Weston"," 435","York",85,3,30,31,8,0,157,273
35120,"York South--Weston/York-Sud--Weston"," 436","York",Results combined with No./Résultats combinés au n°437,,,,,,,6
35120,"York South--Weston/York-Sud--Weston"," 437","York",64,0,8,11,2,0,85,213
35120,"York South--Weston/York-Sud--Weston"," 438","York",100,4,22,20,2,5,153,263
35120,"York South--Weston/York-Sud--Weston"," 439","York",138,2,65,36,10,3,254,383
35120,"York South--Weston/York-Sud--Weston"," 440","York",157,11,51,40,13,10,282,376
35120,"York South--Weston/York-Sud--Weston"," 441","York",152,5,73,21,5,8,264,371
35120,"York South--Weston/York-Sud--Weston"," 442","York",139,6,74,34,13,0,266,369
35120,"York South--Weston/York-Sud--Weston"," 500A","Mobile poll/Bureau itinérant",43,2,12,1,1,0,59,223
35120,"York South--Weston/York-Sud--Weston"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,72
35120,"York South--Weston/York-Sud--Weston"," 500C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°428,,,,,,,6
35120,"York South--Weston/York-Sud--Weston"," 501A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°428,,,,,,,106
35120,"York South--Weston/York-Sud--Weston"," 501B","Mobile poll/Bureau itinérant",55,4,13,9,2,1,84,158
35120,"York South--Weston/York-Sud--Weston"," 600","York",254,13,142,86,33,3,531,
35120,"York South--Weston/York-Sud--Weston"," 601","North York",561,11,199,84,31,8,894,
35120,"York South--Weston/York-Sud--Weston"," 602","North York",599,23,285,116,20,13,1056,
35120,"York South--Weston/York-Sud--Weston"," 603","York",318,7,60,90,11,5,491,
35120,"York South--Weston/York-Sud--Weston"," 604","York",576,4,118,181,36,30,945,
35120,"York South--Weston/York-Sud--Weston"," 605","York",374,8,131,108,19,14,654,
35120,"York South--Weston/York-Sud--Weston"," 606","York",381,13,151,118,18,8,689,
35120,"York South--Weston/York-Sud--Weston"," 607","York",311,4,98,122,18,7,560,
35120,"York South--Weston/York-Sud--Weston"," 608","York",230,6,93,115,24,20,488,
35120,"York South--Weston/York-Sud--Weston"," 609","York",479,12,153,197,37,11,889,
35120,"York South--Weston/York-Sud--Weston"," 610","York",352,6,74,119,26,4,581,
35120,"York South--Weston/York-Sud--Weston",,Group 1/Groupe 1, 111,1,19,28,7,12,178,213
35120,"York South--Weston/York-Sud--Weston",,Group 2/Groupe 2, 384,14,77,156,35,23,689,
