Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Frank Godon,Jenni Johnson,Laverne Lewycky,Dan Mazier,Cathy Scofield-Singh,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 1","Barrows",0,0,17,11,31,2,0,61,99
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 2","Pelican Rapids",2,4,84,0,38,1,4,133,474
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 3","Mafeking",3,0,20,53,32,5,0,113,196
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 4","Birch River",1,1,5,115,4,6,0,132,273
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 5","Birch River",2,0,12,36,9,2,0,61,210
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 6","Duck Bay",0,1,34,6,90,1,2,134,347
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 7","Bowsman",11,1,10,148,10,11,0,191,319
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 8","Bowsman",4,0,20,66,8,6,0,104,201
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 9","Big Woody",0,5,24,79,9,7,1,125,237
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 10","Minitonas",1,4,24,125,14,8,2,178,281
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 11","Minitonas",3,3,19,139,12,10,0,186,330
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 12","Minitonas",6,0,16,121,15,9,1,168,290
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 13","Swan River",0,4,17,136,14,9,0,180,340
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 14","Swan River",1,2,22,126,20,11,0,182,348
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 15","Swan River",3,2,24,148,21,7,0,205,400
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 16","Swan River",4,2,30,107,14,11,0,168,422
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 17","Swan River",2,6,36,109,20,5,0,178,400
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 18","Swan River",6,0,18,80,26,8,2,140,361
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 19","Swan River",3,0,14,103,9,7,0,136,343
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 20","Swan River",5,2,24,103,24,12,0,170,363
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 21","Swan River",4,1,21,140,23,12,0,201,465
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 22","Kenville",9,3,21,137,12,6,0,188,359
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 23","Pine Creek 66A",1,1,66,2,40,1,0,111,240
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 24","Camperville",2,0,65,7,69,0,0,143,399
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 25","Benito",5,6,12,121,15,6,2,167,305
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 26","Durban",11,3,19,155,19,12,0,219,401
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 27","Waterhen 45",0,0,36,3,129,0,1,169,368
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 28","Pine River",3,2,25,82,14,5,1,132,227
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 29","Mallard",0,0,14,35,40,4,1,94,193
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 30","Winnipegosis",2,1,46,77,37,7,0,170,311
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 31","Winnipegosis",2,2,19,84,28,9,0,144,278
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 32","San Clara",2,1,8,94,25,8,1,139,246
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 33","Mink Creek",3,2,39,180,23,7,2,256,427
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 34","Fork River",1,3,21,95,13,8,0,141,277
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 35","Rorketon",4,5,52,120,17,7,0,205,332
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 36","Sifton",2,2,34,110,12,7,0,167,263
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 37","Zelena",4,6,8,117,7,5,1,148,250
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 38","Roblin",2,14,17,109,5,8,0,155,348
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 39","Roblin",6,13,25,136,21,1,0,202,438
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 40","Roblin",1,10,26,131,22,11,1,202,316
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 41","Roblin",0,6,15,96,18,6,1,142,298
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 42","Bield",4,7,6,87,6,2,0,112,307
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 43","Shell Valley",2,8,13,139,9,6,0,177,344
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 44","Crane River 51",0,0,51,15,87,1,0,154,403
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 45","Valley River 63A",0,0,62,0,42,7,0,111,228
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 46","Dauphin",2,2,22,138,23,8,2,197,382
