Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raquel Dancho,Martin Deck,Eduard Hiebert,Spencer Katerynuk,Evan Krosney,MaryAnn Mihychuk,Rylan Reed,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 1","West St. Paul",115,1,1,2,45,25,12,1,202,422
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 2","Rivercrest",138,5,0,4,39,56,4,0,246,465
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 3","Middlechurch",102,2,1,0,48,59,7,0,219,430
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 4","Middlechurch",92,2,0,1,22,45,12,2,176,364
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 5","McNaughton",115,0,2,1,35,46,10,1,210,417
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 6","Riverdale",121,2,0,0,43,56,7,1,230,427
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 7","West St. Paul",107,1,0,0,28,56,7,1,200,358
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 8","Rivercrest",129,7,0,1,41,55,15,0,248,449
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 9","Rivercrest",106,1,0,1,26,47,5,1,187,309
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 10","Middlechurch",98,4,0,3,28,34,12,1,180,303
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 11","Rivercrest",102,11,0,1,37,83,9,0,243,423
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 12","East St. Paul",123,2,0,1,26,58,5,0,215,387
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 13","East St. Paul",138,2,1,3,27,52,3,0,226,416
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 14","East St. Paul",153,1,0,2,31,56,9,0,252,429
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 15","East St. Paul",123,0,0,0,23,59,15,2,222,381
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 16","East St. Paul",104,1,1,2,21,45,13,0,187,375
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 17","East St. Paul",132,1,2,1,23,37,9,0,205,360
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 18","East St. Paul",97,1,0,1,31,42,5,0,177,316
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 19","East St. Paul",87,0,0,0,10,38,2,0,137,301
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 20","East St. Paul",136,1,1,0,32,54,10,0,234,418
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 21","East St. Paul",94,2,0,0,9,51,7,0,163,280
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 22","Winnipeg",47,4,1,1,66,57,2,1,179,436
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 23A","Winnipeg",13,1,0,4,22,27,4,2,73,257
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 23B","Winnipeg",36,1,0,1,11,68,7,0,124,194
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 24","McNaughton",76,0,1,0,53,47,6,0,183,463
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 25","Winnipeg",65,2,0,0,50,70,7,1,195,446
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 26","Winnipeg",52,3,0,3,48,49,2,0,157,363
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 27","Winnipeg",80,7,0,0,59,61,6,0,213,508
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 28","East St. Paul",57,3,0,2,13,26,7,0,108,228
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 29","Birds Hill",93,1,0,0,25,54,14,0,187,344
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 30","East St. Paul",107,1,0,3,29,51,9,0,200,410
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 31","Birds Hill",141,2,0,1,48,68,12,0,272,443
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 32","East St. Paul",181,5,1,0,31,75,14,1,308,558
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 33","East St. Paul",109,1,0,0,30,48,6,0,194,333
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 34","East St. Paul",110,2,0,4,38,39,6,0,199,394
