Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Falk,Janine G. Gibson,Trevor Kirczenow,Erin McGee,Wayne Sturby,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 1","Pointe du Bois",120,17,25,22,1,4,189,383
46008,"Provencher/Provencher"," 2","Seddons Corner",73,7,11,8,7,1,107,223
46008,"Provencher/Provencher"," 3","Melrose",158,19,38,49,11,1,276,486
46008,"Provencher/Provencher"," 4","Sapton",137,10,33,47,2,1,230,398
46008,"Provencher/Provencher"," 5","Cooks Creek",114,32,38,39,6,1,230,391
46008,"Provencher/Provencher"," 6","Sapton",144,14,27,41,8,0,234,409
46008,"Provencher/Provencher"," 7","Cooks Creek",138,23,54,40,10,2,267,412
46008,"Provencher/Provencher"," 8","Springfield",197,17,38,41,10,3,306,516
46008,"Provencher/Provencher"," 9","Oakbank",180,17,43,36,5,0,281,496
46008,"Provencher/Provencher"," 10","Springfield",157,25,31,44,4,0,261,470
46008,"Provencher/Provencher"," 11","Oakbank",101,7,25,39,1,1,174,356
46008,"Provencher/Provencher"," 12","Oakbank",167,16,34,42,1,3,263,498
46008,"Provencher/Provencher"," 13","Oakbank",153,14,42,55,5,0,269,544
46008,"Provencher/Provencher"," 14","Oakbank",103,12,36,37,0,1,189,364
46008,"Provencher/Provencher"," 15","Oakbank",112,9,45,41,1,1,209,398
46008,"Provencher/Provencher"," 16","Oakbank",88,10,27,57,2,1,185,378
46008,"Provencher/Provencher"," 17","Oakbank",118,7,36,26,0,0,187,361
46008,"Provencher/Provencher"," 18","Oakbank",115,17,29,27,4,2,194,419
46008,"Provencher/Provencher"," 19","Oakbank",105,11,39,26,1,1,183,391
46008,"Provencher/Provencher"," 20","Hazelridge",165,20,30,59,3,0,277,437
46008,"Provencher/Provencher"," 21","Whitemouth",106,7,24,21,0,3,161,274
46008,"Provencher/Provencher"," 22","Whitemouth",188,20,13,25,4,2,252,405
46008,"Provencher/Provencher"," 23","Ste. Rita",171,9,15,32,4,4,235,464
46008,"Provencher/Provencher"," 24","Dugald",127,19,25,32,9,2,214,367
46008,"Provencher/Provencher"," 25","Dugald",138,18,45,44,3,1,249,441
46008,"Provencher/Provencher"," 26","Navin",117,12,27,32,10,2,200,386
46008,"Provencher/Provencher"," 27","Dugald",96,16,36,26,1,2,177,361
46008,"Provencher/Provencher"," 28","Vivian",181,31,44,37,2,0,295,487
46008,"Provencher/Provencher"," 29","Anola",121,22,28,41,4,2,218,339
46008,"Provencher/Provencher"," 30","Anola",113,13,28,66,8,0,228,327
46008,"Provencher/Provencher"," 31","Anola",169,12,39,66,7,4,297,458
46008,"Provencher/Provencher"," 32","Anola",101,5,25,32,5,2,170,291
46008,"Provencher/Provencher"," 33","Anola",176,16,26,40,2,3,263,465
46008,"Provencher/Provencher"," 34","Elma",83,14,8,15,4,2,126,338
46008,"Provencher/Provencher"," 35","Lorette",126,17,40,54,5,1,243,487
46008,"Provencher/Provencher"," 36","Lorette",90,21,45,36,5,1,198,375
46008,"Provencher/Provencher"," 37","Lorette",118,11,43,53,5,2,232,520
46008,"Provencher/Provencher"," 38","Lorette",97,6,38,42,3,0,186,346
46008,"Provencher/Provencher"," 39","Rosewood",137,9,32,56,2,0,236,504
46008,"Provencher/Provencher"," 40","Lorette",92,10,44,74,8,1,229,454
46008,"Provencher/Provencher"," 41","Lorette",84,20,32,37,6,1,180,356
46008,"Provencher/Provencher"," 42","Lorette",132,26,37,42,2,0,239,537
46008,"Provencher/Provencher"," 43","Lorette",154,18,44,38,4,2,260,547
46008,"Provencher/Provencher"," 44","Ste-Geneviève",134,28,39,53,3,4,261,471
46008,"Provencher/Provencher"," 45","Ste-Geneviève",121,25,64,63,3,3,279,573
46008,"Provencher/Provencher"," 46","Ile des Chênes",151,12,59,47,6,2,277,485
46008,"Provencher/Provencher"," 47","Ile des Chênes",146,16,61,38,7,1,269,420
46008,"Provencher/Provencher"," 48","Ile des Chênes",150,16,36,40,8,2,252,576
46008,"Provencher/Provencher"," 49","Ile des Chênes",64,9,32,27,3,2,137,221
46008,"Provencher/Provencher"," 50","Ile des Chênes",103,18,60,59,3,3,246,405
46008,"Provencher/Provencher"," 51A","Ile des Chênes",108,15,44,52,6,4,229,417
46008,"Provencher/Provencher"," 51B","Ile des Chênes",115,16,46,57,3,1,238,405
46008,"Provencher/Provencher"," 52","Oak Island Settlement",130,12,41,55,11,2,251,481
46008,"Provencher/Provencher"," 53","St. Adolphe",155,20,75,47,10,1,308,475
46008,"Provencher/Provencher"," 54","St. Adolphe",121,17,48,25,5,1,217,361
46008,"Provencher/Provencher"," 55","St. Adolphe",105,13,55,54,4,4,235,389
46008,"Provencher/Provencher"," 56","St. Adolphe",128,10,61,71,5,1,276,420
46008,"Provencher/Provencher"," 57","Glenlea",173,16,46,42,7,0,284,503
46008,"Provencher/Provencher"," 58","Taché",193,25,33,37,3,2,293,457
46008,"Provencher/Provencher"," 59","Landmark",150,16,26,40,8,0,240,374
46008,"Provencher/Provencher"," 60","Taché",131,17,30,32,6,0,216,366
46008,"Provencher/Provencher"," 61","Linden",146,22,24,36,5,2,235,470
46008,"Provencher/Provencher"," 62","Ste. Anne",100,13,30,41,7,2,193,463
46008,"Provencher/Provencher"," 63","Ste. Anne",94,15,54,32,7,1,203,454
46008,"Provencher/Provencher"," 64","Ste. Anne",125,22,71,67,5,3,293,547
46008,"Provencher/Provencher"," 65","Ste. Anne",108,6,45,36,6,1,202,372
46008,"Provencher/Provencher"," 66","Ste. Anne",65,12,36,34,6,2,155,276
46008,"Provencher/Provencher"," 67","Paradise Village",131,9,64,31,1,5,241,327
46008,"Provencher/Provencher"," 68","Ste. Anne",135,21,58,62,12,1,289,535
46008,"Provencher/Provencher"," 69","Paradise Village",137,17,45,26,4,1,230,376
46008,"Provencher/Provencher"," 70","Falcon Lake",125,29,36,26,4,1,221,369
46008,"Provencher/Provencher"," 71","Ross",94,17,33,34,5,1,184,360
46008,"Provencher/Provencher"," 72","Richer",206,25,59,55,13,6,364,646
46008,"Provencher/Provencher"," 73","Prawda",46,6,13,8,5,0,78,186
46008,"Provencher/Provencher"," 74","Niverville",158,16,17,29,6,1,227,356
46008,"Provencher/Provencher"," 75","Niverville",158,21,36,53,6,1,275,541
46008,"Provencher/Provencher"," 76","Niverville",118,11,31,31,4,1,196,400
46008,"Provencher/Provencher"," 77","Niverville",145,16,19,22,5,0,207,512
46008,"Provencher/Provencher"," 78","Niverville",131,20,46,57,5,0,259,438
46008,"Provencher/Provencher"," 79","Niverville",235,10,40,51,10,2,348,588
46008,"Provencher/Provencher"," 80","Niverville",150,13,27,33,6,1,230,424
46008,"Provencher/Provencher"," 81","Niverville",230,19,42,54,5,2,352,601
46008,"Provencher/Provencher"," 82","Blumenort",208,12,7,21,11,2,261,469
46008,"Provencher/Provencher"," 83","Blumenort",263,6,16,32,6,3,326,583
46008,"Provencher/Provencher"," 84","Ste. Anne",261,6,3,13,6,1,290,502
46008,"Provencher/Provencher"," 85","New Bothwell",189,10,13,10,10,1,233,409
46008,"Provencher/Provencher"," 86","New Bothwell",283,11,22,40,4,1,361,568
46008,"Provencher/Provencher"," 87","Ste. Agathe",126,13,78,41,5,2,265,401
46008,"Provencher/Provencher"," 88","Ste. Agathe",133,18,60,42,6,0,259,447
46008,"Provencher/Provencher"," 89","Giroux",236,24,26,19,3,1,309,518
46008,"Provencher/Provencher"," 90","Hadashville",52,7,17,8,1,2,87,233
46008,"Provencher/Provencher"," 91","Randolph",214,14,12,12,13,1,266,435
46008,"Provencher/Provencher"," 92","Mitchell",180,19,13,18,4,1,235,410
46008,"Provencher/Provencher"," 93","Mitchell",130,2,9,8,4,2,155,259
46008,"Provencher/Provencher"," 94","Mitchell",215,12,12,26,3,0,268,467
46008,"Provencher/Provencher"," 95","Mitchell",228,6,12,15,2,0,263,487
46008,"Provencher/Provencher"," 96","Hanover",246,12,14,11,3,0,286,501
46008,"Provencher/Provencher"," 97","Steinbach",178,17,37,26,9,0,267,561
46008,"Provencher/Provencher"," 98","Steinbach",216,9,17,5,2,1,250,542
46008,"Provencher/Provencher"," 99","Steinbach",130,11,24,7,0,1,173,441
46008,"Provencher/Provencher"," 100","Steinbach",131,7,11,3,3,2,157,393
46008,"Provencher/Provencher"," 101","Steinbach",89,10,8,18,4,0,129,426
46008,"Provencher/Provencher"," 102","Steinbach",133,17,20,35,6,1,212,494
46008,"Provencher/Provencher"," 103","Steinbach",131,13,23,22,5,0,194,416
46008,"Provencher/Provencher"," 104","Steinbach",90,10,13,22,0,0,135,446
46008,"Provencher/Provencher"," 105","Steinbach",216,16,34,28,5,0,299,663
46008,"Provencher/Provencher"," 106","Steinbach",136,25,22,10,4,1,198,495
46008,"Provencher/Provencher"," 107","Steinbach",248,14,15,30,5,1,313,601
46008,"Provencher/Provencher"," 108","Otterburne",154,18,31,47,3,1,254,351
46008,"Provencher/Provencher"," 109","Steinbach",148,16,12,26,4,1,207,529
46008,"Provencher/Provencher"," 110","Steinbach",192,9,15,47,5,3,271,648
46008,"Provencher/Provencher"," 111","Steinbach",149,18,16,13,5,1,202,529
46008,"Provencher/Provencher"," 112","Steinbach",111,11,8,10,5,0,145,425
46008,"Provencher/Provencher"," 113","Steinbach",146,11,15,14,9,1,196,431
46008,"Provencher/Provencher"," 114","Steinbach",184,12,18,11,5,2,232,497
46008,"Provencher/Provencher"," 115","Steinbach",155,12,23,30,8,3,231,511
46008,"Provencher/Provencher"," 116","Steinbach",139,18,17,21,4,3,202,471
46008,"Provencher/Provencher"," 117","Steinbach",138,10,20,26,5,1,200,439
46008,"Provencher/Provencher"," 118","Steinbach",173,10,19,25,10,1,238,539
46008,"Provencher/Provencher"," 119","Steinbach",158,16,11,17,13,1,216,522
46008,"Provencher/Provencher"," 120","Steinbach",198,15,14,24,6,0,257,510
46008,"Provencher/Provencher"," 121","Kleefeld",232,6,17,15,5,0,275,484
46008,"Provencher/Provencher"," 122","Hochstadt",222,11,13,10,7,2,265,467
46008,"Provencher/Provencher"," 123","Hochstadt",251,15,27,31,7,2,333,547
46008,"Provencher/Provencher"," 124","La Broquerie",135,21,78,30,9,6,279,520
46008,"Provencher/Provencher"," 125","La Broquerie",127,19,44,30,5,1,226,411
46008,"Provencher/Provencher"," 126","La Broquerie",218,8,25,24,5,0,280,577
46008,"Provencher/Provencher"," 127","La Broquerie",170,15,35,26,12,3,261,471
46008,"Provencher/Provencher"," 128","Bristol",216,3,6,8,3,1,237,418
46008,"Provencher/Provencher"," 129","Friedensfeld",213,12,23,16,4,4,272,437
46008,"Provencher/Provencher"," 130","Rat River Settlement",177,18,55,29,3,3,285,481
46008,"Provencher/Provencher"," 131","St-Pierre-Jolys",122,13,66,54,3,1,259,399
46008,"Provencher/Provencher"," 132","St-Pierre-Jolys",124,26,59,46,4,0,259,393
46008,"Provencher/Provencher"," 133","Marchand",261,16,31,38,10,7,363,614
46008,"Provencher/Provencher"," 134","Grunthal",232,2,12,14,3,0,263,418
46008,"Provencher/Provencher"," 135","Grunthal",246,9,3,6,3,0,267,462
46008,"Provencher/Provencher"," 136","Grunthal",221,6,5,11,4,1,248,399
46008,"Provencher/Provencher"," 137","Barkfield",221,10,17,13,6,0,267,372
46008,"Provencher/Provencher"," 138","Barkfield",308,11,10,19,4,0,352,491
46008,"Provencher/Provencher"," 139","Sarto",221,12,9,9,7,0,258,399
46008,"Provencher/Provencher"," 140","Sarto",165,12,12,17,5,1,212,338
46008,"Provencher/Provencher"," 141","Dufrost",67,13,15,6,2,0,103,204
46008,"Provencher/Provencher"," 142","St. Malo",177,21,68,48,9,2,325,581
