Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,William Caton,Bill Clary,Lee Harding,Maria Lewans,Jeremy Patzer,Trevor Peterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 1","Marengo",6,5,10,0,264,10,1,296,590
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 2A","Kindersley",6,5,3,0,124,6,0,144,282
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 2B","Mobile poll/Bureau itinérant",6,2,1,4,38,13,2,66,46
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 3","Kindersley",8,1,7,2,119,15,1,153,331
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 4","Kindersley",11,3,3,1,151,10,2,181,424
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 5","Kindersley",4,3,4,1,109,11,4,136,301
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 6","Kindersley",10,4,6,2,165,20,6,213,406
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 7","Kindersley",8,0,2,0,125,14,1,150,332
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 8","Kindersley",2,0,3,1,120,4,3,133,281
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 9","Kindersley",4,5,2,0,127,16,1,155,305
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 10","Kindersley",6,4,2,0,201,15,2,230,474
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 11","Kindersley",2,1,1,0,148,3,0,155,398
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 12","Brock",2,1,5,0,150,7,2,167,245
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 13","Eatonia",8,4,6,1,183,28,2,232,338
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 14","Eatonia",5,2,4,5,184,10,0,210,358
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 15","Glidden",1,4,2,0,135,8,0,150,241
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 16","Eston",8,1,5,1,101,7,1,124,256
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 17","Eston",8,3,7,1,123,12,0,154,336
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 18","Eston",8,3,9,0,160,17,1,198,400
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 19","Elrose",15,2,5,2,189,29,0,242,319
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 20","Elrose",3,4,4,0,175,17,0,203,396
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 21","Leader",5,4,1,1,101,5,1,118,275
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 22","Leader",2,6,7,1,110,7,2,135,338
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 23","Leader",4,14,2,2,173,8,1,204,421
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 24","Sceptre",4,8,7,1,102,6,1,129,207
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 25","Burstall",7,1,5,1,161,10,0,185,255
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 26","Birsay",4,0,23,1,214,14,0,256,409
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 27","Lucky Lake",1,3,3,2,168,21,0,198,317
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 28","Lancer",3,4,7,0,190,10,2,216,427
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 29","Lacadena",7,5,7,1,233,34,0,287,404
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 30","Kyle",14,5,2,5,192,30,1,249,349
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 31","Beechy",3,7,9,3,232,26,1,281,570
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 32","Richmound",6,3,5,0,103,14,0,131,177
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 33","Cabri",6,0,3,4,149,21,0,183,230
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 34","Cabri",5,2,2,0,163,16,0,188,236
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 35","Central Butte",6,2,4,0,144,21,0,177,211
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 36","Central Butte",5,3,0,0,165,21,0,194,275
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 37","Fox Valley",5,5,6,0,218,16,3,253,438
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 38","Riverhurst",4,2,3,0,145,15,1,170,252
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 39","Pennant",3,3,4,0,114,8,0,132,263
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 40","Stewart Valley",1,2,2,1,190,17,2,215,372
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 41","Hazlet",3,1,5,1,173,8,1,192,280
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 42","Golden Prairie",2,1,3,0,81,5,0,92,126
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 43","Success",3,4,1,1,151,25,1,186,429
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 44","Herbert",9,4,7,0,231,6,1,258,489
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 45","Herbert",12,1,3,0,129,19,0,164,230
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 46","Herbert",15,6,4,2,193,24,0,244,337
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 47","Morse",14,5,11,0,189,39,1,259,353
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 48","Waldeck",3,3,5,0,181,11,2,205,391
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 49","Waldeck",2,4,6,3,169,11,0,195,283
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 50","Swift Current",15,7,3,2,213,38,2,280,588
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 51","Swift Current",17,6,7,1,168,49,1,249,465
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 52","Swift Current",9,2,8,3,208,32,0,262,438
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 53","Swift Current",9,0,4,1,127,33,2,176,383
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 54","Swift Current",8,5,0,2,154,21,0,190,318
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 55","Swift Current",3,3,4,0,122,32,0,164,345
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 56","Swift Current",8,2,12,0,150,32,3,207,393
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 57","Swift Current",5,5,3,1,146,24,1,185,344
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 58","Swift Current",7,4,3,2,125,35,2,178,386
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 59","Swift Current",5,3,5,0,197,36,2,248,459
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 60","Swift Current",14,4,10,1,191,36,3,259,493
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 61","Swift Current",5,8,8,1,156,17,0,195,362
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 62","Chaplin",11,5,1,2,128,14,2,163,329
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 63","Swift Current",9,5,3,3,191,28,4,243,427
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 64","Swift Current",17,5,4,1,179,39,3,248,423
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 65","Swift Current",10,12,12,0,166,29,1,230,446
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 66","Swift Current",12,6,6,2,200,36,1,263,413
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 67","Swift Current",16,3,3,2,202,39,1,266,441
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 68","Swift Current",14,5,6,0,197,30,1,253,400
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 69","Swift Current",18,4,4,2,214,24,2,268,394
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 70","Swift Current",13,3,3,2,258,28,0,307,513
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 71","Swift Current",12,4,8,1,285,45,4,359,547
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 72","Swift Current",9,8,7,0,140,34,0,198,394
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 73","Swift Current",11,3,9,0,197,21,1,242,441
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 74","Swift Current",8,2,6,0,211,18,6,251,415
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 75","Webb",7,4,2,1,197,21,0,232,482
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 76","Tompkins",10,4,2,0,127,5,3,151,255
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 77","Swift Current",5,6,4,1,184,14,1,215,353
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 78","Swift Current",7,4,8,0,166,26,3,214,358
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 79","Swift Current",10,3,2,1,170,30,0,216,378
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 80A","Swift Current",8,2,11,1,188,36,0,246,462
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands"," 80B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506A,,,,,,,,39
