Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tammy Cook-Searson,Georgina Jolibois,Sarah Kraynick,Jerome Perrault,Gary Vidal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 1","Uranium City--Camsell Portage",11,7,3,0,4,0,25,102
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 2","Stony Rapids",22,39,1,0,21,0,83,212
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 3","Black Lake",40,145,2,0,6,11,204,611
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 4","Black Lake",Merged with No./Fusionné avec le n°3,,,,,,,78
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 5","Fond-du-Lac",22,118,3,0,7,0,150,433
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6A","Wollaston Lake",13,49,0,0,4,2,68,195
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 6B","Wollaston Lake",Merged with No./Fusionné avec le n°7B,,,,,,,303
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7A","Wollaston Lake",Merged with No./Fusionné avec le n°6A,,,,,,,1
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 7B","Wollaston Lake",14,53,1,0,0,1,69,7
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 8","Turner Lake",87,101,0,1,8,4,201,402
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 9","Clearwater River",15,223,2,0,5,0,245,514
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 10","Kinoosao",1,2,0,1,0,0,4,12
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 11","La Loche",26,105,2,0,4,2,139,471
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12A","La Loche",20,111,1,0,2,1,135,435
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 12B","La Loche",9,63,0,1,2,3,78,301
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 13","La Loche",21,69,4,0,3,0,97,256
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 14","La Loche--Descharme Lake",20,54,0,0,0,1,75,339
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 15","Bear Creek",3,20,0,0,0,1,24,28
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 16","Michel Village",6,19,0,0,2,0,27,32
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 17","Buffalo Narrows",57,90,3,2,32,0,184,285
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 18","Buffalo Narrows",Results combined with No./Résultats combinés au n°17,,,,,,,220
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 19","Buffalo Narrows",57,52,0,0,31,4,144,345
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 20","Dillon",101,83,0,1,2,2,189,610
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 21","St. George's Hill",7,12,0,1,4,0,24,36
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 22","Brabant Lake",3,10,0,0,4,1,18,34
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 23","Patuanak",31,155,1,0,12,0,199,463
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 24","Kinoosao",88,67,1,0,4,0,160,670
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25A","Île-à-la-Crosse",124,54,2,0,7,0,187,59
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25B","Île-à-la-Crosse",Merged with No./Fusionné avec le n°26B,,,,,,,55
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 25C","Île-à-la-Crosse",Merged with No./Fusionné avec le n°27C,,,,,,,74
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26A","Île-à-la-Crosse",Merged with No./Fusionné avec le n°25A,,,,,,,57
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26B","Île-à-la-Crosse",95,45,3,1,10,2,156,48
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 26C","Île-à-la-Crosse",Merged with No./Fusionné avec le n°27C,,,,,,,39
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27A","Île-à-la-Crosse",Merged with No./Fusionné avec le n°25A,,,,,,,269
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27B","Île-à-la-Crosse",Merged with No./Fusionné avec le n°26B,,,,,,,198
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 27C","Île-à-la-Crosse",98,33,0,0,3,0,134,176
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 28","Cole Bay",36,24,0,0,11,1,72,127
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 29","Grandmother's Bay 219",49,39,5,0,4,0,97,190
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 30A","Beauval",52,64,0,1,14,0,131,246
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 30B","Beauval",Merged with No./Fusionné avec le n°31B,,,,,,,284
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31A","Beauval",Merged with No./Fusionné avec le n°30A,,,,,,,45
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 31B","Beauval",59,56,4,0,11,0,130,51
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32A","Pinehouse",78,54,3,0,8,0,143,352
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 32B","Pinehouse",105,39,7,1,8,0,160,377
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 33A","Canoe Narrows",125,69,5,0,4,0,203,472
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 33B","Canoe Narrows",73,27,4,0,2,0,106,219
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 34","Hall Lake",34,50,1,3,3,3,94,238
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 35A","Sandy Bay",73,48,1,0,7,0,129,81
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 35B","Sandy Bay",Merged with No./Fusionné avec le n°36B,,,,,,,118
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36A","Sandy Bay",Merged with No./Fusionné avec le n°35A,,,,,,,229
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 36B","Sandy Bay",92,62,5,0,8,0,167,334
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37A","Stanley Mission",81,115,4,3,3,0,206,255
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37B","Stanley Mission",123,184,3,2,4,2,318,354
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 37C","Stanley Mission",Merged with No./Fusionné avec le n°38C,,,,,,,157
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38A","Stanley Mission",Merged with No./Fusionné avec le n°37A,,,,,,,128
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38B","Stanley Mission",Merged with No./Fusionné avec le n°37B,,,,,,,168
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38C","Stanley Mission",50,77,2,0,1,2,132,87
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 38D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,8
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 39","Sucker River 156C",68,35,2,1,6,0,112,229
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 40","La Ronge",18,17,0,0,20,0,55,134
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 41","La Ronge",58,84,4,3,43,0,192,507
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 42","La Ronge",46,81,8,4,74,3,216,625
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 43","La Ronge",31,51,6,3,30,1,122,372
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 44","La Ronge",48,42,8,0,29,2,129,372
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 45","Air Ronge--Kitsakie 156B",35,37,2,0,4,1,79,357
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 46","Lac la Ronge 156",29,23,3,1,35,0,91,449
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 47A","Northern Pine",2,0,2,0,128,0,132,215
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 47B","Northern Pine",2,3,1,4,122,0,132,220
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 48","Northern Pine",11,14,7,5,276,1,314,495
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 49","Air Ronge",42,71,2,0,51,3,169,363
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 50","Air Ronge",27,39,4,0,36,1,107,247
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 51","Air Ronge",20,42,3,2,31,0,98,200
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 52","Air Ronge",63,88,5,0,5,3,164,505
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 53","Lac la Ronge 156",63,94,5,1,7,1,171,507
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54A","Big Island Lake Cree Territory",10,34,0,0,8,1,53,261
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 54B","Big Island Lake Cree Territory",6,33,0,3,3,0,45,205
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 55A","Waterhen Lake",42,70,3,0,2,1,118,206
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 55B","Waterhen Lake",28,61,1,1,6,0,97,194
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 56","Northern Pine",10,15,0,1,133,0,159,333
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 57","Northern Pine",3,7,0,1,97,1,109,254
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58A","Pelican Narrows",Merged with No./Fusionné avec le n°59A,,,,,,,439
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 58B","Pelican Narrows",Merged with No./Fusionné avec le n°60B,,,,,,,493
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 59A","Pelican Narrows 184B",153,78,1,1,1,0,234,189
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 59B","Pelican Narrows 184B",Merged with No./Fusionné avec le n°60B,,,,,,,206
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 60A","Pelican Narrows",Merged with No./Fusionné avec le n°59A,,,,,,,67
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 60B","Pelican Narrows",208,97,2,0,6,8,321,80
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 61","Dorintosh--Greig Lake",8,40,4,0,161,0,213,383
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 62","Doré Lake",2,1,1,2,29,0,35,43
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 63A","Island Lake",12,37,1,0,7,0,57,218
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 63B","Island Lake",7,22,0,0,9,2,40,162
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 64","Rapid View",3,18,7,6,174,3,211,352
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 65","Green Lake",44,43,1,1,47,1,137,367
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 66A","Loon Lake",6,7,0,0,63,2,78,58
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 66B","Loon Lake",Merged with No./Fusionné avec le n°67B,,,,,,,62
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 67A","Loon Lake",Merged with No./Fusionné avec le n°66A,,,,,,,154
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 67B","Loon Lake",3,11,1,0,71,0,86,163
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 68","Whelan",1,4,0,0,34,0,39,99
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 69A","Flying Dust First Nation 105 (Meadow Lake 105)",30,65,3,0,61,1,160,325
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 69B","Flying Dust First Nation 105 (Meadow Lake 105)",34,68,3,4,58,1,168,369
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 70A","Makwa-Sahgaiehcan",39,63,0,0,7,0,109,352
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 70B","Makwa-Sahgaiehcan",39,55,0,1,11,9,115,341
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 71","Weyakwin",19,36,3,1,27,0,86,145
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 72A","Meadow Lake",11,29,2,0,72,1,115,248
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 72B","Meadow Lake",14,20,1,0,68,0,103,270
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 73","Meadow Lake",14,32,2,0,112,1,161,423
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 74A","Meadow Lake",12,15,2,1,51,0,81,230
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 74B","Meadow Lake",15,27,1,1,57,0,101,244
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 75","Meadow Lake",20,50,2,1,121,0,194,399
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 76","Meadow Lake",16,28,4,2,111,0,161,352
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 77","Makwa",6,11,1,2,138,2,160,234
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 78","Creighton",10,29,5,0,56,0,100,209
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 79","Creighton",8,59,5,5,121,0,198,411
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 80","Creighton",9,29,4,7,54,1,104,246
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 81","Creighton",13,53,4,0,146,2,218,469
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 82","Barthel",4,7,1,0,74,0,86,110
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 83","Four Corners",6,19,1,0,189,0,215,456
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 84","Meadow Lake",12,35,2,0,79,2,130,333
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 85A","Meadow Lake",7,28,3,0,50,0,88,264
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 85B","Meadow Lake",12,22,2,5,46,2,89,238
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 86","Meadow Lake",21,36,7,1,80,0,145,377
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 87A","Meadow Lake",11,30,1,0,81,1,124,239
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 87B","Meadow Lake",Merged with No./Fusionné avec le n°88B,,,,,,,242
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88A","Meadow Lake",Merged with No./Fusionné avec le n°87A,,,,,,,58
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 88B","Meadow Lake",7,25,2,3,90,1,128,40
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 89","Cabana",11,17,7,2,187,3,227,422
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 90","Little Bear Lake",7,5,0,2,52,0,66,88
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 91","Deschambault Lake",185,76,3,4,11,5,284,632
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 92","Denare Beach",23,34,7,0,105,1,170,391
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 93","Denare Beach",25,33,5,3,76,1,143,280
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 94","Big River No. 555",18,14,3,3,203,0,241,323
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 95","Big River",2,13,4,1,144,0,164,249
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 96","Big River",8,13,8,1,180,2,212,345
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 97","Big River No. 555",4,14,7,1,176,0,202,290
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 98A","Montreal Lake",78,18,1,0,1,0,98,20
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 98B","Montreal Lake",Merged with No./Fusionné avec le n°99B,,,,,,,18
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill"," 99A","Montreal Lake",Merged with No./Fusionné avec le n°98A,,,,,,,259
