Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Bridges,Winter Fedyk,Naomi Hunter,Don Morgan,Jigar Patel,Warren Steinley,Trevor Wowk,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Lewvan/Regina--Lewvan"," 1","Condie",0,15,3,4,38,192,1,1,254,490
47007,"Regina--Lewvan/Regina--Lewvan"," 2","Regina",0,14,5,1,75,139,3,0,237,465
47007,"Regina--Lewvan/Regina--Lewvan"," 3","Regina",0,25,5,2,62,140,1,4,239,446
47007,"Regina--Lewvan/Regina--Lewvan"," 4","Regina",0,12,7,1,38,117,0,0,175,451
47007,"Regina--Lewvan/Regina--Lewvan"," 5","Regina",0,26,2,0,48,183,3,2,264,478
47007,"Regina--Lewvan/Regina--Lewvan"," 6","Regina",0,12,4,3,32,133,0,2,186,310
47007,"Regina--Lewvan/Regina--Lewvan"," 7","Regina",0,18,3,0,62,123,1,1,208,362
47007,"Regina--Lewvan/Regina--Lewvan"," 8","Regina",0,30,15,0,66,131,1,1,244,397
47007,"Regina--Lewvan/Regina--Lewvan"," 9","Regina",0,36,15,1,74,131,0,0,257,413
47007,"Regina--Lewvan/Regina--Lewvan"," 10","Regina",0,27,7,0,51,135,2,0,222,381
47007,"Regina--Lewvan/Regina--Lewvan"," 11","Regina",0,40,3,0,49,158,0,0,250,480
47007,"Regina--Lewvan/Regina--Lewvan"," 12","Regina",0,10,10,1,44,158,2,3,228,418
47007,"Regina--Lewvan/Regina--Lewvan"," 13","Regina",0,27,4,1,64,151,1,5,253,481
47007,"Regina--Lewvan/Regina--Lewvan"," 14","Regina",0,25,8,0,58,153,2,0,246,407
47007,"Regina--Lewvan/Regina--Lewvan"," 15","Regina",0,30,2,0,62,169,1,0,264,460
47007,"Regina--Lewvan/Regina--Lewvan"," 16","Regina",0,14,10,0,63,138,0,1,226,401
47007,"Regina--Lewvan/Regina--Lewvan"," 17","Regina",1,18,7,0,47,141,0,0,214,403
47007,"Regina--Lewvan/Regina--Lewvan"," 18","Regina",0,20,6,2,69,166,4,0,267,516
47007,"Regina--Lewvan/Regina--Lewvan"," 19","Regina",0,23,1,0,62,162,3,0,251,445
47007,"Regina--Lewvan/Regina--Lewvan"," 20","Regina",1,18,6,2,50,119,1,1,198,369
47007,"Regina--Lewvan/Regina--Lewvan"," 21","Regina",0,17,6,0,57,131,3,1,215,462
47007,"Regina--Lewvan/Regina--Lewvan"," 22","Regina",0,36,6,2,40,140,2,1,227,438
47007,"Regina--Lewvan/Regina--Lewvan"," 23","Regina",1,26,9,3,66,139,6,1,251,483
47007,"Regina--Lewvan/Regina--Lewvan"," 24","Regina",1,32,13,0,67,130,6,0,249,502
47007,"Regina--Lewvan/Regina--Lewvan"," 25","Regina",1,32,11,2,55,141,2,1,245,434
47007,"Regina--Lewvan/Regina--Lewvan"," 26","Regina",0,17,11,1,49,93,3,2,176,369
47007,"Regina--Lewvan/Regina--Lewvan"," 27","Regina",0,25,6,1,57,122,2,0,213,451
47007,"Regina--Lewvan/Regina--Lewvan"," 28","Regina",1,37,11,1,83,133,4,2,272,541
47007,"Regina--Lewvan/Regina--Lewvan"," 29","Regina",0,19,5,0,58,109,2,0,193,391
47007,"Regina--Lewvan/Regina--Lewvan"," 30","Regina",0,30,10,1,114,142,3,1,301,590
47007,"Regina--Lewvan/Regina--Lewvan"," 31","Regina",1,22,9,1,67,140,5,0,245,436
47007,"Regina--Lewvan/Regina--Lewvan"," 32","Regina",0,17,5,1,77,153,3,0,256,465
47007,"Regina--Lewvan/Regina--Lewvan"," 33","Regina",0,37,10,0,81,120,3,0,251,445
47007,"Regina--Lewvan/Regina--Lewvan"," 34","Regina",0,22,8,1,63,133,0,3,230,393
47007,"Regina--Lewvan/Regina--Lewvan"," 35","Regina",1,39,8,3,74,155,4,1,285,475
47007,"Regina--Lewvan/Regina--Lewvan"," 36","Regina",0,24,8,4,75,164,2,2,279,465
47007,"Regina--Lewvan/Regina--Lewvan"," 37","Regina",1,23,6,1,91,147,0,0,269,507
47007,"Regina--Lewvan/Regina--Lewvan"," 38","Regina",0,16,6,1,67,160,4,0,254,450
47007,"Regina--Lewvan/Regina--Lewvan"," 39","Regina",0,24,8,2,51,98,3,1,187,390
47007,"Regina--Lewvan/Regina--Lewvan"," 40","Regina",1,19,11,2,55,116,3,0,207,432
47007,"Regina--Lewvan/Regina--Lewvan"," 41","Regina",1,24,4,1,81,112,6,1,230,406
47007,"Regina--Lewvan/Regina--Lewvan"," 42","Regina",0,27,7,0,58,126,1,0,219,395
47007,"Regina--Lewvan/Regina--Lewvan"," 43","Regina",0,16,6,1,67,111,5,0,206,355
47007,"Regina--Lewvan/Regina--Lewvan"," 44","Regina",0,10,6,0,51,129,3,1,200,383
47007,"Regina--Lewvan/Regina--Lewvan"," 45","Regina",0,26,4,2,67,160,2,0,261,474
47007,"Regina--Lewvan/Regina--Lewvan"," 46","Regina",0,7,11,0,53,103,3,0,177,366
47007,"Regina--Lewvan/Regina--Lewvan"," 47","Regina",0,24,9,1,36,83,1,1,155,321
47007,"Regina--Lewvan/Regina--Lewvan"," 48","Regina",0,24,0,2,44,96,1,1,168,328
47007,"Regina--Lewvan/Regina--Lewvan"," 49","Regina",0,29,15,1,83,150,10,0,288,579
47007,"Regina--Lewvan/Regina--Lewvan"," 50","Regina",0,22,4,2,57,110,2,0,197,451
47007,"Regina--Lewvan/Regina--Lewvan"," 51","Regina",0,11,3,1,47,154,0,2,218,384
47007,"Regina--Lewvan/Regina--Lewvan"," 52","Regina",1,22,6,0,64,188,0,4,285,513
47007,"Regina--Lewvan/Regina--Lewvan"," 53","Regina",0,30,5,1,54,185,3,0,278,501
47007,"Regina--Lewvan/Regina--Lewvan"," 54","Regina",0,34,14,2,72,186,4,3,315,539
47007,"Regina--Lewvan/Regina--Lewvan"," 55","Regina",0,27,7,0,58,188,1,2,283,591
47007,"Regina--Lewvan/Regina--Lewvan"," 56","Regina",0,30,7,3,50,148,0,0,238,467
47007,"Regina--Lewvan/Regina--Lewvan"," 57","Regina",0,20,6,1,69,119,0,2,217,390
47007,"Regina--Lewvan/Regina--Lewvan"," 58","Regina",1,26,8,0,69,107,1,0,212,406
47007,"Regina--Lewvan/Regina--Lewvan"," 59","Regina",0,30,2,1,31,55,3,2,124,336
47007,"Regina--Lewvan/Regina--Lewvan"," 60","Regina",0,13,4,0,56,113,2,1,189,391
47007,"Regina--Lewvan/Regina--Lewvan"," 61","Regina",0,15,8,1,41,130,0,0,195,407
47007,"Regina--Lewvan/Regina--Lewvan"," 62","Regina",0,36,9,1,38,131,4,3,222,461
47007,"Regina--Lewvan/Regina--Lewvan"," 63","Regina",0,19,4,1,62,143,5,3,237,346
47007,"Regina--Lewvan/Regina--Lewvan"," 64","Regina",0,16,10,2,79,125,6,0,238,393
47007,"Regina--Lewvan/Regina--Lewvan"," 65","Regina",0,19,19,1,64,184,6,5,298,475
