Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ray Aldinger,Jordan Ames-Sinclair,Dale Dewar,Éric Normand,James Plummer,Andrew Scheer,Tracey Sparrowhawk,Kieran Szuchewycz,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 1","Dafoe",23,3,11,0,0,80,5,0,2,124,223
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 2","Wynyard",18,5,10,0,0,101,1,0,0,135,279
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 3","Wynyard",16,5,6,0,1,124,0,0,1,153,310
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 4","Wynyard",18,6,8,0,0,131,1,1,0,165,306
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 5","Wynyard",21,5,8,1,1,117,2,0,3,158,377
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 6","Wynyard",17,2,12,0,0,128,0,0,0,159,262
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 7","Elfros",13,8,7,1,1,131,2,0,1,164,260
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 8","Kawacatoose",79,139,3,0,1,9,1,0,1,233,262
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 9","Day Star 87",35,34,4,0,1,2,1,0,0,77,70
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 10","Wishart",27,9,3,0,0,190,1,0,2,232,377
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 11","Raymore",24,19,9,0,1,161,4,0,3,221,492
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 12","Raymore",7,5,0,0,1,103,1,0,0,117,238
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 13","Punnichy",53,31,5,0,0,87,3,0,0,179,541
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 14","Muskowekwan FN",75,110,2,0,1,11,1,0,3,203,397
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 15","Gordon 86",131,131,0,0,5,8,4,2,2,283,426
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 16","Kelliher",32,11,4,0,0,179,3,0,0,229,354
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 17","Leross",21,13,5,0,0,137,7,1,1,185,257
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 18","Southey",32,11,1,0,1,305,2,0,2,354,509
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 19","Southey",38,17,7,0,0,310,1,0,2,375,478
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 20","Ituna",12,5,5,0,0,146,0,0,1,169,407
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 21","Ituna",10,3,3,1,1,114,3,1,5,141,334
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 22","Ituna",7,0,5,1,0,85,1,0,0,99,229
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 23","Cupar",21,10,4,0,0,212,1,0,2,250,340
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 24","Cupar",15,5,4,0,1,129,1,0,0,155,244
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 25","Dysart",22,10,7,0,0,153,4,0,2,198,383
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 26","Lipton",23,19,11,0,0,254,6,0,1,314,447
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 27","Little Black Bear/Star Blanket",20,62,1,0,1,0,0,0,2,86,206
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 28","Okanese/Peepeekisis",86,108,1,0,0,2,1,1,3,202,401
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 29","Camp Lutherland",10,11,1,1,0,91,1,0,0,115,214
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 30","Standing Buffalo 78",53,109,4,0,0,10,1,0,0,177,331
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 31","Piapot FN",132,63,5,0,3,10,0,1,0,214,384
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 32","Muscowpetung FN",66,61,3,0,1,6,2,1,0,140,153
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 33","Pasqua FN",80,83,3,0,0,2,1,1,0,170,295
