Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hailey Clark,Tamela Friesen,Evangeline Godron,Ralph Goodale,Michael Kram,Mario Milanovski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47009,"Regina--Wascana/Regina--Wascana"," 1","Regina",68,13,2,95,239,7,0,424,525
47009,"Regina--Wascana/Regina--Wascana"," 2","Regina",Merged with No./Fusionné avec le n°1,,,,,,,,336
47009,"Regina--Wascana/Regina--Wascana"," 3","Regina",34,3,1,49,102,0,1,190,352
47009,"Regina--Wascana/Regina--Wascana"," 4","Regina",34,4,1,50,118,2,3,212,431
47009,"Regina--Wascana/Regina--Wascana"," 5","Regina",34,3,1,60,145,4,2,249,481
47009,"Regina--Wascana/Regina--Wascana"," 6","Regina",23,4,0,39,97,2,0,165,323
47009,"Regina--Wascana/Regina--Wascana"," 7","Regina",27,6,3,40,94,0,0,170,374
47009,"Regina--Wascana/Regina--Wascana"," 8","Regina",47,11,1,58,142,8,2,269,473
47009,"Regina--Wascana/Regina--Wascana"," 9","Regina",50,10,0,88,170,8,0,326,667
47009,"Regina--Wascana/Regina--Wascana"," 10","Regina",44,4,0,60,120,4,6,238,440
47009,"Regina--Wascana/Regina--Wascana"," 11","Regina",34,4,1,54,108,1,4,206,353
47009,"Regina--Wascana/Regina--Wascana"," 12","Regina",21,7,1,57,38,1,3,128,456
47009,"Regina--Wascana/Regina--Wascana"," 13","Regina",26,8,1,42,42,4,3,126,337
47009,"Regina--Wascana/Regina--Wascana"," 14","Regina",46,4,3,75,58,6,4,196,560
47009,"Regina--Wascana/Regina--Wascana"," 15","Regina",38,4,1,39,50,3,2,137,378
47009,"Regina--Wascana/Regina--Wascana"," 16","Regina",34,6,0,49,101,4,3,197,391
47009,"Regina--Wascana/Regina--Wascana"," 17","Regina",Merged with No./Fusionné avec le n°18,,,,,,,,439
47009,"Regina--Wascana/Regina--Wascana"," 18","Regina",89,14,0,111,297,7,8,526,629
47009,"Regina--Wascana/Regina--Wascana"," 19","Regina",22,4,0,42,116,2,0,186,447
47009,"Regina--Wascana/Regina--Wascana"," 20","Regina",46,5,1,47,100,1,0,200,374
47009,"Regina--Wascana/Regina--Wascana"," 21","Regina",28,3,0,41,125,1,1,199,395
47009,"Regina--Wascana/Regina--Wascana"," 22","Regina",Merged with No./Fusionné avec le n°23,,,,,,,,356
47009,"Regina--Wascana/Regina--Wascana"," 23","Regina",56,13,3,106,258,5,2,443,491
47009,"Regina--Wascana/Regina--Wascana"," 24","Regina",60,23,1,186,91,6,2,369,449
47009,"Regina--Wascana/Regina--Wascana"," 25","Regina",Merged with No./Fusionné avec le n°24,,,,,,,,311
47009,"Regina--Wascana/Regina--Wascana"," 26","Regina",41,4,1,44,81,2,0,173,396
47009,"Regina--Wascana/Regina--Wascana"," 27","Regina",43,7,0,60,128,1,3,242,496
47009,"Regina--Wascana/Regina--Wascana"," 28","Regina",37,9,1,53,117,2,0,219,511
47009,"Regina--Wascana/Regina--Wascana"," 29","Regina",93,28,3,149,88,2,7,370,429
47009,"Regina--Wascana/Regina--Wascana"," 30","Regina",51,13,0,98,53,5,2,222,553
47009,"Regina--Wascana/Regina--Wascana"," 31","Regina",Merged with No./Fusionné avec le n°29,,,,,,,,421
47009,"Regina--Wascana/Regina--Wascana"," 32","Regina",Merged with No./Fusionné avec le n°34,,,,,,,,439
47009,"Regina--Wascana/Regina--Wascana"," 33","Regina",52,9,0,98,64,1,2,226,501
47009,"Regina--Wascana/Regina--Wascana"," 34","Regina",72,17,3,227,152,6,3,480,468
47009,"Regina--Wascana/Regina--Wascana"," 35","Regina",40,7,2,46,101,1,1,198,377
47009,"Regina--Wascana/Regina--Wascana"," 36","Regina",29,1,1,38,98,3,4,174,412
47009,"Regina--Wascana/Regina--Wascana"," 37","Regina",Merged with No./Fusionné avec le n°38,,,,,,,,443
47009,"Regina--Wascana/Regina--Wascana"," 38","Regina",61,13,3,97,234,2,8,418,431
47009,"Regina--Wascana/Regina--Wascana"," 39","Regina",38,9,2,53,107,0,3,212,513
47009,"Regina--Wascana/Regina--Wascana"," 40","Regina",33,2,0,44,104,0,1,184,437
47009,"Regina--Wascana/Regina--Wascana"," 41","Regina",34,6,2,53,60,3,2,160,382
47009,"Regina--Wascana/Regina--Wascana"," 42","Regina",54,5,1,60,92,3,2,217,403
47009,"Regina--Wascana/Regina--Wascana"," 43","Regina",42,9,1,47,104,2,0,205,387
47009,"Regina--Wascana/Regina--Wascana"," 44","Regina",37,19,0,62,75,9,2,204,391
47009,"Regina--Wascana/Regina--Wascana"," 45","Regina",62,5,1,61,72,4,1,206,447
47009,"Regina--Wascana/Regina--Wascana"," 46","Regina",37,17,1,70,64,6,1,196,388
47009,"Regina--Wascana/Regina--Wascana"," 47","Regina",49,7,4,174,124,1,3,362,517
47009,"Regina--Wascana/Regina--Wascana"," 48","Regina",Merged with No./Fusionné avec le n°47,,,,,,,,87
47009,"Regina--Wascana/Regina--Wascana"," 49","Regina",Merged with No./Fusionné avec le n°50,,,,,,,,383
47009,"Regina--Wascana/Regina--Wascana"," 50","Regina",86,8,4,74,182,8,8,370,408
47009,"Regina--Wascana/Regina--Wascana"," 51","Regina",55,6,1,56,94,4,0,216,464
47009,"Regina--Wascana/Regina--Wascana"," 52","Regina",64,17,0,98,111,5,2,297,645
47009,"Regina--Wascana/Regina--Wascana"," 53","Regina",60,9,1,106,118,3,0,297,631
47009,"Regina--Wascana/Regina--Wascana"," 54","Regina",47,13,0,86,79,4,1,230,427
47009,"Regina--Wascana/Regina--Wascana"," 55","Regina",43,9,0,76,67,0,3,198,362
47009,"Regina--Wascana/Regina--Wascana"," 56","Regina",43,4,1,104,80,3,4,239,468
47009,"Regina--Wascana/Regina--Wascana"," 57","Regina",13,3,0,54,102,0,0,172,358
47009,"Regina--Wascana/Regina--Wascana"," 58","Regina",32,4,0,74,83,0,0,193,370
47009,"Regina--Wascana/Regina--Wascana"," 59","Regina",38,10,1,105,146,1,0,301,648
47009,"Regina--Wascana/Regina--Wascana"," 60","Regina",22,4,1,69,99,1,0,196,349
47009,"Regina--Wascana/Regina--Wascana"," 61","Regina",43,5,2,110,179,1,0,340,675
47009,"Regina--Wascana/Regina--Wascana"," 62","Regina",8,2,0,70,127,0,1,208,492
47009,"Regina--Wascana/Regina--Wascana"," 63","Regina",26,7,0,83,175,2,5,298,638
47009,"Regina--Wascana/Regina--Wascana"," 64","Regina",23,9,0,83,104,4,0,223,407
47009,"Regina--Wascana/Regina--Wascana"," 65","Regina",27,5,0,51,101,1,2,187,380
47009,"Regina--Wascana/Regina--Wascana"," 66","Regina",20,8,0,57,79,4,0,168,348
47009,"Regina--Wascana/Regina--Wascana"," 67","Regina",22,8,0,97,81,3,1,212,482
47009,"Regina--Wascana/Regina--Wascana"," 68","Regina",69,22,1,233,195,6,3,529,448
47009,"Regina--Wascana/Regina--Wascana"," 69","Regina",Merged with No./Fusionné avec le n°68,,,,,,,,430
47009,"Regina--Wascana/Regina--Wascana"," 70","Regina",51,17,1,62,97,5,0,233,451
47009,"Regina--Wascana/Regina--Wascana"," 71","Regina",37,4,0,70,96,1,0,208,329
47009,"Regina--Wascana/Regina--Wascana"," 72","Regina",49,11,0,99,120,6,2,287,469
47009,"Regina--Wascana/Regina--Wascana"," 73","Regina",20,12,0,84,120,4,0,240,347
47009,"Regina--Wascana/Regina--Wascana"," 74","Regina",28,8,0,77,116,3,5,237,409
47009,"Regina--Wascana/Regina--Wascana"," 75","Regina",35,8,0,118,113,3,2,279,485
47009,"Regina--Wascana/Regina--Wascana"," 76","Regina",16,6,1,57,180,0,0,260,579
47009,"Regina--Wascana/Regina--Wascana"," 77","Regina",30,4,0,69,176,2,1,282,580
47009,"Regina--Wascana/Regina--Wascana"," 78","Regina",16,6,1,86,195,1,0,305,567
47009,"Regina--Wascana/Regina--Wascana"," 79","Regina",21,4,1,61,97,6,0,190,339
47009,"Regina--Wascana/Regina--Wascana"," 80","Regina",46,12,2,177,229,2,4,472,474
47009,"Regina--Wascana/Regina--Wascana"," 81","Regina",19,6,0,83,103,4,1,216,392
47009,"Regina--Wascana/Regina--Wascana"," 82","Regina",Merged with No./Fusionné avec le n°80,,,,,,,,395
47009,"Regina--Wascana/Regina--Wascana"," 83","Regina",39,4,0,104,150,1,0,298,338
47009,"Regina--Wascana/Regina--Wascana"," 84","Regina",Merged with No./Fusionné avec le n°83,,,,,,,,299
47009,"Regina--Wascana/Regina--Wascana"," 85","Regina",Merged with No./Fusionné avec le n°86,,,,,,,,384
47009,"Regina--Wascana/Regina--Wascana"," 86","Regina",47,13,0,132,251,2,2,447,456
47009,"Regina--Wascana/Regina--Wascana"," 87","Regina",16,5,0,53,107,1,1,183,348
47009,"Regina--Wascana/Regina--Wascana"," 88","Regina",17,4,0,81,85,2,1,190,382
47009,"Regina--Wascana/Regina--Wascana"," 89","Regina",15,3,1,59,93,1,0,172,380
47009,"Regina--Wascana/Regina--Wascana"," 90","Regina",14,4,0,60,147,0,1,226,474
47009,"Regina--Wascana/Regina--Wascana"," 91","Regina",Merged with No./Fusionné avec le n°92,,,,,,,,435
47009,"Regina--Wascana/Regina--Wascana"," 92","Regina",44,11,0,229,181,5,3,473,538
47009,"Regina--Wascana/Regina--Wascana"," 93","Regina",26,6,0,108,94,0,0,234,464
47009,"Regina--Wascana/Regina--Wascana"," 94","Regina",31,4,0,88,194,6,0,323,569
47009,"Regina--Wascana/Regina--Wascana"," 95","Regina",24,4,0,68,84,0,0,180,400
47009,"Regina--Wascana/Regina--Wascana"," 96","Regina",23,5,0,81,110,4,1,224,447
47009,"Regina--Wascana/Regina--Wascana"," 97","Regina",19,7,1,74,125,0,5,231,441
47009,"Regina--Wascana/Regina--Wascana"," 98","Regina",10,5,0,42,84,0,0,141,327
47009,"Regina--Wascana/Regina--Wascana"," 99","Regina",8,4,0,67,86,1,4,170,364
47009,"Regina--Wascana/Regina--Wascana"," 100","Regina",17,5,0,72,99,0,0,193,393
47009,"Regina--Wascana/Regina--Wascana"," 101","Regina",13,4,0,74,82,1,2,176,415
47009,"Regina--Wascana/Regina--Wascana"," 102A","Regina",Merged with No./Fusionné avec le n°103,,,,,,,,423
47009,"Regina--Wascana/Regina--Wascana"," 102B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,17
47009,"Regina--Wascana/Regina--Wascana"," 103","Regina",60,15,2,212,199,6,1,495,569
47009,"Regina--Wascana/Regina--Wascana"," 104","Regina",46,6,0,109,78,1,0,240,476
47009,"Regina--Wascana/Regina--Wascana"," 105","Regina",26,10,3,80,97,5,0,221,460
47009,"Regina--Wascana/Regina--Wascana"," 106","Regina",27,8,0,70,68,3,2,178,389
47009,"Regina--Wascana/Regina--Wascana"," 107","Regina",30,9,1,105,97,4,1,247,484
47009,"Regina--Wascana/Regina--Wascana"," 108","Regina",11,4,0,60,97,2,4,178,470
47009,"Regina--Wascana/Regina--Wascana"," 109","Regina",28,6,1,79,122,3,0,239,532
47009,"Regina--Wascana/Regina--Wascana"," 110","Regina",21,4,1,66,99,0,2,193,433
47009,"Regina--Wascana/Regina--Wascana"," 111","Regina",9,0,0,58,100,5,0,172,481
47009,"Regina--Wascana/Regina--Wascana"," 112","Regina",8,1,0,73,110,1,1,194,484
47009,"Regina--Wascana/Regina--Wascana"," 113","Regina",15,3,0,73,120,0,0,211,458
47009,"Regina--Wascana/Regina--Wascana"," 114","Regina",71,13,0,99,103,2,1,289,487
47009,"Regina--Wascana/Regina--Wascana"," 115A","Regina",26,5,0,56,100,3,3,193,409
47009,"Regina--Wascana/Regina--Wascana"," 115B","Regina",29,5,0,60,123,1,2,220,462
47009,"Regina--Wascana/Regina--Wascana"," 116","Regina",Merged with No./Fusionné avec le n°117,,,,,,,,365
47009,"Regina--Wascana/Regina--Wascana"," 117","Regina",48,9,1,119,311,1,0,489,624
47009,"Regina--Wascana/Regina--Wascana"," 118","Regina",42,3,0,70,163,3,3,284,587
47009,"Regina--Wascana/Regina--Wascana"," 119A","Regina",47,7,0,81,123,1,3,262,580
47009,"Regina--Wascana/Regina--Wascana"," 119B","Regina",39,5,2,69,140,3,6,264,528
47009,"Regina--Wascana/Regina--Wascana"," 120","Estlin--Richardson",25,6,0,75,130,1,0,237,543
47009,"Regina--Wascana/Regina--Wascana"," 121","Estlin--Richardson",19,2,1,56,174,2,0,254,529
47009,"Regina--Wascana/Regina--Wascana"," 122","Regina",35,8,0,83,70,4,0,200,392
47009,"Regina--Wascana/Regina--Wascana"," 123","Regina",30,7,0,91,115,2,1,246,442
47009,"Regina--Wascana/Regina--Wascana"," 124","Regina",26,6,0,72,88,1,1,194,365
47009,"Regina--Wascana/Regina--Wascana"," 125","Regina",30,7,0,80,137,0,1,255,444
47009,"Regina--Wascana/Regina--Wascana"," 126","Regina",36,10,0,104,115,2,1,268,426
47009,"Regina--Wascana/Regina--Wascana"," 127","Regina",48,8,0,157,191,4,4,412,429
47009,"Regina--Wascana/Regina--Wascana"," 128","Regina",Merged with No./Fusionné avec le n°127,,,,,,,,338
47009,"Regina--Wascana/Regina--Wascana"," 400","Regina",12,0,0,40,30,0,2,84,94
