Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claire Card,Susan Hayton,Jan Norris,Guto Penteado,Corey Tochor,Jeff Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--University/Saskatoon--University"," 1","Saskatoon",37,14,1,4,115,0,1,172,361
47011,"Saskatoon--University/Saskatoon--University"," 2","Saskatoon",41,20,7,3,73,0,2,146,363
47011,"Saskatoon--University/Saskatoon--University"," 3","Saskatoon",70,25,3,8,105,2,1,214,413
47011,"Saskatoon--University/Saskatoon--University"," 4","Saskatoon",42,16,2,3,104,4,0,171,391
47011,"Saskatoon--University/Saskatoon--University"," 5","Saskatoon",49,20,3,3,86,1,0,162,404
47011,"Saskatoon--University/Saskatoon--University"," 6","Saskatoon",63,31,6,3,120,3,1,227,438
47011,"Saskatoon--University/Saskatoon--University"," 7","Saskatoon",53,17,3,4,80,0,2,159,361
47011,"Saskatoon--University/Saskatoon--University"," 8","Saskatoon",53,21,3,4,110,0,2,193,403
47011,"Saskatoon--University/Saskatoon--University"," 9","Saskatoon",48,8,6,1,118,3,0,184,391
47011,"Saskatoon--University/Saskatoon--University"," 10","Saskatoon",44,19,2,1,118,3,1,188,415
47011,"Saskatoon--University/Saskatoon--University"," 11","Saskatoon",27,20,3,7,94,5,0,156,375
47011,"Saskatoon--University/Saskatoon--University"," 12","Saskatoon",56,34,12,7,84,1,1,195,411
47011,"Saskatoon--University/Saskatoon--University"," 13","Saskatoon",50,14,0,1,93,5,1,164,345
47011,"Saskatoon--University/Saskatoon--University"," 14","Saskatoon",56,29,7,1,97,1,1,192,445
47011,"Saskatoon--University/Saskatoon--University"," 15","Saskatoon",51,25,1,4,81,0,1,163,348
47011,"Saskatoon--University/Saskatoon--University"," 16","Saskatoon",49,12,4,3,103,1,2,174,406
47011,"Saskatoon--University/Saskatoon--University"," 17","Saskatoon",47,15,7,1,113,2,1,186,401
47011,"Saskatoon--University/Saskatoon--University"," 18","Saskatoon",47,16,1,0,115,1,0,180,424
47011,"Saskatoon--University/Saskatoon--University"," 19","Saskatoon",82,19,9,6,139,0,1,256,491
47011,"Saskatoon--University/Saskatoon--University"," 20","Saskatoon",35,25,3,3,109,1,2,178,371
47011,"Saskatoon--University/Saskatoon--University"," 21","Saskatoon",35,16,2,2,109,0,0,164,366
47011,"Saskatoon--University/Saskatoon--University"," 22","Saskatoon",69,20,6,4,190,7,2,298,504
47011,"Saskatoon--University/Saskatoon--University"," 23","Saskatoon",62,26,10,2,191,0,1,292,519
47011,"Saskatoon--University/Saskatoon--University"," 24","Saskatoon",92,19,6,1,162,4,2,286,518
47011,"Saskatoon--University/Saskatoon--University"," 25","Saskatoon",65,21,6,5,139,1,1,238,510
47011,"Saskatoon--University/Saskatoon--University"," 26","Saskatoon",55,23,13,4,157,3,0,255,470
47011,"Saskatoon--University/Saskatoon--University"," 27","Saskatoon",60,18,3,8,109,3,2,203,403
47011,"Saskatoon--University/Saskatoon--University"," 28","Saskatoon",39,31,6,3,99,3,0,181,353
47011,"Saskatoon--University/Saskatoon--University"," 29","Saskatoon",35,32,9,4,111,2,2,195,419
47011,"Saskatoon--University/Saskatoon--University"," 30","Saskatoon",57,24,3,6,94,2,2,188,431
47011,"Saskatoon--University/Saskatoon--University"," 31","Saskatoon",42,19,6,4,101,1,0,173,344
47011,"Saskatoon--University/Saskatoon--University"," 32","Saskatoon",48,24,5,2,98,0,0,177,368
47011,"Saskatoon--University/Saskatoon--University"," 33","Saskatoon",47,29,5,1,95,0,0,177,341
47011,"Saskatoon--University/Saskatoon--University"," 34","Saskatoon",62,20,3,3,92,0,1,181,387
47011,"Saskatoon--University/Saskatoon--University"," 35","Saskatoon",53,35,3,4,103,2,0,200,327
47011,"Saskatoon--University/Saskatoon--University"," 36","Saskatoon",61,30,10,0,129,0,2,232,460
47011,"Saskatoon--University/Saskatoon--University"," 37A","Saskatoon",69,41,4,4,120,0,4,242,462
47011,"Saskatoon--University/Saskatoon--University"," 37B","Saskatoon",50,30,6,1,134,1,1,223,435
47011,"Saskatoon--University/Saskatoon--University"," 38","Saskatoon",48,15,3,1,119,0,0,186,414
