Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gwyneth Midgley,Austin Mullins,Blake Richards,Nadine Wellwood,Anne Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Banff--Airdrie/Banff--Airdrie"," 1","Lake Louise",49,39,3,51,95,1,238,444
48001,"Banff--Airdrie/Banff--Airdrie"," 2","Lake Louise",30,16,34,3,48,2,133,351
48001,"Banff--Airdrie/Banff--Airdrie"," 3","Bighorn",24,12,230,11,38,2,317,564
48001,"Banff--Airdrie/Banff--Airdrie"," 4","Bottrel",19,6,249,11,9,0,294,500
48001,"Banff--Airdrie/Banff--Airdrie"," 5","Westbrook",4,6,226,8,5,2,251,355
48001,"Banff--Airdrie/Banff--Airdrie"," 6","Lochend",13,2,131,6,8,2,162,324
48001,"Banff--Airdrie/Banff--Airdrie"," 7","Banff",39,15,67,0,53,6,180,530
48001,"Banff--Airdrie/Banff--Airdrie"," 8","Banff",47,35,64,1,74,1,222,560
48001,"Banff--Airdrie/Banff--Airdrie"," 9","Banff",38,15,51,1,43,1,149,354
48001,"Banff--Airdrie/Banff--Airdrie"," 10A","Banff",30,14,36,1,35,1,117,318
48001,"Banff--Airdrie/Banff--Airdrie"," 10B","Banff",39,14,28,1,40,0,122,310
48001,"Banff--Airdrie/Banff--Airdrie"," 11","Banff",53,21,71,2,56,6,209,515
48001,"Banff--Airdrie/Banff--Airdrie"," 12","Banff",45,18,40,2,57,0,162,303
48001,"Banff--Airdrie/Banff--Airdrie"," 13","Banff",63,30,51,5,63,1,213,475
48001,"Banff--Airdrie/Banff--Airdrie"," 14","Banff",61,31,55,4,49,2,202,479
48001,"Banff--Airdrie/Banff--Airdrie"," 15","Banff",42,18,42,1,50,1,154,388
48001,"Banff--Airdrie/Banff--Airdrie"," 16","Banff",44,17,62,2,41,0,166,427
48001,"Banff--Airdrie/Banff--Airdrie"," 17","Banff",58,23,46,4,60,0,191,489
48001,"Banff--Airdrie/Banff--Airdrie"," 18","Crossfield",3,3,145,4,10,0,165,242
48001,"Banff--Airdrie/Banff--Airdrie"," 19","Crossfield",4,2,111,7,12,1,137,224
48001,"Banff--Airdrie/Banff--Airdrie"," 20","Crossfield",12,1,225,6,13,0,257,240
48001,"Banff--Airdrie/Banff--Airdrie"," 21","Crossfield",5,3,130,4,8,0,150,219
48001,"Banff--Airdrie/Banff--Airdrie"," 22","Crossfield",5,4,223,12,8,2,254,400
48001,"Banff--Airdrie/Banff--Airdrie"," 23","Crossfield",Merged with No./Fusionné avec le n°20,,,,,,,179
48001,"Banff--Airdrie/Banff--Airdrie"," 24","Crossfield",20,10,166,7,21,3,227,366
48001,"Banff--Airdrie/Banff--Airdrie"," 25","Crossfield",20,13,274,14,23,0,344,542
48001,"Banff--Airdrie/Banff--Airdrie"," 26","Crossfield",10,10,189,10,9,3,231,385
48001,"Banff--Airdrie/Banff--Airdrie"," 27","Crossfield",6,1,165,4,8,0,184,308
48001,"Banff--Airdrie/Banff--Airdrie"," 28","Harvie Heights",Merged with No./Fusionné avec le n°29,,,,,,,154
48001,"Banff--Airdrie/Banff--Airdrie"," 29","Canmore",49,36,73,4,42,0,204,378
48001,"Banff--Airdrie/Banff--Airdrie"," 30","Canmore",49,30,67,6,41,1,194,491
48001,"Banff--Airdrie/Banff--Airdrie"," 31","Canmore",47,30,94,2,43,0,216,509
