Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevan Hunter,Colin Korol,Tim Moen,Natalie Odd,Gurcharan Singh Sidhu,Jordan Stein,Len Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary Confederation/Calgary Confederation"," 1","Calgary",0,1,2,12,18,47,141,0,221,400
48005,"Calgary Confederation/Calgary Confederation"," 2","Calgary",0,4,2,11,18,46,116,4,201,377
48005,"Calgary Confederation/Calgary Confederation"," 3","Calgary",0,8,2,14,20,53,120,1,218,392
48005,"Calgary Confederation/Calgary Confederation"," 4","Calgary",1,3,7,12,36,58,124,1,242,448
48005,"Calgary Confederation/Calgary Confederation"," 5","Calgary",0,6,0,19,18,49,133,2,227,452
48005,"Calgary Confederation/Calgary Confederation"," 6","Calgary",0,2,1,15,15,50,121,0,204,448
48005,"Calgary Confederation/Calgary Confederation"," 7","Calgary",0,5,3,14,18,29,169,1,239,457
48005,"Calgary Confederation/Calgary Confederation"," 8","Calgary",2,5,1,17,17,48,135,1,226,429
48005,"Calgary Confederation/Calgary Confederation"," 9","Calgary",0,10,3,9,27,42,133,2,226,401
48005,"Calgary Confederation/Calgary Confederation"," 10","Calgary",0,1,2,11,17,33,140,1,205,415
48005,"Calgary Confederation/Calgary Confederation"," 11","Calgary",0,1,1,6,2,21,120,2,153,453
48005,"Calgary Confederation/Calgary Confederation"," 12","Calgary",0,5,1,5,7,22,129,2,171,357
48005,"Calgary Confederation/Calgary Confederation"," 13A","Calgary",0,2,1,3,9,19,107,2,143,341
48005,"Calgary Confederation/Calgary Confederation"," 13B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,,116
48005,"Calgary Confederation/Calgary Confederation"," 14","Calgary",0,1,1,12,3,29,123,2,171,358
48005,"Calgary Confederation/Calgary Confederation"," 15","Calgary",0,4,0,12,10,33,100,0,159,387
48005,"Calgary Confederation/Calgary Confederation"," 16","Calgary",1,1,0,11,21,30,113,0,177,390
48005,"Calgary Confederation/Calgary Confederation"," 17","Calgary",0,6,0,14,37,44,121,7,229,467
48005,"Calgary Confederation/Calgary Confederation"," 18","Calgary",0,5,1,22,33,58,130,1,250,381
48005,"Calgary Confederation/Calgary Confederation"," 19","Calgary",1,1,5,13,25,32,87,0,164,470
48005,"Calgary Confederation/Calgary Confederation"," 20","Calgary",1,12,1,18,26,59,143,0,260,555
48005,"Calgary Confederation/Calgary Confederation"," 21","Calgary",0,5,0,12,25,38,75,2,157,415
48005,"Calgary Confederation/Calgary Confederation"," 22","Calgary",1,1,0,3,20,39,151,0,215,443
48005,"Calgary Confederation/Calgary Confederation"," 23","Calgary",0,4,2,13,22,31,136,1,209,436
