Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jag Anand,William Carnegie,Jasraj Singh Hallan,Dave Levesque,Brent Nichols,Joe Pimlott,William James Ryder,Esther Sutherland,Jonathan Trautman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 1","Calgary",61,5,70,1,2,23,0,1,1,1,165,418
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 2","Calgary",44,3,66,1,0,19,1,1,1,1,137,374
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 3","Calgary",71,2,82,0,0,16,0,2,1,0,174,391
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 4","Calgary",81,1,84,1,2,24,0,0,0,1,194,444
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 5","Calgary",75,1,95,0,0,31,0,0,0,0,202,447
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 6","Calgary",38,2,69,0,0,26,1,0,0,2,138,286
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 7","Calgary",81,1,88,0,0,17,0,2,1,0,190,378
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 8","Calgary",87,5,75,0,0,18,0,0,0,0,185,426
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 9","Calgary",82,3,75,3,2,13,0,0,0,0,178,398
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 10","Calgary",57,2,74,0,1,9,0,0,0,4,147,294
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 11","Calgary",49,7,68,7,3,27,0,1,0,1,163,392
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 12","Calgary",29,7,148,9,2,19,0,0,0,0,214,339
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 13","Calgary",42,11,94,4,1,20,0,2,2,1,177,364
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 14","Calgary",49,6,94,5,0,16,1,0,1,2,174,384
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 15","Calgary",68,3,55,4,1,7,0,1,0,0,139,330
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 16","Calgary",44,1,112,5,1,17,0,0,1,0,181,470
