Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peggy Askin,Jocelyn Grossé,Patrick King,Kelly Lorencz,Michelle Rempel,Josephine Tsang,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48009,"Calgary Nose Hill/Calgary Nose Hill"," 1","Calgary",0,4,24,2,90,36,1,157,283
48009,"Calgary Nose Hill/Calgary Nose Hill"," 2","Calgary",0,1,12,1,98,26,0,138,409
48009,"Calgary Nose Hill/Calgary Nose Hill"," 3","Calgary",0,5,21,4,151,31,1,213,409
48009,"Calgary Nose Hill/Calgary Nose Hill"," 4","Calgary",0,7,22,1,222,42,0,294,614
48009,"Calgary Nose Hill/Calgary Nose Hill"," 5","Calgary",0,4,22,2,123,35,0,186,454
48009,"Calgary Nose Hill/Calgary Nose Hill"," 6","Calgary",0,5,22,2,117,49,0,195,569
48009,"Calgary Nose Hill/Calgary Nose Hill"," 7","Calgary",1,3,17,6,146,46,0,219,565
48009,"Calgary Nose Hill/Calgary Nose Hill"," 8","Calgary",0,2,24,3,118,45,0,192,595
48009,"Calgary Nose Hill/Calgary Nose Hill"," 9","Calgary",0,3,33,6,125,37,1,205,456
48009,"Calgary Nose Hill/Calgary Nose Hill"," 10","Calgary",0,0,8,3,102,29,0,142,420
48009,"Calgary Nose Hill/Calgary Nose Hill"," 11","Calgary",0,2,14,1,132,30,0,179,515
48009,"Calgary Nose Hill/Calgary Nose Hill"," 12","Calgary",0,0,11,4,103,25,0,143,363
48009,"Calgary Nose Hill/Calgary Nose Hill"," 13","Calgary",1,2,20,1,130,64,2,220,559
48009,"Calgary Nose Hill/Calgary Nose Hill"," 14","Calgary",0,3,20,2,149,28,1,203,444
48009,"Calgary Nose Hill/Calgary Nose Hill"," 15","Calgary",1,8,24,2,144,37,2,218,455
48009,"Calgary Nose Hill/Calgary Nose Hill"," 16","Calgary",0,5,27,2,166,50,1,251,459
48009,"Calgary Nose Hill/Calgary Nose Hill"," 17","Calgary",0,5,15,7,155,28,0,210,450
48009,"Calgary Nose Hill/Calgary Nose Hill"," 18","Calgary",0,1,10,0,85,27,0,123,406
48009,"Calgary Nose Hill/Calgary Nose Hill"," 19","Calgary",0,5,19,0,123,29,0,176,475
48009,"Calgary Nose Hill/Calgary Nose Hill"," 20","Calgary",0,3,23,6,124,36,2,194,511
48009,"Calgary Nose Hill/Calgary Nose Hill"," 21","Calgary",1,0,20,0,138,34,0,193,538
48009,"Calgary Nose Hill/Calgary Nose Hill"," 22","Calgary",0,3,29,0,118,47,0,197,530
48009,"Calgary Nose Hill/Calgary Nose Hill"," 23","Calgary",0,3,11,4,71,29,3,121,309
48009,"Calgary Nose Hill/Calgary Nose Hill"," 24","Calgary",0,6,13,3,125,23,1,171,418
48009,"Calgary Nose Hill/Calgary Nose Hill"," 25","Calgary",0,3,23,2,127,48,1,204,552
48009,"Calgary Nose Hill/Calgary Nose Hill"," 26","Calgary",0,2,7,1,83,30,3,126,413
48009,"Calgary Nose Hill/Calgary Nose Hill"," 27","Calgary",0,7,18,2,118,37,1,183,457
48009,"Calgary Nose Hill/Calgary Nose Hill"," 28","Calgary",1,3,22,3,103,34,1,167,394
48009,"Calgary Nose Hill/Calgary Nose Hill"," 29","Calgary",1,3,11,1,95,31,2,144,432
