Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Todd Kathol,Pat Kelly,Nathan LeBlanc Fortin,Tyler Poulin,Shaoli Wang,Catriona Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 1A","Calgary",45,77,14,0,0,4,0,140,386
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 1B","Calgary",36,95,19,0,0,8,1,159,443
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 2A","Calgary",56,142,23,1,0,5,1,228,452
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 2B","Calgary",49,126,20,1,1,1,1,199,406
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 3A","Calgary",Merged with No./Fusionné avec le n°2A,,,,,,,,131
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 3B","Calgary",Merged with No./Fusionné avec le n°2B,,,,,,,,115
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 4","Calgary",53,183,37,6,1,9,1,290,765
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 5","Calgary",48,122,8,0,1,3,1,183,504
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 6","Calgary",38,134,27,2,0,5,1,207,523
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 7","Calgary",53,152,18,4,0,5,0,232,700
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 8","Calgary",39,113,5,3,0,0,0,160,505
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 9","Calgary",52,132,14,2,1,4,1,206,541
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 10","Calgary",26,166,17,3,1,5,3,221,660
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 11","Calgary",68,200,20,2,0,2,0,292,731
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 12","Calgary",30,96,11,5,0,3,0,145,448
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 13","Calgary",36,120,19,0,2,2,0,179,503
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 14","Calgary",50,129,19,1,0,5,0,204,491
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 15","Calgary",51,158,14,5,0,8,3,239,287
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 16","Calgary",78,204,29,3,6,9,0,329,626
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 17","Calgary",77,209,36,4,0,17,0,343,864
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 18","Calgary",85,255,38,2,0,8,1,389,912
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 19","Calgary",Merged with No./Fusionné avec le n°20A,,,,,,,,377
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 20A","Calgary",43,161,17,4,1,4,0,230,328
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 20B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,49
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 21A","Calgary",42,134,14,0,0,3,1,194,487
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 21B","Calgary",9,63,2,0,0,2,1,77,84
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 22","Calgary",65,232,16,3,1,6,1,324,829
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 23","Calgary",50,176,18,3,0,3,0,250,613
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 24","Calgary",16,101,8,4,1,2,0,132,319
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 25","Calgary",33,108,21,1,1,7,1,172,438
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 26","Calgary",43,131,16,3,0,7,1,201,447
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 27","Calgary",41,86,15,3,0,3,0,148,389
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 28","Calgary",30,111,18,3,2,5,0,169,388
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 29","Calgary",29,118,7,2,0,3,0,159,418
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 30","Calgary",47,151,13,1,0,10,2,224,542
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 31","Calgary",44,161,19,5,0,10,1,240,565
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 32","Calgary",39,108,10,0,2,3,0,162,374
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 33A","Calgary",37,160,10,3,0,3,1,214,489
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 33B","Calgary",44,144,11,0,1,2,0,202,469
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 34","Calgary",58,127,20,2,0,9,0,216,569
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 35","Calgary",31,103,11,1,2,5,0,153,382
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 36","Calgary",35,120,13,1,0,8,0,177,494
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 37","Calgary",41,92,13,9,1,2,2,160,405
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 38","Calgary",28,88,6,2,1,0,0,125,343
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 39","Calgary",19,78,8,2,0,4,0,111,357
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 40","Calgary",30,79,15,0,0,1,0,125,328
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 41","Calgary",27,52,7,4,2,2,0,94,348
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 42","Calgary",53,123,29,3,1,2,0,211,652
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 43","Calgary",25,116,28,3,2,0,0,174,522
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 44","Calgary",30,130,18,5,0,1,0,184,403
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 45","Calgary",48,112,15,5,1,9,1,191,440
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 46","Calgary",21,122,12,3,1,1,2,162,369
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 47","Calgary",27,88,7,3,0,3,0,128,298
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 48","Calgary",44,132,17,6,0,11,0,210,502
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 49","Calgary",35,99,23,4,1,4,0,166,375
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 50","Calgary",46,142,20,4,1,2,0,215,494
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 51","Calgary",43,124,15,2,1,5,0,190,460
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 52","Calgary",53,115,7,1,0,3,0,179,430
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 53","Calgary",32,120,21,0,1,5,0,179,443
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 54A","Calgary",62,117,14,2,0,1,0,196,471
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 54B","Calgary",63,134,22,0,1,2,1,223,512
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 55","Calgary",92,236,22,3,1,1,0,355,740
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 56","Calgary",36,63,9,1,0,1,0,110,342
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 57","Calgary",26,126,8,0,1,4,0,165,360
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 58","Calgary",50,169,11,1,0,0,0,231,504
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 59","Calgary",51,113,9,1,0,5,1,180,512
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 60","Calgary",60,173,30,1,0,3,1,268,550
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 61","Calgary",39,160,25,0,0,8,1,233,646
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 62","Calgary",42,93,23,1,3,2,0,164,481
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 63","Calgary",35,87,17,1,1,4,0,145,386
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 64","Calgary",24,107,21,3,2,5,0,162,467
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 65","Calgary",31,73,11,3,1,1,1,121,428
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 66","Calgary",25,81,11,2,0,1,1,121,416
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 67","Calgary",24,112,12,4,0,1,0,153,426
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 68","Calgary",27,87,14,2,0,1,1,132,433
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 69","Calgary",30,140,18,2,0,2,0,192,522
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 70","Calgary",Merged with No./Fusionné avec le n°15,,,,,,,,254
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 71","Calgary",44,118,12,3,4,4,0,185,560
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 72","Calgary",26,97,11,0,0,1,1,136,365
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 73","Calgary",21,92,9,0,0,1,1,124,424
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 74","Calgary",53,123,8,3,0,0,1,188,407
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 75","Calgary",53,140,17,1,1,2,2,216,481
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 76","Calgary",54,147,25,1,1,3,0,231,489
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 77","Calgary",37,121,12,0,0,1,0,171,391
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 78","Calgary",37,135,18,4,0,4,0,198,485
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 79","Calgary",35,111,11,3,1,4,0,165,457
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 80","Calgary",41,119,15,4,0,3,0,182,468
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 81","Calgary",30,151,20,1,2,6,1,211,455
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 82","Calgary",32,121,26,3,0,5,0,187,520
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 83","Calgary",49,136,14,3,0,7,0,209,420
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 84","Calgary",25,108,9,5,2,4,0,153,402
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 85","Calgary",29,120,13,1,0,4,0,167,396
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 86","Calgary",43,202,25,1,1,7,0,279,485
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 87","Calgary",60,112,28,2,1,3,0,206,456
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 88","Calgary",37,186,35,6,1,7,2,274,524
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 89","Calgary",71,165,19,1,0,5,0,261,447
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 90","Calgary",51,169,29,2,3,0,0,254,481
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 91","Calgary",56,174,22,4,1,5,1,263,504
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 92","Calgary",59,157,24,2,1,7,0,250,445
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 93","Calgary",48,177,11,4,0,10,3,253,473
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 94","Calgary",44,162,19,4,1,3,3,236,479
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 95","Calgary",46,155,16,5,0,6,1,229,419
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 96","Calgary",42,113,13,2,0,7,0,177,479
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 97","Calgary",44,119,11,0,1,8,0,183,467
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 98","Calgary",29,118,20,7,2,9,0,185,458
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 99","Calgary",32,101,13,1,2,6,1,156,443
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 100","Calgary",41,152,17,1,1,11,1,224,563
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 101","Calgary",47,120,21,5,0,10,1,204,415
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 102","Calgary",20,91,37,2,1,11,0,162,368
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge"," 103","Rocky View No. 44",21,117,16,2,0,4,0,160,455
