Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Cameron,Michael Kalmanovitch,Sam Lilly,Dougal MacDonald,Heather McPherson,Eleanor Olszewski,Naomi Rankin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Strathcona/Edmonton Strathcona"," 1","Edmonton",1,5,122,0,76,32,3,1,240,405
48019,"Edmonton Strathcona/Edmonton Strathcona"," 2","Edmonton",4,6,141,0,86,30,1,0,268,432
48019,"Edmonton Strathcona/Edmonton Strathcona"," 3","Edmonton",3,6,139,1,86,35,0,1,271,434
48019,"Edmonton Strathcona/Edmonton Strathcona"," 4","Edmonton",3,7,148,0,116,19,0,0,293,418
48019,"Edmonton Strathcona/Edmonton Strathcona"," 5","Edmonton",5,3,157,0,102,42,1,2,312,511
48019,"Edmonton Strathcona/Edmonton Strathcona"," 6","Edmonton",6,2,125,1,91,21,0,0,246,482
48019,"Edmonton Strathcona/Edmonton Strathcona"," 7","Edmonton",6,10,117,2,106,30,2,1,274,457
48019,"Edmonton Strathcona/Edmonton Strathcona"," 8","Edmonton",2,3,110,3,139,22,1,2,282,482
48019,"Edmonton Strathcona/Edmonton Strathcona"," 9","Edmonton",3,8,110,1,117,20,1,1,261,458
48019,"Edmonton Strathcona/Edmonton Strathcona"," 10","Edmonton",5,5,111,0,114,22,0,0,257,486
48019,"Edmonton Strathcona/Edmonton Strathcona"," 11","Edmonton",0,5,122,0,122,36,0,2,287,578
48019,"Edmonton Strathcona/Edmonton Strathcona"," 12","Edmonton",1,2,116,0,110,24,0,1,254,454
48019,"Edmonton Strathcona/Edmonton Strathcona"," 13","Edmonton",3,5,67,0,175,32,1,0,283,437
48019,"Edmonton Strathcona/Edmonton Strathcona"," 14","Edmonton",3,6,73,0,152,30,0,0,264,437
48019,"Edmonton Strathcona/Edmonton Strathcona"," 15","Edmonton",2,9,90,0,123,41,1,0,266,411
48019,"Edmonton Strathcona/Edmonton Strathcona"," 16","Edmonton",8,9,79,0,135,21,0,0,252,418
48019,"Edmonton Strathcona/Edmonton Strathcona"," 17","Edmonton",5,4,116,1,103,31,1,1,262,440
48019,"Edmonton Strathcona/Edmonton Strathcona"," 18","Edmonton",6,7,158,0,114,23,0,0,308,516
48019,"Edmonton Strathcona/Edmonton Strathcona"," 19","Edmonton",3,2,118,0,110,18,0,0,251,425
48019,"Edmonton Strathcona/Edmonton Strathcona"," 20","Edmonton",4,2,151,0,81,34,0,0,272,423
48019,"Edmonton Strathcona/Edmonton Strathcona"," 21","Edmonton",6,1,160,0,106,27,1,2,303,494
48019,"Edmonton Strathcona/Edmonton Strathcona"," 22","Edmonton",4,7,94,0,94,23,0,3,225,486
48019,"Edmonton Strathcona/Edmonton Strathcona"," 23","Edmonton",3,1,108,0,88,35,0,2,237,377
48019,"Edmonton Strathcona/Edmonton Strathcona"," 24","Edmonton",1,4,100,0,118,31,2,1,257,407
48019,"Edmonton Strathcona/Edmonton Strathcona"," 25","Edmonton",3,2,123,0,123,24,0,1,276,427
48019,"Edmonton Strathcona/Edmonton Strathcona"," 26","Edmonton",1,2,125,0,128,32,0,3,291,424
48019,"Edmonton Strathcona/Edmonton Strathcona"," 27","Edmonton",3,1,170,1,101,21,0,4,301,488
48019,"Edmonton Strathcona/Edmonton Strathcona"," 28","Edmonton",3,7,108,0,125,26,0,0,269,462
48019,"Edmonton Strathcona/Edmonton Strathcona"," 29","Edmonton",2,7,93,0,146,46,2,0,296,559
48019,"Edmonton Strathcona/Edmonton Strathcona"," 30","Edmonton",3,1,45,0,137,28,0,0,214,475
48019,"Edmonton Strathcona/Edmonton Strathcona"," 31A","Edmonton",1,1,39,0,68,16,0,0,125,383
48019,"Edmonton Strathcona/Edmonton Strathcona"," 31B","Mobile poll/Bureau itinérant",2,6,54,1,46,20,0,0,129,104
48019,"Edmonton Strathcona/Edmonton Strathcona"," 32","Edmonton",1,3,45,1,134,19,0,0,203,491
48019,"Edmonton Strathcona/Edmonton Strathcona"," 33","Edmonton",3,4,89,0,88,21,0,1,206,430
48019,"Edmonton Strathcona/Edmonton Strathcona"," 34","Edmonton",6,5,78,1,78,20,1,2,191,385
48019,"Edmonton Strathcona/Edmonton Strathcona"," 35","Edmonton",2,3,85,1,69,18,0,0,178,354
