Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Barlow,Mickail Hendi,Greg Hession,Bridget Lacey,Cheryl Moller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,"Foothills/Foothills"," 1","Jumping Pound",86,3,2,6,3,0,100,223
48022,"Foothills/Foothills"," 2","Rocky View No. 44",94,8,1,2,6,1,112,304
48022,"Foothills/Foothills"," 3","Jumping Pound",141,8,2,3,9,0,163,334
48022,"Foothills/Foothills"," 4","Rocky View No. 44",112,8,4,9,11,2,146,358
48022,"Foothills/Foothills"," 5","Rocky View No. 44",109,10,0,6,7,1,133,325
48022,"Foothills/Foothills"," 6","Rocky View No. 44",121,8,5,3,13,0,150,402
48022,"Foothills/Foothills"," 7","Rocky View No. 44",92,3,1,5,7,0,108,317
48022,"Foothills/Foothills"," 8","Rocky View No. 44",102,4,4,3,11,0,124,327
48022,"Foothills/Foothills"," 9","Elbow Valley",77,8,0,4,5,1,95,206
48022,"Foothills/Foothills"," 10","Rocky View No. 44",127,10,3,2,15,0,157,448
48022,"Foothills/Foothills"," 11","Elbow Valley",84,4,5,5,14,0,112,280
48022,"Foothills/Foothills"," 12","Rocky View No. 44",114,7,0,4,12,1,138,335
48022,"Foothills/Foothills"," 13","Elbow Valley",90,0,5,5,11,0,111,291
48022,"Foothills/Foothills"," 14","Elbow Valley",122,2,1,1,7,3,136,363
48022,"Foothills/Foothills"," 15","Elbow Valley",146,10,1,3,18,1,179,549
48022,"Foothills/Foothills"," 16","Rocky View No. 44",101,2,3,0,5,0,111,346
48022,"Foothills/Foothills"," 17","Pirmez Creek",120,3,4,5,4,0,136,448
48022,"Foothills/Foothills"," 18","Pirmez Creek",92,4,2,1,9,0,108,351
48022,"Foothills/Foothills"," 19","Sarcee",118,19,3,15,25,0,180,381
48022,"Foothills/Foothills"," 20","Sarcee",119,19,5,17,35,1,196,392
48022,"Foothills/Foothills"," 21","Jumping Pound",50,17,2,10,16,0,95,129
48022,"Foothills/Foothills"," 22","Sarcee",21,143,2,14,43,3,226,833
48022,"Foothills/Foothills"," 23","Bragg Creek",77,11,6,14,13,0,121,262
48022,"Foothills/Foothills"," 24","Bragg Creek",74,14,2,4,10,0,104,231
48022,"Foothills/Foothills"," 25","Bragg Creek",136,22,2,21,31,0,212,439
48022,"Foothills/Foothills"," 26","Bragg Creek",86,15,8,10,21,0,140,300
48022,"Foothills/Foothills"," 27","Bragg Creek",80,8,2,12,18,0,120,283
