Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Erin Alyward,Douglas Gordon Burchill,Kenneth Munro,Shelley Termuende,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 1","Bistcho Lake",2,2,1,0,29,0,34,57
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 2","Habay",22,2,227,10,15,7,283,651
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 3","Meander River",8,0,49,3,7,0,67,156
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 4","Rainbow Lake",7,2,6,0,78,0,93,211
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 5","Rainbow Lake",2,1,1,2,86,1,93,190
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 6","Bushe River",32,3,24,5,95,0,159,498
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 7","High Level",26,4,15,6,89,1,141,371
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 8","High Level",25,4,16,2,101,0,148,365
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 9","High Level",28,6,25,7,95,3,164,413
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 10","High Level",18,2,15,2,112,1,150,303
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 11","High Level",20,4,17,4,76,6,127,324
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 12","High Level",4,0,9,2,20,0,35,134
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 13","High Level",10,1,12,3,114,0,140,307
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 14","High Level",7,2,6,3,48,1,67,171
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 15","Keg River",15,4,14,2,104,3,142,376
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 16","Worsley",2,4,1,2,167,2,178,463
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 17","Hotchkiss",3,5,1,4,103,1,117,197
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 18","Bear Canyon",4,2,0,0,91,0,97,159
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 19","Notikewin",6,0,4,0,133,0,143,305
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 20","North Star",3,11,3,3,139,0,159,319
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 21","Manning",5,1,4,1,81,0,92,237
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 22","Manning",9,6,7,5,103,3,133,296
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 23","North Star",4,8,7,1,145,2,167,314
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 24","Cleardale",3,6,3,0,141,0,153,342
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 25","Eureka River",2,4,2,1,166,0,175,271
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 26","Deadwood",5,6,3,3,97,2,116,213
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 27","Dixonville",13,15,7,5,214,0,254,331
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 28","Silver Valley",6,5,0,1,82,0,94,138
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 29","Deer Hill",5,5,5,3,152,1,171,271
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 30","Hines Creek",10,8,7,2,130,1,158,323
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 31","Hines Creek",12,5,5,3,115,0,140,258
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 32","Fourth Creek",8,7,2,3,119,1,140,208
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 33","Bay Tree",8,9,3,5,348,0,373,454
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 34","Warrensville",11,10,11,8,224,0,264,354
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 35","Weberville",12,7,7,7,170,0,203,339
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 36","Weberville",15,8,10,5,195,1,234,306
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 37","Blueberry Mountain",9,3,4,4,102,0,122,183
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 38","Gordondale",1,7,0,1,122,0,131,191
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 39","Spirit River Settlement",6,5,4,3,127,0,145,298
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 40A","Spirit River",3,4,2,1,95,0,105,225
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 40B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°67B,,,,,,,1
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 41","Spirit River",16,5,5,2,120,0,148,320
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 42","Spirit River Settlement",6,1,7,1,113,0,128,275
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 43","Demmitt",1,5,5,8,139,0,158,273
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 44","Rycroft",13,15,10,8,256,1,303,491
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 45","Rycroft",14,5,6,3,165,0,193,327
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 46","Lymburn",1,5,2,4,71,0,83,161
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 47","Lymburn",33,1,8,3,32,1,78,166
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 48","Woking",11,7,4,4,180,0,206,330
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 49","Valhalla Centre",14,10,11,5,283,0,323,611
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 50","Hythe",19,18,20,10,383,6,456,539
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 51","Hythe",Merged with No./Fusionné avec le n°50,,,,,,,289
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 52A","La Glace",20,9,7,4,267,0,307,445
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 52B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°67B,,,,,,,12
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 53","Goodfare",10,12,2,8,139,2,173,262
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 54","Albright",4,2,9,6,146,1,168,388
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 55","Beaverlodge",11,10,11,9,170,0,211,416
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 56","Beaverlodge",13,10,5,9,255,1,293,217
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 57","Beaverlodge",Merged with No./Fusionné avec le n°56,,,,,,,363
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 58","Albright",7,6,10,2,179,0,204,477
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 59","Beaverlodge",8,3,6,0,145,1,163,349
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 60","Rio Grande",0,5,1,3,98,1,108,197
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 61","Webster",9,6,15,6,318,0,354,695
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 62","Sexsmith",0,2,3,3,92,1,101,156
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 63","Niobe",5,5,2,0,174,1,187,346
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 64","Sexsmith",15,7,5,1,164,2,194,462
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 65","Sexsmith",22,4,8,6,289,2,331,726
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 66","Sexsmith",14,2,5,3,155,0,179,399
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 67A","Sexsmith",7,5,4,2,169,4,191,396
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 67B","Mobile poll/Bureau itinérant",3,3,0,1,38,0,45,14
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 68","Sexsmith",12,5,6,10,147,0,180,369
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 69","Beaverlodge",14,8,1,7,111,2,143,324
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 70","Lake Saskatoon",13,6,8,4,212,0,243,367
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 71","Hermit Lake",18,13,15,8,332,2,388,912
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 72","Teepee Creek",4,2,2,0,197,0,205,378
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 73","Teepee Creek",9,3,2,5,187,0,206,306
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 74","Halcourt",3,4,0,1,73,0,81,223
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 75","Elmworth",6,5,6,0,173,1,191,296
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 76","Clairmont",14,5,8,1,212,1,241,447
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 77","Clairmont",7,7,4,3,165,1,187,466
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 78","Clairmont",7,3,8,1,188,0,207,475
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 79","Clairmont",12,2,8,2,98,0,122,408
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 80","Clairmont",8,4,5,1,54,0,72,231
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 81","Clairmont",8,5,1,1,107,1,123,396
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 82","Clairmont",13,8,9,7,249,1,287,720
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 83","Clairmont",7,3,4,2,249,1,266,643
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 84","Clairmont",13,1,5,1,157,0,177,445
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 85","Huallen",19,7,6,5,210,0,247,456
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 86","Wembley",17,15,12,7,377,0,428,806
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 87","Huallen",9,8,9,4,201,1,232,447
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 88","Puskwaskau River",2,4,0,0,108,1,115,213
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 89","Grande Prairie",11,2,10,3,230,3,259,445
48024,"Grande Prairie--Mackenzie/Grande Prairie--Mackenzie"," 90","Grande Prairie",22,6,12,2,262,3,307,823
