Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shannon Hawthorne,Harris Kirshenbaum,Glen Motz,Andrew Nelson,Dave Phillips,Elizabeth Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 1","Ralston",14,6,156,4,0,21,0,201,365
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 2","Hilda",0,2,62,0,1,2,0,67,172
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 3","Schuler",0,3,96,3,0,2,0,104,196
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 4","Redcliff",7,9,234,7,0,14,3,274,616
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 5","Redcliff",3,12,161,2,1,13,0,192,484
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 6","Redcliff",8,9,134,10,1,14,1,177,384
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 7","Redcliff",7,10,152,6,2,17,1,195,405
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 8","Medicine Hat",10,20,189,12,6,25,1,263,588
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 9","Medicine Hat",9,13,160,4,2,25,0,213,416
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 10","Medicine Hat",3,22,135,2,3,24,1,190,342
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 11","Medicine Hat",6,18,187,6,2,36,2,257,443
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 12","Redcliff",5,13,151,9,2,26,2,208,433
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 13","Redcliff",7,14,180,3,3,23,1,231,497
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 14","Redcliff",5,10,198,6,2,20,0,241,480
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 15","Redcliff",5,18,214,12,1,30,1,281,502
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 16","Redcliff",3,12,180,3,0,20,2,220,484
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 17","Medicine Hat",9,19,167,6,1,34,1,237,417
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 18","Medicine Hat",6,27,200,1,3,26,1,264,536
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 19","Medicine Hat",5,23,127,4,1,43,2,205,447
