Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Conner Borlé,Earl Dreeshen,Logan Garbanewski,Paul Mitchell,Gary Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 1","Benalto",8,204,20,17,16,0,265,394
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 2","Evarts",3,189,4,5,3,0,204,320
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 3","Red Deer County",6,181,9,9,7,0,212,377
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 4","Red Deer County",4,128,9,3,3,0,147,324
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 5","Red Deer",3,66,26,5,19,0,119,386
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 6","Red Deer",12,74,28,9,22,1,146,365
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 7","Red Deer",9,110,10,4,14,0,147,454
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 8","Red Deer",4,135,20,5,13,0,177,346
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 9","Red Deer",12,129,38,8,26,0,213,388
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 10","Red Deer",9,112,33,13,14,0,181,403
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 11","Red Deer",4,168,13,5,17,0,207,424
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 12","Red Deer",10,147,34,18,14,2,225,458
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 13","Red Deer",10,143,29,7,8,2,199,430
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 14","Red Deer",8,160,21,4,19,1,213,391
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 15","Red Deer",11,155,39,7,21,0,233,423
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 16","Red Deer",8,169,20,4,21,3,225,441
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 17","Red Deer",14,124,26,8,24,2,198,414
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 18","Red Deer",10,142,26,9,11,1,199,368
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 19","Red Deer",8,139,36,12,11,0,206,475
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 20","Red Deer",12,123,28,12,17,0,192,429
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 21","Red Deer",15,184,46,12,18,0,275,535
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 22","Red Deer",17,114,43,11,30,0,215,419
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 23","Red Deer",6,168,25,15,13,1,228,444
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 24","Red Deer",12,121,26,8,20,0,187,390
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 25","Red Deer",2,169,20,6,17,1,215,362
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 26","Red Deer",4,154,24,11,18,1,212,373
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 27","Red Deer",6,126,37,7,12,0,188,325
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 28","Red Deer",5,89,23,6,18,1,142,409
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 29","Red Deer",5,114,21,7,23,0,170,438
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 30","Red Deer",14,101,24,13,22,0,174,383
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 31","Red Deer",5,116,27,13,29,0,190,399
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 32","Red Deer",10,160,17,13,11,0,211,402
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 33","Red Deer",2,61,26,15,27,2,133,296
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 34","Red Deer",6,136,35,6,26,0,209,421
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 35","Red Deer",7,109,9,3,19,0,147,297
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 36","Red Deer",10,150,16,9,18,3,206,359
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 37","Red Deer",6,178,26,8,30,1,249,438
