Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tyler Beauchamp,Ronald Brochu,Ernest Chauvet,Guy Desforges,Dane Lloyd,Cass Romyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 1","Majeau Lake/Oldman Lake",10,3,0,8,182,6,0,209,352
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 2","Rich Valley",7,11,2,24,189,6,0,239,402
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 3","Grizzly Trail",3,6,0,12,166,6,0,193,371
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 4","Vimy",11,4,0,14,162,4,0,195,339
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 5","Legal Rural West",8,8,5,19,139,2,0,181,347
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 6","Legal North",7,11,4,29,224,8,0,283,471
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 7","Legal South",6,35,8,36,186,9,0,280,439
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 8","Legal Rural East",6,9,3,10,142,2,0,172,467
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 9","Alcomdale",3,5,0,13,113,3,0,137,218
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 10","Alcomdale",3,5,2,15,154,8,2,189,299
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 11A","Alexander First Nation",2,15,2,76,9,5,0,109,306
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 11B","Alexander First Nation",1,10,0,64,21,5,0,101,308
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 12","Sandy Lake ",7,15,5,27,194,1,1,250,601
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 13","Onoway",8,7,4,14,145,9,0,187,469
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 14","Onoway-East",3,5,2,5,95,3,1,114,319
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 15","Sandy Lake ",8,16,1,26,159,12,0,222,486
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 16","Onoway-West",2,6,1,11,123,3,0,146,432
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 17A","Onoway-Central",7,6,0,13,133,4,1,164,96
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 17B","Onoway-Central",Merged with No./Fusionné avec le n°18B,,,,,,,,133
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 18A","Bilby",Merged with No./Fusionné avec le n°17A,,,,,,,,271
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 18B","Bilby",5,6,1,18,143,3,0,176,301
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 19","Rivière Qui Barre",0,16,1,18,161,6,1,203,334
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 20","Rivière Qui Barre",1,10,3,18,193,1,1,227,346
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 21","Bon Accord",5,13,0,20,212,1,0,251,428
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 22","Bon Accord",12,18,3,33,167,13,0,246,426
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 23","Bon Accord",9,16,0,37,152,11,0,225,385
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 24","Bon Accord",4,23,0,30,146,6,0,209,343
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 25","Bon Accord",9,22,3,24,190,11,3,262,428
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 26","Morinville Rural North",1,8,3,11,156,7,0,186,356
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 27A","Morinville",4,9,2,21,177,3,0,216,360
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 27B","Morinville",Merged with No./Fusionné avec le n°35B,,,,,,,,300
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 28A","Morinville",4,7,2,22,141,2,1,179,109
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 28B","Morinville",Merged with No./Fusionné avec le n°29B,,,,,,,,122
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 29A","Morinville",Merged with No./Fusionné avec le n°28A,,,,,,,,262
