Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aeriol Alderking,Locke Duncan,Ed Fast,Stephen Fowler,Seamus Heffernan,Madeleine Sauve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59001,"Abbotsford/Abbotsford"," 1","Abbotsford",1,1,42,7,60,53,1,165,446
59001,"Abbotsford/Abbotsford"," 2","Abbotsford",0,0,42,8,78,29,3,160,359
59001,"Abbotsford/Abbotsford"," 3","Abbotsford",2,0,51,4,71,48,5,181,437
59001,"Abbotsford/Abbotsford"," 4","Abbotsford",1,1,78,9,73,66,10,238,590
59001,"Abbotsford/Abbotsford"," 5","Abbotsford",1,0,36,3,41,24,3,108,380
59001,"Abbotsford/Abbotsford"," 6","Abbotsford",1,2,59,13,66,34,3,178,448
59001,"Abbotsford/Abbotsford"," 7","Abbotsford",2,1,92,5,51,29,2,182,441
59001,"Abbotsford/Abbotsford"," 8","Abbotsford",1,4,66,11,28,15,2,127,317
59001,"Abbotsford/Abbotsford"," 9","Abbotsford",1,4,88,11,57,55,2,218,529
59001,"Abbotsford/Abbotsford"," 10","Abbotsford",0,3,66,6,51,26,2,154,456
59001,"Abbotsford/Abbotsford"," 11","Abbotsford",0,4,90,19,58,37,2,210,542
59001,"Abbotsford/Abbotsford"," 12","Abbotsford",0,1,90,21,57,47,3,219,498
59001,"Abbotsford/Abbotsford"," 13","Abbotsford",2,7,80,23,34,45,0,191,536
59001,"Abbotsford/Abbotsford"," 14","Abbotsford",4,4,76,17,41,62,2,206,592
59001,"Abbotsford/Abbotsford"," 15","Abbotsford",1,3,40,8,49,29,2,132,342
59001,"Abbotsford/Abbotsford"," 16","Abbotsford",0,3,83,10,37,40,0,173,538
59001,"Abbotsford/Abbotsford"," 17","Abbotsford",2,2,98,13,43,39,0,197,523
59001,"Abbotsford/Abbotsford"," 18","Abbotsford",0,5,68,14,29,37,0,153,422
59001,"Abbotsford/Abbotsford"," 19","Abbotsford",1,3,75,11,33,18,1,142,431
59001,"Abbotsford/Abbotsford"," 20","Abbotsford",1,7,99,14,39,33,2,195,473
59001,"Abbotsford/Abbotsford"," 21","Abbotsford",1,3,53,12,45,45,7,166,384
59001,"Abbotsford/Abbotsford"," 22","Abbotsford",2,1,72,8,46,45,0,174,468
59001,"Abbotsford/Abbotsford"," 23","Abbotsford",0,1,83,18,51,39,4,196,488
59001,"Abbotsford/Abbotsford"," 24","Abbotsford",0,0,74,11,19,20,2,126,375
59001,"Abbotsford/Abbotsford"," 25","Abbotsford",0,0,63,18,33,44,2,160,409
59001,"Abbotsford/Abbotsford"," 26","Abbotsford",4,6,39,12,32,31,1,125,316
59001,"Abbotsford/Abbotsford"," 27","Abbotsford",1,0,72,7,30,28,0,138,351
59001,"Abbotsford/Abbotsford"," 28","Abbotsford",4,7,119,18,55,41,2,246,485
59001,"Abbotsford/Abbotsford"," 29","Abbotsford",0,3,167,25,66,26,5,292,540
59001,"Abbotsford/Abbotsford"," 30","Abbotsford",1,0,139,22,94,71,0,327,885
59001,"Abbotsford/Abbotsford"," 31","Abbotsford",1,3,133,15,53,19,0,224,449
59001,"Abbotsford/Abbotsford"," 32","Abbotsford",2,2,196,14,71,43,3,331,777
59001,"Abbotsford/Abbotsford"," 33","Abbotsford",2,9,115,18,47,41,1,233,557
59001,"Abbotsford/Abbotsford"," 34","Abbotsford",1,10,125,11,51,39,2,239,547
59001,"Abbotsford/Abbotsford"," 35","Abbotsford",2,3,121,11,46,26,0,209,549
59001,"Abbotsford/Abbotsford"," 36","Abbotsford",1,5,153,23,65,49,0,296,612
59001,"Abbotsford/Abbotsford"," 37","Abbotsford",1,8,137,36,41,39,1,263,514
59001,"Abbotsford/Abbotsford"," 38","Abbotsford",0,4,150,26,42,34,3,259,492
59001,"Abbotsford/Abbotsford"," 39","Abbotsford",2,4,129,31,57,54,0,277,504
59001,"Abbotsford/Abbotsford"," 40","Abbotsford",0,6,132,17,47,61,0,263,516
59001,"Abbotsford/Abbotsford"," 41","Abbotsford",0,3,138,27,41,31,1,241,499
