Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Neelam Brar,Rex Brocki,Al Rawdah,Jay Shin,Jagmeet Singh,Brian Sproule,Brennan Wauters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby South/Burnaby-Sud"," 1","Burnaby",95,0,1,44,74,0,12,0,226,530
59003,"Burnaby South/Burnaby-Sud"," 2","Burnaby",53,0,1,36,70,1,4,2,167,461
59003,"Burnaby South/Burnaby-Sud"," 3","Burnaby",88,1,1,42,68,0,14,2,216,494
59003,"Burnaby South/Burnaby-Sud"," 4","Burnaby",45,6,0,54,96,0,8,3,212,468
59003,"Burnaby South/Burnaby-Sud"," 5","Burnaby",36,2,3,41,78,0,7,2,169,436
59003,"Burnaby South/Burnaby-Sud"," 6","Burnaby",53,0,2,66,78,0,4,2,205,456
59003,"Burnaby South/Burnaby-Sud"," 7","Burnaby",57,2,1,40,52,0,6,1,159,389
59003,"Burnaby South/Burnaby-Sud"," 8","Burnaby",57,0,3,46,62,0,5,5,178,424
59003,"Burnaby South/Burnaby-Sud"," 9","Burnaby",36,0,0,66,63,0,9,0,174,443
59003,"Burnaby South/Burnaby-Sud"," 10","Burnaby",32,1,1,62,81,0,10,1,188,368
59003,"Burnaby South/Burnaby-Sud"," 11","Burnaby",63,3,4,70,74,0,8,2,224,467
59003,"Burnaby South/Burnaby-Sud"," 12","Burnaby",48,1,4,67,73,0,13,5,211,459
59003,"Burnaby South/Burnaby-Sud"," 13","Burnaby",Merged with No./Fusionné avec le n°16A,,,,,,,,,175
59003,"Burnaby South/Burnaby-Sud"," 14","Burnaby",86,1,1,47,75,0,10,2,222,725
59003,"Burnaby South/Burnaby-Sud"," 15","Burnaby",81,1,1,92,66,0,14,3,258,872
59003,"Burnaby South/Burnaby-Sud"," 16A","Burnaby",53,2,0,31,73,0,10,1,170,375
59003,"Burnaby South/Burnaby-Sud"," 16B","Burnaby",66,0,6,62,76,0,13,0,223,659
59003,"Burnaby South/Burnaby-Sud"," 17","Burnaby",49,0,4,36,77,0,7,0,173,541
59003,"Burnaby South/Burnaby-Sud"," 18","Burnaby",60,2,0,67,61,0,11,0,201,547
59003,"Burnaby South/Burnaby-Sud"," 19","Burnaby",34,2,2,26,48,0,11,3,126,427
59003,"Burnaby South/Burnaby-Sud"," 20","Burnaby",39,1,2,39,28,0,8,0,117,337
59003,"Burnaby South/Burnaby-Sud"," 21","Burnaby",53,1,3,68,77,0,11,1,214,544
59003,"Burnaby South/Burnaby-Sud"," 22","Burnaby",73,1,2,70,96,1,12,2,257,588
59003,"Burnaby South/Burnaby-Sud"," 23","Burnaby",65,3,3,79,80,1,16,0,247,598
59003,"Burnaby South/Burnaby-Sud"," 24","Burnaby",77,2,7,73,69,0,11,1,240,657
59003,"Burnaby South/Burnaby-Sud"," 25","Burnaby",62,0,4,49,77,0,7,3,202,505
59003,"Burnaby South/Burnaby-Sud"," 26","Burnaby",55,1,4,105,77,0,14,0,256,493
59003,"Burnaby South/Burnaby-Sud"," 27","Burnaby",35,0,4,33,62,0,10,1,145,385
59003,"Burnaby South/Burnaby-Sud"," 28","Burnaby",35,1,4,60,69,0,8,1,178,387
59003,"Burnaby South/Burnaby-Sud"," 29","Burnaby",37,0,0,49,70,0,3,1,160,351
59003,"Burnaby South/Burnaby-Sud"," 30","Burnaby",47,3,0,89,44,0,3,1,187,397
59003,"Burnaby South/Burnaby-Sud"," 31","Burnaby",26,3,6,70,92,0,2,2,201,451
59003,"Burnaby South/Burnaby-Sud"," 32","Burnaby",29,0,0,76,46,0,7,1,159,415
59003,"Burnaby South/Burnaby-Sud"," 33","Burnaby",25,1,1,43,50,0,15,1,136,413
59003,"Burnaby South/Burnaby-Sud"," 34","Burnaby",43,2,4,45,82,0,11,1,188,480
59003,"Burnaby South/Burnaby-Sud"," 35","Burnaby",38,0,0,45,98,0,28,3,212,424
59003,"Burnaby South/Burnaby-Sud"," 36","Burnaby",52,1,3,46,93,0,8,3,206,412
59003,"Burnaby South/Burnaby-Sud"," 37","Burnaby",57,0,0,54,52,0,8,2,173,367
59003,"Burnaby South/Burnaby-Sud"," 38","Burnaby",30,1,2,58,73,2,3,0,169,446
59003,"Burnaby South/Burnaby-Sud"," 39","Burnaby",32,2,2,24,57,1,7,0,125,409
59003,"Burnaby South/Burnaby-Sud"," 40","Burnaby",36,2,3,44,72,0,8,1,166,427
59003,"Burnaby South/Burnaby-Sud"," 41","Burnaby",27,0,4,45,52,1,4,3,136,440
59003,"Burnaby South/Burnaby-Sud"," 42","Burnaby",24,0,8,87,72,0,11,2,204,436
59003,"Burnaby South/Burnaby-Sud"," 43","Burnaby",52,1,3,60,55,1,9,0,181,404
59003,"Burnaby South/Burnaby-Sud"," 44","Burnaby",26,1,2,62,36,0,3,1,131,406
59003,"Burnaby South/Burnaby-Sud"," 45","Burnaby",33,1,10,31,67,2,18,1,163,363
59003,"Burnaby South/Burnaby-Sud"," 46","Burnaby",32,0,5,28,53,0,8,0,126,387
59003,"Burnaby South/Burnaby-Sud"," 47","Burnaby",30,0,5,81,62,2,16,2,198,531
59003,"Burnaby South/Burnaby-Sud"," 48","Burnaby",36,0,4,67,75,0,13,0,195,527
59003,"Burnaby South/Burnaby-Sud"," 49","Burnaby",39,0,3,32,46,0,11,0,131,499
59003,"Burnaby South/Burnaby-Sud"," 50","Burnaby",54,3,6,45,71,0,0,1,180,552
59003,"Burnaby South/Burnaby-Sud"," 51","Burnaby",33,2,0,44,24,0,6,1,110,451
59003,"Burnaby South/Burnaby-Sud"," 52A","Burnaby",Merged with No./Fusionné avec le n°53,,,,,,,,,189
59003,"Burnaby South/Burnaby-Sud"," 52B","Burnaby",15,2,4,25,40,0,5,0,91,337
59003,"Burnaby South/Burnaby-Sud"," 53","Burnaby",34,2,2,26,44,0,4,2,114,195
