Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Randy Anderson-Fennell,Amarit Bains,Tony Bennett,Tanya Corbet,Craig DeCraene,Angelina Ireland,Carla Qualtrough,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59011,"Delta/Delta"," 1","Delta",40,1,2,67,17,5,89,1,222,431
59011,"Delta/Delta"," 2","Delta",29,0,1,39,19,6,79,1,174,463
59011,"Delta/Delta"," 3","Delta",57,0,3,88,20,4,90,1,263,420
59011,"Delta/Delta"," 4","Delta",40,1,2,64,12,4,126,0,249,457
59011,"Delta/Delta"," 5","Delta",25,0,1,109,15,8,71,1,230,373
59011,"Delta/Delta"," 6","Delta",45,2,4,60,16,4,64,1,196,373
59011,"Delta/Delta"," 7","Delta",45,0,2,80,8,5,79,0,219,427
59011,"Delta/Delta"," 8","Delta",61,3,3,133,18,7,114,2,341,556
59011,"Delta/Delta"," 9","Delta",68,4,1,60,25,6,88,1,253,451
59011,"Delta/Delta"," 10","Delta",36,2,1,89,7,8,88,2,233,390
59011,"Delta/Delta"," 11","Delta",58,3,1,51,14,5,90,0,222,498
59011,"Delta/Delta"," 12","Delta",70,3,2,70,16,13,78,1,253,497
59011,"Delta/Delta"," 13","Delta",53,2,0,67,18,2,106,2,250,489
59011,"Delta/Delta"," 14","Delta",56,0,1,73,21,2,92,0,245,460
59011,"Delta/Delta"," 15","Delta",45,1,1,86,22,5,77,2,239,464
59011,"Delta/Delta"," 16","Delta",48,1,4,80,23,5,74,0,235,403
59011,"Delta/Delta"," 17","Delta",51,3,1,31,12,6,73,3,180,421
59011,"Delta/Delta"," 18","Delta",51,3,1,41,10,2,74,0,182,439
59011,"Delta/Delta"," 19","Delta",56,1,2,33,6,6,64,2,170,423
59011,"Delta/Delta"," 20","Delta",28,0,2,182,18,5,128,0,363,666
59011,"Delta/Delta"," 21","Delta",25,5,1,139,13,2,112,0,297,494
59011,"Delta/Delta"," 22","Delta",23,3,2,85,10,2,123,0,248,476
59011,"Delta/Delta"," 23","Delta",34,1,3,70,20,5,93,0,226,400
59011,"Delta/Delta"," 24","Delta",54,3,3,46,7,2,66,2,183,393
59011,"Delta/Delta"," 25","Delta",51,4,3,66,3,2,71,1,201,423
59011,"Delta/Delta"," 26","Delta",56,4,1,47,4,4,89,2,207,505
59011,"Delta/Delta"," 27","Delta",46,0,4,56,11,3,80,3,203,420
59011,"Delta/Delta"," 28","Delta",59,0,2,68,15,5,106,1,256,540
59011,"Delta/Delta"," 29","Delta",64,5,7,63,13,8,101,4,265,569
59011,"Delta/Delta"," 30","Delta",64,1,3,72,15,6,81,5,247,458
59011,"Delta/Delta"," 31","Delta",43,2,3,58,9,2,65,2,184,374
59011,"Delta/Delta"," 32","Delta",40,6,1,28,3,0,78,5,161,393
59011,"Delta/Delta"," 33","Delta",32,1,1,50,6,9,54,1,154,409
59011,"Delta/Delta"," 34","Delta",39,1,2,35,13,2,49,1,142,413
59011,"Delta/Delta"," 35","Delta",39,0,3,65,15,3,100,1,226,510
59011,"Delta/Delta"," 36","Delta",21,1,3,82,11,1,79,2,200,464
59011,"Delta/Delta"," 37","Delta",42,2,1,106,12,6,84,2,255,601
59011,"Delta/Delta"," 38","Delta",32,2,5,41,13,0,58,0,151,363
59011,"Delta/Delta"," 39","Delta",41,1,1,50,6,2,68,1,170,411
59011,"Delta/Delta"," 40","Delta",42,3,8,83,22,3,93,1,255,532
59011,"Delta/Delta"," 41","Delta",30,5,2,35,6,4,54,0,136,403
59011,"Delta/Delta"," 42","Delta",37,4,4,60,5,1,77,1,189,409
59011,"Delta/Delta"," 43","Delta",54,4,1,69,12,4,92,3,239,521
59011,"Delta/Delta"," 44","Delta",44,6,0,55,14,3,82,4,208,417
59011,"Delta/Delta"," 45","Delta",48,5,2,42,12,5,117,4,235,552
59011,"Delta/Delta"," 46","Delta",24,2,1,76,16,5,95,0,219,420
59011,"Delta/Delta"," 47","Delta",33,1,1,84,16,6,88,1,230,436
59011,"Delta/Delta"," 48","Delta",29,0,1,74,4,7,113,3,231,463
59011,"Delta/Delta"," 49","Delta",29,0,0,86,14,2,108,4,243,476
59011,"Delta/Delta"," 50","Delta",32,1,1,79,20,4,90,0,227,385
59011,"Delta/Delta"," 51","Delta",34,1,1,44,14,4,106,1,205,415
59011,"Delta/Delta"," 52","Delta",44,0,6,81,19,3,83,0,236,475
59011,"Delta/Delta"," 53","Delta",34,0,1,80,18,5,98,0,236,466
59011,"Delta/Delta"," 54","Delta",53,1,0,62,19,8,80,4,227,452
59011,"Delta/Delta"," 55","Delta",76,4,0,80,19,9,124,3,315,362
59011,"Delta/Delta"," 56","Delta",33,5,2,43,19,4,73,6,185,472
59011,"Delta/Delta"," 57","Delta",46,4,3,31,9,2,86,4,185,476
59011,"Delta/Delta"," 58","Delta",51,2,1,35,9,4,65,1,168,369
59011,"Delta/Delta"," 59","Delta",41,2,1,35,11,2,83,4,179,476
59011,"Delta/Delta"," 60","Delta",52,1,0,27,12,7,73,1,173,453
59011,"Delta/Delta"," 61","Delta",58,3,0,86,14,1,90,1,253,460
59011,"Delta/Delta"," 62","Delta",58,2,0,63,10,5,74,3,215,383
59011,"Delta/Delta"," 63","Delta",60,1,3,61,8,6,96,3,238,446
59011,"Delta/Delta"," 64","Delta",45,6,3,67,13,2,79,3,218,430
59011,"Delta/Delta"," 65","Delta",11,0,2,54,8,1,74,5,155,333
59011,"Delta/Delta"," 66","Delta",46,3,0,62,15,0,77,0,203,432
59011,"Delta/Delta"," 67","Delta",43,2,2,73,11,3,80,3,217,428
59011,"Delta/Delta"," 68","Delta",33,4,1,89,14,8,100,0,249,472
59011,"Delta/Delta"," 69","Delta",60,2,1,68,14,6,101,2,254,520
59011,"Delta/Delta"," 70","Delta",38,0,3,67,22,8,89,1,228,504
59011,"Delta/Delta"," 71","Delta",36,1,0,47,15,3,56,2,160,481
59011,"Delta/Delta"," 72","Delta",48,4,2,86,19,13,118,0,290,517
59011,"Delta/Delta"," 73","Delta",52,3,3,87,28,1,124,0,298,523
59011,"Delta/Delta"," 74","Delta",46,5,1,28,9,1,95,0,185,469
59011,"Delta/Delta"," 75","Delta",39,2,0,29,12,4,90,5,181,377
59011,"Delta/Delta"," 76","Delta",36,4,1,55,9,2,77,1,185,423
59011,"Delta/Delta"," 77","Delta",54,4,1,46,4,6,116,2,233,500
59011,"Delta/Delta"," 78","Delta",72,3,1,69,16,4,110,4,279,507
59011,"Delta/Delta"," 79","Delta",38,2,0,53,9,2,65,2,171,348
59011,"Delta/Delta"," 80","Delta",52,4,2,40,5,2,75,1,181,359
59011,"Delta/Delta"," 81","Delta",33,2,4,83,25,5,102,9,263,568
59011,"Delta/Delta"," 82","Delta",53,2,2,37,7,1,96,1,199,482
59011,"Delta/Delta"," 83","Delta",37,2,4,53,6,1,73,1,177,331
59011,"Delta/Delta"," 84","Delta",46,2,1,41,7,3,67,4,171,445
59011,"Delta/Delta"," 85","Delta",40,1,1,34,6,6,72,1,161,401
59011,"Delta/Delta"," 86","Delta",34,1,1,57,8,5,93,0,199,545
59011,"Delta/Delta"," 87","Delta",58,1,2,39,9,1,57,1,168,374
59011,"Delta/Delta"," 88","Delta",46,0,0,28,11,3,34,3,125,386
59011,"Delta/Delta"," 89","Delta",Merged with No./Fusionné avec le n°55,,,,,,,,,406
59011,"Delta/Delta"," 90","Delta",59,0,6,73,20,6,92,5,261,630
59011,"Delta/Delta"," 91","Delta",46,0,3,38,8,0,86,0,181,384
59011,"Delta/Delta"," 92","Delta",33,2,2,32,6,2,91,2,170,429
59011,"Delta/Delta"," 93","Delta",52,3,3,52,14,5,112,1,242,534
59011,"Delta/Delta"," 94","Delta",41,2,6,47,7,1,67,1,172,363
59011,"Delta/Delta"," 95","Delta",68,9,2,53,15,2,119,4,272,484
59011,"Delta/Delta"," 96","Delta",48,2,3,52,11,3,145,2,266,525
59011,"Delta/Delta"," 97","Delta",42,2,0,82,14,8,97,2,247,461
59011,"Delta/Delta"," 98","Delta",35,1,1,53,15,2,67,1,175,425
59011,"Delta/Delta"," 99","Delta",43,1,4,70,17,4,100,1,240,521
