Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Travis Ashley,John Barr,Stephen Fuhr,Tracy Gray,Daniel Joseph,Justin Kulik,Silverado Socrates,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 1","Carrs",8,5,41,74,0,17,0,0,145,361
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 2","Pixie Beach",10,0,48,100,2,25,0,1,186,442
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 3","Okanagan Centre",31,4,93,80,0,12,0,0,220,524
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 4","Okanagan Centre",18,4,62,98,0,16,1,0,199,414
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 5","Lake Country",26,3,73,136,0,31,0,0,269,589
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 6","Okanagan Centre",17,2,75,94,0,32,0,0,220,517
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 7","Winfield",21,7,73,146,0,26,0,1,274,741
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 8","Oyama",21,8,75,151,2,34,0,1,292,604
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 9","Oyama",28,10,108,117,0,39,0,2,304,560
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 10","Oyama",24,1,64,85,0,25,1,0,200,451
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 11","Woodsdale",13,8,80,137,0,28,0,1,267,668
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 12","Woodsdale",20,5,70,143,0,22,0,0,260,681
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 13","Woodsdale",19,6,74,117,0,37,0,2,255,641
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 14","Woodsdale",28,3,86,103,0,31,1,1,253,629
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 15","Winfield",32,10,63,94,0,43,1,2,245,655
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 16","Winfield",21,1,60,70,0,19,0,0,171,417
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 17","Winfield",22,12,61,87,2,33,0,0,217,385
59014,"Kelowna--Lake Country/Kelowna--Lake Country"," 18","Winfield",Merged with No./Fusionné avec le n°17,,,,,,,,,86
