Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abra Brynne,Robin Goldsbury,Trev Miller,Rob Morrison,Wayne Stetski,Rick Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59015,"Kootenay--Columbia/Kootenay--Columbia"," 1","Donald",30,9,1,96,62,2,0,200,413
59015,"Kootenay--Columbia/Kootenay--Columbia"," 2","Golden",9,13,0,77,29,1,1,130,374
59015,"Kootenay--Columbia/Kootenay--Columbia"," 3","Glenogle",18,15,0,75,64,3,0,175,406
59015,"Kootenay--Columbia/Kootenay--Columbia"," 4","Golden",17,20,0,37,71,0,0,145,360
59015,"Kootenay--Columbia/Kootenay--Columbia"," 5","Golden",16,25,0,83,70,2,2,198,440
59015,"Kootenay--Columbia/Kootenay--Columbia"," 6","Golden",17,28,3,53,88,2,2,193,477
59015,"Kootenay--Columbia/Kootenay--Columbia"," 7","Golden",18,18,0,74,63,2,0,175,415
59015,"Kootenay--Columbia/Kootenay--Columbia"," 8","Golden",11,23,1,53,94,3,0,185,461
59015,"Kootenay--Columbia/Kootenay--Columbia"," 9","Golden",19,12,2,69,72,3,2,179,365
59015,"Kootenay--Columbia/Kootenay--Columbia"," 10","Golden",14,27,2,72,65,1,1,182,383
59015,"Kootenay--Columbia/Kootenay--Columbia"," 11","Moberly",9,10,1,83,54,3,0,160,342
59015,"Kootenay--Columbia/Kootenay--Columbia"," 12","Golden",19,17,1,86,57,2,0,182,434
59015,"Kootenay--Columbia/Kootenay--Columbia"," 13","Revelstoke",13,26,2,62,82,4,0,189,433
59015,"Kootenay--Columbia/Kootenay--Columbia"," 14","Revelstoke",21,42,1,63,90,3,1,221,463
59015,"Kootenay--Columbia/Kootenay--Columbia"," 15","Revelstoke",16,21,0,58,88,2,1,186,415
59015,"Kootenay--Columbia/Kootenay--Columbia"," 16","Revelstoke",5,22,2,52,74,4,2,161,352
59015,"Kootenay--Columbia/Kootenay--Columbia"," 17","Revelstoke",23,30,2,40,125,4,3,227,495
59015,"Kootenay--Columbia/Kootenay--Columbia"," 18","Revelstoke",19,18,2,47,93,3,0,182,452
59015,"Kootenay--Columbia/Kootenay--Columbia"," 19","Revelstoke",21,23,1,31,110,1,1,188,418
