Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bryton Cherrier,Marc Dalton,Ariane Jaschke,John Mogk,Steve Ranta,Dan Ruimy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 1","Dewdney",6,92,13,47,3,65,1,227,499
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 2","Maple Ridge",1,94,20,50,1,64,1,231,516
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 3","Maple Ridge",1,93,8,43,4,83,0,232,540
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 4","Maple Ridge",3,104,20,58,3,72,0,260,586
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 5","Maple Ridge",1,83,15,48,1,82,0,230,511
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 6","Maple Ridge",12,157,24,100,2,84,1,380,856
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 7","Maple Ridge",2,110,21,58,2,97,1,291,657
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 8","Pitt Meadows",0,69,22,22,1,60,2,176,393
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 9","Pitt Meadows",3,65,15,30,1,70,3,187,411
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 10","Pitt Meadows",2,58,11,32,2,75,0,180,425
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 11","Pitt Meadows",2,60,15,54,2,49,1,183,427
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 12","Pitt Meadows",4,30,12,35,1,45,1,128,307
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 13","Pitt Meadows",3,55,17,65,2,53,2,197,525
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 14","Pitt Meadows",3,68,19,48,0,81,1,220,453
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 15A","Pitt Meadows",2,47,22,85,1,63,1,221,506
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 15B","Pitt Meadows",Merged with No./Fusionné avec le n°16,,,,,,,,176
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 16","Pitt Meadows",2,71,22,78,2,40,4,219,331
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 17","Maple Ridge",3,86,15,61,1,56,0,222,462
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 18","Maple Ridge",2,98,9,55,1,71,0,236,478
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 19","Maple Ridge",0,92,19,44,3,58,1,217,457
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 20","Maple Ridge",4,69,16,58,4,69,1,221,422
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 21","Maple Ridge",2,83,10,53,1,59,1,209,411
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 22","Maple Ridge",2,70,13,71,0,87,0,243,412
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge"," 23","Maple Ridge",2,77,18,61,1,52,1,212,361
