Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sara Badiei,Jayson Chabot,Nelly Shin,Roland Verrier,Bryce Watts,Bonita Zarrillo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 1","Indian Arm",43,6,113,0,19,55,1,237,449
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 2","Anmore",69,7,65,0,17,30,0,188,385
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 3","Anmore",79,3,108,1,15,54,2,262,462
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 4","Anmore",43,4,78,0,12,44,2,183,386
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 5","Belcarra",60,0,98,0,21,39,0,218,371
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 6","Port Moody",35,2,58,0,17,46,0,158,334
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 7","Port Moody",48,1,76,0,13,58,0,196,365
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 8","Port Moody",66,2,54,0,26,53,0,201,413
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 9","Port Moody",77,7,83,0,22,42,0,231,428
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 10","Port Moody",59,5,85,0,21,39,0,209,376
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 11","Port Moody",63,4,45,0,14,51,1,178,385
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 12","Port Moody",64,1,39,0,23,68,2,197,468
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 13","Port Moody",82,1,115,0,14,22,1,235,511
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 14","Port Moody",85,1,85,0,27,57,2,257,566
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 15","Port Moody",85,2,76,0,9,65,0,237,429
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 16","Port Moody",97,4,97,0,11,46,3,258,530
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 17","Port Moody",88,0,76,0,11,56,0,231,437
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 18","Port Moody",48,0,90,0,13,43,1,195,507
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 19","Port Moody",66,3,80,0,23,100,1,273,513
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 20","Port Moody",77,0,56,0,15,60,0,208,379
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 21","Port Moody",54,5,69,0,20,67,0,215,392
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 22","Port Moody",79,4,38,1,13,103,0,238,535
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 23","Port Moody",49,4,66,0,20,92,1,232,387
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 24","Port Moody",28,3,37,0,6,109,2,185,392
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 25","Port Moody",76,0,48,0,8,50,0,182,419
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 26","Port Moody",82,3,63,0,15,74,1,238,445
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 27","Port Moody",111,0,58,0,15,45,0,229,497
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 28","Port Moody",58,1,89,0,10,27,1,186,432
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 29","Port Moody",56,7,45,0,14,28,2,152,355
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 30","Port Moody",86,5,92,0,12,53,1,249,454
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 31","Port Moody",82,2,84,0,19,61,1,249,511
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 32","Port Moody",94,4,61,0,29,40,1,229,539
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 33","Port Moody",60,4,46,1,27,57,0,195,433
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 34","Port Moody",54,1,36,0,13,71,2,177,410
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 35","Port Moody",23,4,43,1,8,41,1,121,393
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 36","Port Moody",55,4,45,0,17,60,0,181,448
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 37","Port Moody",69,8,63,0,22,71,1,234,574
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 38","Port Moody",61,0,39,1,15,63,3,182,410
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 39","Port Moody",47,4,39,1,11,58,1,161,303
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 40","Port Moody",82,7,83,0,25,107,1,305,489
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 41","Port Moody",79,3,73,0,16,97,2,270,528
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 42","Port Moody",94,1,53,0,19,83,2,252,457
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 43","Port Moody",106,2,82,0,21,80,0,291,545
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 44","Port Moody",73,2,51,0,13,51,0,190,414
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 45","Port Moody",44,5,24,0,25,61,1,160,317
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 46","Port Moody",55,6,38,0,25,101,1,226,435
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 47","Port Moody",39,0,19,0,5,26,1,90,211
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 48","Port Moody",52,5,58,0,29,99,0,243,474
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 49","Port Moody",125,5,74,0,14,58,0,276,758
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 50","Port Moody",85,1,36,0,8,40,0,170,484
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 51","Coquitlam",50,0,56,0,18,86,0,210,489
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 52","Coquitlam",66,8,68,0,19,68,3,232,507
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 53","Coquitlam",46,3,54,0,11,77,3,194,411
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 54","Coquitlam",65,2,62,1,6,71,1,208,519
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 55","Coquitlam",43,6,45,0,13,57,0,164,411
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 56","Coquitlam",48,2,85,1,6,63,0,205,407
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 57","Coquitlam",55,3,59,0,20,59,2,198,457
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 58","Coquitlam",68,2,69,2,13,100,2,256,431
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 59","Port Moody",106,1,36,0,16,73,0,232,393
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 60","Port Moody",73,0,40,0,9,91,0,213,381
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 61","Port Moody",100,5,68,0,35,98,0,306,532
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 62","Port Moody",46,3,62,0,15,52,1,179,420
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 63","Port Moody",70,3,61,0,14,38,1,187,439
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 64","Port Moody",108,1,66,0,19,77,4,275,554
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 65","Port Moody",84,1,66,0,16,75,0,242,500
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 66","Port Moody",51,5,27,0,13,84,0,180,445
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 67","Port Moody",79,4,44,0,20,89,1,237,508
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 68","Port Moody",66,5,27,0,12,58,0,168,402
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 69","Port Moody",76,4,76,0,17,95,0,268,532
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 70","Coquitlam",45,5,42,0,13,61,1,167,370
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 71","Coquitlam",91,2,91,1,16,60,5,266,492
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 72","Coquitlam",46,2,77,0,17,65,1,208,391
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 73","Coquitlam",69,2,88,0,4,68,0,231,441
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 74","Coquitlam",57,3,51,0,5,65,1,182,386
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 75","Coquitlam",113,7,80,0,24,114,6,344,959
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 76","Coquitlam",25,5,22,0,6,14,2,74,227
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 77","Coquitlam",48,3,85,2,13,87,6,244,575
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 78","Coquitlam",68,3,53,0,18,62,5,209,525
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 79","Coquitlam",46,4,77,0,15,52,1,195,434
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 80","Coquitlam",45,2,35,0,7,46,2,137,337
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 81","Coquitlam",69,3,77,0,15,83,0,247,494
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 82","Coquitlam",49,1,61,1,4,38,0,154,418
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam"," 83","Coquitlam",97,0,61,0,15,64,1,238,573
