Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mavis Erickson,Catharine Kendall,Marcia Luccock,Ron Vaillant,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 1","Toad River",0,0,2,0,21,0,23,81
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 2","Fort Nelson",31,13,14,3,104,1,166,496
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 3","Fort Nelson",17,4,19,5,248,1,294,695
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 4A","Fort Nelson",7,10,14,2,173,0,206,496
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 4B","Fort Nelson",6,4,21,5,155,1,192,476
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 5","Fort Nelson",22,6,16,17,194,2,257,641
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 6","Fort Nelson",11,2,11,0,116,0,140,302
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 7","Fort Ware 1",56,19,18,4,11,1,109,236
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 8","Prophet River",9,2,3,0,22,1,37,85
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 9","Ingenika Point",15,7,10,3,17,0,52,143
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 10","Pink Mountain",3,1,0,8,28,0,40,56
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 11","Buick",2,3,4,2,131,0,142,282
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 12","Upper Halfway",28,4,7,1,31,0,71,126
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 13","Wonowon",3,0,1,0,71,2,77,142
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 14","Prespatou",1,2,0,3,218,0,224,360
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 15","Mackenzie",20,3,13,2,85,0,123,291
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 16","Mackenzie",7,9,25,7,100,2,150,313
