Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ron Broda,David Busch,Elizabeth May,Sabina Singh,Ryan Windsor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 1","Ganges",3,22,115,19,18,0,177,444
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 2","Vesuvius",5,15,113,12,12,1,158,378
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 3","Vesuvius",3,24,112,21,24,0,184,422
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 4","Ganges",7,17,97,30,11,0,162,428
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 5","Ganges",6,23,145,12,19,4,209,468
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 6","North Galiano",1,13,80,21,12,0,127,372
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 7","Sturdies Bay",1,14,84,25,11,0,135,324
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 8","Sturdies Bay",0,12,45,16,15,0,88,277
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 9","Vesuvius",1,27,155,17,21,1,222,446
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 10","Vesuvius",3,14,110,15,22,4,168,358
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 11","Ganges",0,24,142,29,18,2,215,458
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 12","Ganges",6,14,84,17,5,1,127,259
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 13","Ganges",5,18,93,14,13,1,144,380
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 14","Long Harbour",1,13,98,6,7,1,126,299
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 15","Long Harbour",0,12,71,13,19,0,115,300
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 16","Ganges",0,14,49,14,19,2,98,249
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 17","Ganges",4,12,34,11,9,0,70,255
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 18","Ganges",9,18,110,13,6,0,156,453
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 19","Ganges",0,9,58,14,13,0,94,283
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 20","Ganges",1,10,95,18,12,1,137,396
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 21","Ganges",5,17,123,17,10,2,174,421
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 22","Ganges",2,18,123,25,18,0,186,435
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 23","Ganges",5,18,93,15,7,1,139,326
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 24","Mayne",0,16,61,17,10,1,105,316
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 25","Mayne",4,19,81,35,21,2,162,419
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 26","Mayne",2,9,70,16,13,1,111,297
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 27","Ganges",0,5,82,10,11,0,108,304
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 28","Fulford Harbour",1,36,180,28,12,0,257,506
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 29","Fulford Harbour",4,16,182,16,12,1,231,457
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 30","Fulford Harbour",3,10,142,15,10,0,180,328
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 31","Fulford Harbour",3,23,183,23,7,1,240,513
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 32","Saturna",4,20,133,21,30,2,210,336
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 33","Port Washington",0,21,89,21,9,0,140,321
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 34","Port Washington",1,23,85,27,8,1,145,336
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 35","Pender Island",2,21,105,16,12,1,157,314
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 36","Pender Island",0,16,86,24,11,0,137,359
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 37","Pender Island",1,40,109,13,21,0,184,407
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 38","Pender Island",5,15,99,13,17,2,151,403
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 39","Deep Cove",0,40,84,6,33,0,163,449
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 40","Deep Cove",4,71,102,19,30,0,226,482
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 41","Deep Cove",4,61,89,10,25,0,189,410
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 42","Deep Cove",5,44,96,22,32,1,200,438
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 43","Deep Cove",3,28,85,20,43,3,182,446
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 44","Deep Cove",3,38,99,22,27,0,189,438
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 45","Swartz Bay",2,32,109,12,28,1,184,441
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 46","Swartz Bay",7,42,95,17,34,2,197,461
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 47","Swartz Bay",4,57,93,13,28,0,195,433
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 48","Swartz Bay",1,62,72,27,44,0,206,516
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 49","Ardmore",2,40,91,34,22,1,190,396
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 50","Sidney",4,33,94,17,40,1,189,387
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 51","Ardmore",4,49,114,24,35,0,226,455
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 52","Ardmore",3,63,111,16,33,1,227,457
