Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Cannings,Connie Denesiuk,Carolina Hopkins,Tara Howse,Helena Konanz,Sean Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 1","Nakusp",61,17,1,13,97,4,2,195,424
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 2","Nakusp",45,21,0,16,50,3,0,135,320
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 3","Nakusp",57,30,2,24,95,4,3,215,376
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 4","Nakusp",67,18,1,29,70,7,3,195,394
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 5","Brouse",74,31,0,25,73,1,2,206,416
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 6","Naramata",103,38,1,19,55,4,3,223,349
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 7","Naramata",118,56,1,24,62,2,1,264,408
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 8","Naramata",97,43,0,18,69,3,2,232,412
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 9","Naramata",98,38,0,19,76,8,0,239,421
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 10","Big White",44,38,0,16,37,5,1,141,232
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 11","Penticton 1",70,36,0,6,68,5,2,187,403
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 12","Penticton 1",105,35,0,17,81,4,0,242,542
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 13","Penticton 1",34,27,0,2,19,0,0,82,310
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 14","Penticton 1",42,21,1,4,37,1,1,107,350
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 15","Penticton 1",86,27,0,12,88,4,1,218,465
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 16","Penticton",60,30,1,11,32,3,3,140,441
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 17","Penticton",52,33,0,13,31,4,0,133,406
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 18","Penticton",39,27,0,5,54,0,1,126,416
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 19","Penticton",71,22,0,11,30,8,0,142,377
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 20","Penticton",53,28,1,15,64,2,1,164,518
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 21","Penticton",62,24,0,7,43,3,1,140,418
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 22","Penticton",100,38,0,8,46,11,1,204,502
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 23","Penticton",94,25,1,4,44,4,0,172,442
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 24","Penticton 1",121,38,1,15,91,8,2,276,771
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 25","Hills",96,19,1,36,48,3,1,204,421
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 26","New Denver",70,16,0,20,21,3,2,132,286
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 27","Penticton",58,16,0,13,40,2,0,129,485
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest"," 28","Penticton",93,43,0,15,46,2,0,199,561
