Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gölök Z Buday,Bridget Burns,Chris Corsetti,Kyle Demes,Anne Jamieson,Jenny Kwan,Karin Litzcke,Peter Marcus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59035,"Vancouver East/Vancouver-Est"," 1","Vancouver",2,46,20,45,1,80,3,0,0,197,421
59035,"Vancouver East/Vancouver-Est"," 2","Vancouver",3,11,20,44,0,37,1,0,0,116,393
59035,"Vancouver East/Vancouver-Est"," 3","Vancouver",3,23,13,39,0,60,4,0,2,144,413
59035,"Vancouver East/Vancouver-Est"," 4","Vancouver",1,18,20,23,0,119,4,4,8,197,444
59035,"Vancouver East/Vancouver-Est"," 5","Vancouver",0,10,10,24,1,38,3,0,1,87,364
59035,"Vancouver East/Vancouver-Est"," 6","Vancouver",2,7,12,16,1,52,4,0,1,95,401
59035,"Vancouver East/Vancouver-Est"," 7","Vancouver",4,21,14,27,0,84,1,0,1,152,611
59035,"Vancouver East/Vancouver-Est"," 8","Vancouver",2,26,32,59,0,134,3,3,4,263,678
59035,"Vancouver East/Vancouver-Est"," 9","Vancouver",2,15,8,22,0,33,2,0,0,82,409
59035,"Vancouver East/Vancouver-Est"," 10","Vancouver",1,9,4,9,1,34,0,1,2,61,467
59035,"Vancouver East/Vancouver-Est"," 11","Vancouver",0,10,9,15,1,38,1,0,1,75,418
59035,"Vancouver East/Vancouver-Est"," 12","Vancouver",0,11,10,14,0,41,1,0,1,78,436
59035,"Vancouver East/Vancouver-Est"," 13","Vancouver",1,19,6,19,0,45,0,2,0,92,477
59035,"Vancouver East/Vancouver-Est"," 14","Vancouver",2,43,54,112,0,97,4,0,0,312,732
59035,"Vancouver East/Vancouver-Est"," 15","Vancouver",3,19,18,26,1,36,3,0,0,106,445
59035,"Vancouver East/Vancouver-Est"," 16","Vancouver",3,17,12,44,0,83,6,1,0,166,507
59035,"Vancouver East/Vancouver-Est"," 17","Vancouver",0,19,41,46,0,57,2,0,2,167,487
59035,"Vancouver East/Vancouver-Est"," 18","Vancouver",0,9,13,29,0,73,0,0,1,125,393
59035,"Vancouver East/Vancouver-Est"," 19","Vancouver",3,20,13,31,0,78,5,0,2,152,503
59035,"Vancouver East/Vancouver-Est"," 20","Vancouver",3,34,33,73,1,95,7,0,3,249,504
59035,"Vancouver East/Vancouver-Est"," 21","Vancouver",1,23,45,59,0,49,1,0,1,179,439
59035,"Vancouver East/Vancouver-Est"," 22","Vancouver",1,11,11,32,0,68,0,1,2,126,435
59035,"Vancouver East/Vancouver-Est"," 23","Vancouver",2,19,45,79,0,45,4,0,0,194,515
59035,"Vancouver East/Vancouver-Est"," 24","Vancouver",1,23,13,34,0,68,3,0,1,143,585
59035,"Vancouver East/Vancouver-Est"," 25","Vancouver",3,16,18,17,1,63,3,2,0,123,399
59035,"Vancouver East/Vancouver-Est"," 26","Vancouver",0,3,8,11,0,98,0,1,4,125,358
59035,"Vancouver East/Vancouver-Est"," 27","Vancouver",2,27,19,45,0,77,1,1,1,173,448
59035,"Vancouver East/Vancouver-Est"," 28","Vancouver",3,9,17,19,0,107,0,2,9,166,585
59035,"Vancouver East/Vancouver-Est"," 29","Vancouver",1,27,12,23,0,52,2,0,3,120,414
59035,"Vancouver East/Vancouver-Est"," 30","Vancouver",1,43,14,25,0,149,1,1,0,234,498
59035,"Vancouver East/Vancouver-Est"," 31","Vancouver",4,24,13,24,0,96,1,1,2,165,360
59035,"Vancouver East/Vancouver-Est"," 32A","Vancouver",0,17,17,25,1,96,2,2,0,160,433
59035,"Vancouver East/Vancouver-Est"," 32B","Vancouver",0,28,12,21,0,95,1,1,1,159,444
59035,"Vancouver East/Vancouver-Est"," 33","Vancouver",0,39,12,12,1,93,4,0,0,161,369
59035,"Vancouver East/Vancouver-Est"," 34","Vancouver",0,27,15,24,0,97,0,0,0,163,337
59035,"Vancouver East/Vancouver-Est"," 35","Vancouver",4,18,18,28,0,161,5,3,3,240,521
59035,"Vancouver East/Vancouver-Est"," 36","Vancouver",1,42,12,20,0,113,3,0,0,191,495
59035,"Vancouver East/Vancouver-Est"," 37","Vancouver",2,38,12,26,0,120,1,0,0,199,395
59035,"Vancouver East/Vancouver-Est"," 38","Vancouver",0,9,13,15,0,43,0,1,0,81,340
59035,"Vancouver East/Vancouver-Est"," 39","Vancouver",0,43,16,51,0,147,6,1,1,265,599
59035,"Vancouver East/Vancouver-Est"," 40","Vancouver",0,38,12,27,1,103,7,3,1,192,490
59035,"Vancouver East/Vancouver-Est"," 41","Vancouver",0,47,24,33,0,100,2,0,0,206,414
59035,"Vancouver East/Vancouver-Est"," 42","Vancouver",0,37,12,27,0,125,6,0,1,208,440
59035,"Vancouver East/Vancouver-Est"," 43","Vancouver",4,27,20,39,0,86,4,0,1,181,445
59035,"Vancouver East/Vancouver-Est"," 44","Vancouver",7,34,17,16,0,167,3,0,2,246,519
59035,"Vancouver East/Vancouver-Est"," 45","Vancouver",4,20,25,27,0,107,5,0,4,192,388
59035,"Vancouver East/Vancouver-Est"," 46","Vancouver",0,26,24,39,1,119,2,1,1,213,380
59035,"Vancouver East/Vancouver-Est"," 47","Vancouver",0,34,42,39,0,106,5,0,1,227,481
59035,"Vancouver East/Vancouver-Est"," 48","Vancouver",2,30,33,35,0,114,3,1,1,219,442
59035,"Vancouver East/Vancouver-Est"," 49","Vancouver",5,19,32,37,0,77,5,1,2,178,461
59035,"Vancouver East/Vancouver-Est"," 50","Vancouver",0,21,10,19,1,123,1,4,1,180,507
59035,"Vancouver East/Vancouver-Est"," 51","Vancouver",3,30,22,39,0,129,4,1,1,229,511
59035,"Vancouver East/Vancouver-Est"," 52","Vancouver",1,33,12,23,0,128,1,1,1,200,451
59035,"Vancouver East/Vancouver-Est"," 53","Vancouver",1,44,3,26,0,107,0,0,0,181,436
59035,"Vancouver East/Vancouver-Est"," 54","Vancouver",1,43,11,17,0,118,5,0,0,195,371
59035,"Vancouver East/Vancouver-Est"," 55","Vancouver",1,50,10,29,0,122,2,1,3,218,435
59035,"Vancouver East/Vancouver-Est"," 56","Vancouver",3,53,16,46,1,172,2,1,4,298,580
59035,"Vancouver East/Vancouver-Est"," 57","Vancouver",5,38,9,17,0,142,2,0,1,214,520
59035,"Vancouver East/Vancouver-Est"," 58","Vancouver",5,15,27,26,0,80,3,1,1,158,452
59035,"Vancouver East/Vancouver-Est"," 59","Vancouver",2,16,16,15,0,104,2,0,0,155,403
59035,"Vancouver East/Vancouver-Est"," 60","Vancouver",1,36,20,27,0,110,0,4,2,200,431
59035,"Vancouver East/Vancouver-Est"," 61","Vancouver",3,37,13,25,0,126,4,1,3,212,466
59035,"Vancouver East/Vancouver-Est"," 62","Vancouver",2,32,30,34,0,133,1,1,2,235,502
59035,"Vancouver East/Vancouver-Est"," 63","Vancouver",3,25,26,49,0,104,3,1,1,212,464
59035,"Vancouver East/Vancouver-Est"," 64","Vancouver",3,22,37,39,0,93,4,2,2,202,413
59035,"Vancouver East/Vancouver-Est"," 65","Vancouver",2,29,17,29,0,117,5,0,3,202,480
59035,"Vancouver East/Vancouver-Est"," 66","Vancouver",2,26,44,42,0,114,4,0,2,234,433
59035,"Vancouver East/Vancouver-Est"," 67","Vancouver",3,51,33,26,1,106,3,1,2,226,516
59035,"Vancouver East/Vancouver-Est"," 68","Vancouver",2,17,11,36,2,93,1,0,3,165,404
59035,"Vancouver East/Vancouver-Est"," 69","Vancouver",3,31,21,38,0,137,6,2,0,238,420
59035,"Vancouver East/Vancouver-Est"," 70","Vancouver",0,58,21,88,0,145,2,1,2,317,548
59035,"Vancouver East/Vancouver-Est"," 71","Vancouver",0,51,18,46,0,128,1,2,0,246,436
59035,"Vancouver East/Vancouver-Est"," 72","Vancouver",3,32,11,65,0,107,6,1,1,226,562
59035,"Vancouver East/Vancouver-Est"," 73","Vancouver",2,41,33,76,1,162,3,1,6,325,589
59035,"Vancouver East/Vancouver-Est"," 74","Vancouver",1,36,41,104,0,147,0,0,4,333,551
59035,"Vancouver East/Vancouver-Est"," 75","Vancouver",5,29,24,42,0,108,3,2,0,213,507
59035,"Vancouver East/Vancouver-Est"," 76","Vancouver",0,41,28,70,0,124,0,1,4,268,613
59035,"Vancouver East/Vancouver-Est"," 77","Vancouver",2,38,22,54,0,95,3,0,0,214,491
59035,"Vancouver East/Vancouver-Est"," 78","Vancouver",1,59,15,43,0,144,3,0,1,266,447
59035,"Vancouver East/Vancouver-Est"," 79","Vancouver",0,29,6,25,0,142,0,0,0,202,376
59035,"Vancouver East/Vancouver-Est"," 80","Vancouver",0,49,6,28,0,130,1,0,0,214,390
59035,"Vancouver East/Vancouver-Est"," 81","Vancouver",2,47,6,34,0,132,4,0,1,226,399
59035,"Vancouver East/Vancouver-Est"," 82","Vancouver",2,29,13,24,0,124,4,0,1,197,432
59035,"Vancouver East/Vancouver-Est"," 83","Vancouver",0,62,8,33,0,112,1,0,0,216,376
59035,"Vancouver East/Vancouver-Est"," 84","Vancouver",2,44,9,31,0,146,1,2,4,239,499
59035,"Vancouver East/Vancouver-Est"," 85","Vancouver",3,39,8,27,0,121,4,1,1,204,407
59035,"Vancouver East/Vancouver-Est"," 86","Vancouver",1,31,7,24,0,112,1,0,0,176,349
