Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Louise Boutin,Naomi Chocyk,Yvonne Hanson,Taleeb Noormohamed,Zach Segal,Jody Wilson-Raybould,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59036,"Vancouver Granville/Vancouver Granville"," 1","Vancouver",18,0,38,50,13,74,1,194,476
59036,"Vancouver Granville/Vancouver Granville"," 2","Vancouver",13,1,25,65,24,57,0,185,408
59036,"Vancouver Granville/Vancouver Granville"," 3","Vancouver",17,1,36,61,22,77,0,214,470
59036,"Vancouver Granville/Vancouver Granville"," 4","Vancouver",19,4,12,85,38,51,0,209,401
59036,"Vancouver Granville/Vancouver Granville"," 5","Vancouver",14,0,31,66,22,70,0,203,473
59036,"Vancouver Granville/Vancouver Granville"," 6","Vancouver",14,3,31,77,26,55,2,208,429
59036,"Vancouver Granville/Vancouver Granville"," 7","Vancouver",14,2,35,60,25,65,1,202,466
59036,"Vancouver Granville/Vancouver Granville"," 8","Vancouver",15,1,37,68,20,51,0,192,445
59036,"Vancouver Granville/Vancouver Granville"," 9","Vancouver",22,1,25,61,35,87,1,232,469
59036,"Vancouver Granville/Vancouver Granville"," 10","Vancouver",14,6,28,94,50,98,1,291,592
59036,"Vancouver Granville/Vancouver Granville"," 11","Vancouver",17,4,23,76,39,78,0,237,558
59036,"Vancouver Granville/Vancouver Granville"," 12","Vancouver",11,1,21,68,29,55,0,185,476
59036,"Vancouver Granville/Vancouver Granville"," 13","Vancouver",14,3,25,73,51,89,3,258,518
59036,"Vancouver Granville/Vancouver Granville"," 14","Vancouver",11,2,12,60,25,68,0,178,477
59036,"Vancouver Granville/Vancouver Granville"," 15","Vancouver",3,2,13,51,16,54,0,139,386
59036,"Vancouver Granville/Vancouver Granville"," 16","Vancouver",18,0,26,73,29,58,0,204,503
59036,"Vancouver Granville/Vancouver Granville"," 17","Vancouver",13,0,51,51,25,56,0,196,446
59036,"Vancouver Granville/Vancouver Granville"," 18","Vancouver",21,2,47,50,19,89,0,228,462
59036,"Vancouver Granville/Vancouver Granville"," 19","Vancouver",12,1,32,63,26,76,0,210,465
59036,"Vancouver Granville/Vancouver Granville"," 20","Vancouver",10,1,37,66,20,51,1,186,450
59036,"Vancouver Granville/Vancouver Granville"," 21","Vancouver",19,2,40,55,19,77,0,212,515
59036,"Vancouver Granville/Vancouver Granville"," 22","Vancouver",14,2,34,39,18,61,1,169,390
59036,"Vancouver Granville/Vancouver Granville"," 23","Vancouver",12,0,45,54,8,48,0,167,444
59036,"Vancouver Granville/Vancouver Granville"," 24","Vancouver",10,3,31,37,13,80,1,175,411
59036,"Vancouver Granville/Vancouver Granville"," 25","Vancouver",9,1,33,38,16,57,0,154,361
59036,"Vancouver Granville/Vancouver Granville"," 26","Vancouver",10,1,20,48,19,59,0,157,405
59036,"Vancouver Granville/Vancouver Granville"," 27","Vancouver",9,0,27,68,20,72,0,196,412
59036,"Vancouver Granville/Vancouver Granville"," 28","Vancouver",18,2,50,39,18,51,0,178,452
59036,"Vancouver Granville/Vancouver Granville"," 29","Vancouver",5,0,22,57,18,61,0,163,453
59036,"Vancouver Granville/Vancouver Granville"," 30","Vancouver",13,2,33,41,13,73,0,175,450
59036,"Vancouver Granville/Vancouver Granville"," 31","Vancouver",7,3,16,57,20,68,0,171,429
59036,"Vancouver Granville/Vancouver Granville"," 32","Vancouver",6,2,17,35,26,41,0,127,363
59036,"Vancouver Granville/Vancouver Granville"," 33","Vancouver",8,4,43,47,22,52,2,178,396
59036,"Vancouver Granville/Vancouver Granville"," 34","Vancouver",10,2,17,43,19,62,0,153,422
59036,"Vancouver Granville/Vancouver Granville"," 35","Vancouver",17,2,45,52,27,74,0,217,527
59036,"Vancouver Granville/Vancouver Granville"," 36","Vancouver",6,1,46,48,18,78,0,197,453
59036,"Vancouver Granville/Vancouver Granville"," 37","Vancouver",18,3,50,43,16,62,1,193,413
59036,"Vancouver Granville/Vancouver Granville"," 38","Vancouver",14,2,35,71,35,73,4,234,468
59036,"Vancouver Granville/Vancouver Granville"," 39","Vancouver",12,2,41,73,24,95,1,248,463
59036,"Vancouver Granville/Vancouver Granville"," 40","Vancouver",14,1,39,58,24,71,4,211,467
59036,"Vancouver Granville/Vancouver Granville"," 41","Vancouver",5,1,30,51,35,56,1,179,389
59036,"Vancouver Granville/Vancouver Granville"," 42","Vancouver",12,1,37,59,19,83,0,211,436
59036,"Vancouver Granville/Vancouver Granville"," 43","Vancouver",12,1,45,52,36,57,0,203,474
59036,"Vancouver Granville/Vancouver Granville"," 44","Vancouver",11,1,32,66,29,68,0,207,456
59036,"Vancouver Granville/Vancouver Granville"," 45","Vancouver",14,1,28,73,26,68,0,210,388
59036,"Vancouver Granville/Vancouver Granville"," 46","Vancouver",Merged with No./Fusionné avec le n°45,,,,,,,,82
59036,"Vancouver Granville/Vancouver Granville"," 47","Vancouver",11,2,40,52,23,50,0,178,493
59036,"Vancouver Granville/Vancouver Granville"," 48","Vancouver",11,0,37,40,12,82,0,182,397
59036,"Vancouver Granville/Vancouver Granville"," 49","Vancouver",14,1,70,63,22,69,3,242,500
59036,"Vancouver Granville/Vancouver Granville"," 50","Vancouver",11,0,38,50,16,56,0,171,413
59036,"Vancouver Granville/Vancouver Granville"," 51","Vancouver",6,0,22,66,17,79,0,190,479
59036,"Vancouver Granville/Vancouver Granville"," 52","Vancouver",13,0,28,47,18,76,0,182,408
59036,"Vancouver Granville/Vancouver Granville"," 53","Vancouver",13,0,21,50,16,48,1,149,371
59036,"Vancouver Granville/Vancouver Granville"," 54","Vancouver",17,0,17,66,34,59,0,193,473
59036,"Vancouver Granville/Vancouver Granville"," 55","Vancouver",10,2,30,61,25,69,1,198,491
59036,"Vancouver Granville/Vancouver Granville"," 56","Vancouver",15,1,21,56,28,61,0,182,424
59036,"Vancouver Granville/Vancouver Granville"," 57","Vancouver",7,1,12,34,27,42,1,124,410
59036,"Vancouver Granville/Vancouver Granville"," 58","Vancouver",10,1,28,26,15,66,1,147,387
59036,"Vancouver Granville/Vancouver Granville"," 59","Vancouver",4,0,29,55,18,47,1,154,431
59036,"Vancouver Granville/Vancouver Granville"," 60","Vancouver",17,2,40,35,13,63,0,170,406
59036,"Vancouver Granville/Vancouver Granville"," 61","Vancouver",20,4,33,62,30,60,1,210,492
59036,"Vancouver Granville/Vancouver Granville"," 62","Vancouver",7,0,29,46,35,48,2,167,455
59036,"Vancouver Granville/Vancouver Granville"," 63","Vancouver",7,4,28,54,19,44,3,159,414
59036,"Vancouver Granville/Vancouver Granville"," 64","Vancouver",17,0,17,55,28,69,0,186,510
59036,"Vancouver Granville/Vancouver Granville"," 65","Vancouver",10,1,33,35,25,58,0,162,403
59036,"Vancouver Granville/Vancouver Granville"," 66","Vancouver",7,3,45,50,14,94,0,213,464
59036,"Vancouver Granville/Vancouver Granville"," 67","Vancouver",13,4,39,60,40,78,0,234,570
59036,"Vancouver Granville/Vancouver Granville"," 68","Vancouver",4,2,6,38,60,51,0,161,409
59036,"Vancouver Granville/Vancouver Granville"," 69","Vancouver",5,0,11,52,67,42,3,180,416
59036,"Vancouver Granville/Vancouver Granville"," 70","Vancouver",10,1,37,53,32,70,0,203,456
59036,"Vancouver Granville/Vancouver Granville"," 71","Vancouver",3,1,5,30,70,45,0,154,435
59036,"Vancouver Granville/Vancouver Granville"," 72","Vancouver",4,1,23,24,34,45,0,131,397
59036,"Vancouver Granville/Vancouver Granville"," 73","Vancouver",9,2,12,47,69,51,0,190,453
