Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kimball Cariou,Don Davies,Donna Petersen,Helen Quan,Tamara Taggart,Lawrence Taylor,Ian Torn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Kingsway/Vancouver Kingsway"," 1","Vancouver",0,131,0,16,44,20,0,0,211,448
59038,"Vancouver Kingsway/Vancouver Kingsway"," 2","Vancouver",1,116,3,33,66,24,3,2,248,479
59038,"Vancouver Kingsway/Vancouver Kingsway"," 3","Vancouver",2,87,0,21,54,19,0,1,184,402
59038,"Vancouver Kingsway/Vancouver Kingsway"," 4","Vancouver",4,89,2,39,51,13,4,1,203,444
59038,"Vancouver Kingsway/Vancouver Kingsway"," 5","Vancouver",0,108,0,34,43,26,3,2,216,425
59038,"Vancouver Kingsway/Vancouver Kingsway"," 6","Vancouver",0,86,0,25,81,13,1,3,209,414
59038,"Vancouver Kingsway/Vancouver Kingsway"," 7","Vancouver",1,84,0,25,61,12,1,0,184,439
59038,"Vancouver Kingsway/Vancouver Kingsway"," 8","Vancouver",1,106,0,27,40,15,0,0,189,552
59038,"Vancouver Kingsway/Vancouver Kingsway"," 9","Vancouver",1,138,0,37,52,16,1,3,248,493
59038,"Vancouver Kingsway/Vancouver Kingsway"," 10","Vancouver",1,135,0,29,48,23,1,1,238,464
59038,"Vancouver Kingsway/Vancouver Kingsway"," 11","Vancouver",0,151,0,56,59,20,1,0,287,577
59038,"Vancouver Kingsway/Vancouver Kingsway"," 12","Vancouver",0,101,0,28,33,8,3,1,174,427
59038,"Vancouver Kingsway/Vancouver Kingsway"," 13","Vancouver",4,124,1,25,55,21,3,0,233,490
59038,"Vancouver Kingsway/Vancouver Kingsway"," 14","Vancouver",0,113,0,22,62,24,0,2,223,533
59038,"Vancouver Kingsway/Vancouver Kingsway"," 15","Vancouver",3,90,0,20,41,15,0,6,175,370
59038,"Vancouver Kingsway/Vancouver Kingsway"," 16","Vancouver",2,123,0,19,46,6,0,0,196,433
59038,"Vancouver Kingsway/Vancouver Kingsway"," 17","Vancouver",1,120,0,26,44,18,0,2,211,379
59038,"Vancouver Kingsway/Vancouver Kingsway"," 18","Vancouver",0,86,0,16,48,22,2,0,174,414
59038,"Vancouver Kingsway/Vancouver Kingsway"," 19","Vancouver",0,107,0,24,57,15,2,3,208,457
59038,"Vancouver Kingsway/Vancouver Kingsway"," 20","Vancouver",0,76,0,25,38,14,1,2,156,412
59038,"Vancouver Kingsway/Vancouver Kingsway"," 21","Vancouver",0,86,0,18,37,11,2,1,155,431
59038,"Vancouver Kingsway/Vancouver Kingsway"," 22","Vancouver",1,105,0,25,39,8,0,0,178,454
59038,"Vancouver Kingsway/Vancouver Kingsway"," 23","Vancouver",0,96,0,34,53,18,2,1,204,434
59038,"Vancouver Kingsway/Vancouver Kingsway"," 24","Vancouver",0,89,0,22,43,14,1,1,170,432
59038,"Vancouver Kingsway/Vancouver Kingsway"," 25","Vancouver",1,90,0,41,39,14,1,7,193,519
59038,"Vancouver Kingsway/Vancouver Kingsway"," 26","Vancouver",0,81,0,17,58,24,0,1,181,373
59038,"Vancouver Kingsway/Vancouver Kingsway"," 27","Vancouver",0,169,0,36,58,23,0,0,286,662
59038,"Vancouver Kingsway/Vancouver Kingsway"," 28","Vancouver",1,84,0,22,35,21,2,0,165,360
59038,"Vancouver Kingsway/Vancouver Kingsway"," 29","Vancouver",0,59,1,17,28,17,2,0,124,374
59038,"Vancouver Kingsway/Vancouver Kingsway"," 30","Vancouver",0,149,0,40,28,17,4,2,240,436
59038,"Vancouver Kingsway/Vancouver Kingsway"," 31","Vancouver",5,139,0,35,62,19,0,0,260,494
59038,"Vancouver Kingsway/Vancouver Kingsway"," 32","Vancouver",0,82,0,25,41,12,4,2,166,356
59038,"Vancouver Kingsway/Vancouver Kingsway"," 33","Vancouver",2,69,1,49,54,11,0,0,186,492
