Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mary Beckett,Yanik D'Aigle,Paul Falvo,Michael McLeod,Luke Quinlan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
61001,"Northwest Territories/Territoires du Nord-Ouest"," 1","Sachs Harbour",8,3,3,14,1,1,30,73
61001,"Northwest Territories/Territoires du Nord-Ouest"," 2","Inuvik",19,28,3,34,3,1,88,306
61001,"Northwest Territories/Territoires du Nord-Ouest"," 3","Inuvik",28,18,2,39,1,1,89,364
61001,"Northwest Territories/Territoires du Nord-Ouest"," 4","Inuvik",31,24,6,48,0,0,109,313
61001,"Northwest Territories/Territoires du Nord-Ouest"," 5","Inuvik",28,19,4,58,0,2,111,408
61001,"Northwest Territories/Territoires du Nord-Ouest"," 6","Inuvik",32,25,7,54,3,2,123,408
61001,"Northwest Territories/Territoires du Nord-Ouest"," 7","Inuvik",45,33,13,50,2,1,144,301
61001,"Northwest Territories/Territoires du Nord-Ouest"," 8","Inuvik",38,26,5,51,1,0,121,317
61001,"Northwest Territories/Territoires du Nord-Ouest"," 9","Aklavik",40,17,2,74,0,0,133,399
61001,"Northwest Territories/Territoires du Nord-Ouest"," 10","Tuktoyaktuk",27,39,7,109,4,0,186,592
61001,"Northwest Territories/Territoires du Nord-Ouest"," 11","Fort McPherson",30,23,3,142,2,0,200,517
61001,"Northwest Territories/Territoires du Nord-Ouest"," 12","Ulukhaktok",48,14,5,41,1,0,109,246
61001,"Northwest Territories/Territoires du Nord-Ouest"," 13","Paulatuk",11,4,0,66,0,1,82,194
61001,"Northwest Territories/Territoires du Nord-Ouest"," 14","Tsiigehtchic",8,7,2,33,0,2,52,106
61001,"Northwest Territories/Territoires du Nord-Ouest"," 15","Fort Good Hope",22,10,12,65,1,0,110,315
61001,"Northwest Territories/Territoires du Nord-Ouest"," 16","Colville Lake",4,3,2,13,0,0,22,78
61001,"Northwest Territories/Territoires du Nord-Ouest"," 17","Norman Wells",48,76,15,70,11,1,221,501
61001,"Northwest Territories/Territoires du Nord-Ouest"," 18","Deline",23,5,8,93,1,0,130,391
61001,"Northwest Territories/Territoires du Nord-Ouest"," 19","Tulita",19,5,4,72,7,0,107,301
61001,"Northwest Territories/Territoires du Nord-Ouest"," 20","Wrigley",5,4,1,11,0,0,21,100
61001,"Northwest Territories/Territoires du Nord-Ouest"," 21","Gameti",27,4,1,52,1,1,86,183
61001,"Northwest Territories/Territoires du Nord-Ouest"," 22","Wekweti",6,1,1,33,2,0,43,87
61001,"Northwest Territories/Territoires du Nord-Ouest"," 23","Nahanni Butte",3,2,0,24,0,0,29,50
61001,"Northwest Territories/Territoires du Nord-Ouest"," 24","Wha Ti",12,15,8,116,3,0,154,327
61001,"Northwest Territories/Territoires du Nord-Ouest"," 25","Yellowknife",48,96,38,87,7,4,280,531
61001,"Northwest Territories/Territoires du Nord-Ouest"," 26","Yellowknife",38,32,22,27,2,1,122,311
61001,"Northwest Territories/Territoires du Nord-Ouest"," 27","Yellowknife",36,30,23,46,3,1,139,395
61001,"Northwest Territories/Territoires du Nord-Ouest"," 28","Yellowknife",23,36,13,38,2,0,112,377
61001,"Northwest Territories/Territoires du Nord-Ouest"," 29","Yellowknife",45,50,15,51,4,1,166,390
61001,"Northwest Territories/Territoires du Nord-Ouest"," 30","Yellowknife",55,64,45,65,11,1,241,482
61001,"Northwest Territories/Territoires du Nord-Ouest"," 31","Yellowknife",37,39,12,26,3,0,117,314
61001,"Northwest Territories/Territoires du Nord-Ouest"," 32","Yellowknife",20,54,13,28,7,0,122,234
61001,"Northwest Territories/Territoires du Nord-Ouest"," 33","Yellowknife",29,38,29,40,6,2,144,339
61001,"Northwest Territories/Territoires du Nord-Ouest"," 34","Yellowknife",36,67,20,58,6,2,189,442
61001,"Northwest Territories/Territoires du Nord-Ouest"," 35","Behchoko",8,14,3,55,0,0,80,179
61001,"Northwest Territories/Territoires du Nord-Ouest"," 36","Behchoko",9,11,7,81,0,0,108,213
61001,"Northwest Territories/Territoires du Nord-Ouest"," 37","Behchoko",2,5,3,64,0,0,74,151
61001,"Northwest Territories/Territoires du Nord-Ouest"," 38","Behchoko",12,8,15,159,0,0,194,621
61001,"Northwest Territories/Territoires du Nord-Ouest"," 39","Fort Simpson",35,30,6,70,0,3,144,432
61001,"Northwest Territories/Territoires du Nord-Ouest"," 40","Fort Simpson",26,21,7,33,0,0,87,221
61001,"Northwest Territories/Territoires du Nord-Ouest"," 41","Fort Simpson",36,11,4,36,1,2,90,271
61001,"Northwest Territories/Territoires du Nord-Ouest"," 42","Jean Marie River",6,0,4,22,0,0,32,47
61001,"Northwest Territories/Territoires du Nord-Ouest"," 43","Yellowknife",41,79,12,54,2,0,188,421
61001,"Northwest Territories/Territoires du Nord-Ouest"," 44","Yellowknife",50,43,29,60,0,3,185,428
61001,"Northwest Territories/Territoires du Nord-Ouest"," 45","Yellowknife",47,50,27,51,3,0,178,336
61001,"Northwest Territories/Territoires du Nord-Ouest"," 46","Yellowknife",34,54,17,63,4,1,173,362
61001,"Northwest Territories/Territoires du Nord-Ouest"," 47","Yellowknife",38,36,58,75,2,3,212,400
61001,"Northwest Territories/Territoires du Nord-Ouest"," 48","Yellowknife",36,40,32,61,1,3,173,421
61001,"Northwest Territories/Territoires du Nord-Ouest"," 49","Yellowknife",34,28,24,67,6,0,159,367
61001,"Northwest Territories/Territoires du Nord-Ouest"," 50","Yellowknife",15,48,7,47,1,1,119,239
61001,"Northwest Territories/Territoires du Nord-Ouest"," 51","Yellowknife",35,74,11,46,4,0,170,344
