Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Anonsen,Linda Hogan,Churence Rogers,Sharon Vokey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 1","Davidsville",3,6,18,31,2,60,199
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 2","Frederickton",8,3,14,31,0,56,136
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 3","Carmanville",7,5,38,52,2,104,285
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 4A","Carmanville",Merged with No./Fusionné avec le n°3,,,,,,142
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 4B","Carmanville",9,4,28,46,2,89,351
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 5","Ladle Cove--Aspen Cove",6,5,47,36,0,94,253
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 6","Musgrave Harbour",0,2,27,35,0,64,143
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 7","Musgrave Harbour",6,8,42,46,1,103,297
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 8","Musgrave Harbour",11,10,65,60,5,151,352
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 9","Deadman's Bay",8,2,25,13,0,48,110
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 10","Lumsden",6,4,152,36,0,198,419
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 11","Cape Freels",1,1,43,3,3,51,97
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 12","Newtown--Templeman",10,6,94,19,4,133,243
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 13","Pound Cove",0,0,27,13,0,40,110
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 14","Wesleyville",1,2,27,10,0,40,207
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 15A","Brookfield",2,2,62,29,0,95,191
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 15B","Brookfield",5,0,38,14,0,57,276
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 16","Badger's Quay--Pool's Island",8,1,100,29,2,140,333
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 17","Valleyfield",9,5,96,34,2,146,387
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 18","Greenspond",2,2,99,31,5,139,235
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 19","Centreville-Wareham-Trinity",9,5,91,67,1,173,334
