Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jamie Ruby,Scott Simms,Clifford Small,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 1","Tilting",5,51,40,8,104,153
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 2","Joe Batt's Arm",10,73,21,0,104,250
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 3","Joe Batt's Arm--Barr'd Islands--Shoal Bay",8,98,31,0,137,360
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 4","Fogo",13,53,19,4,89,249
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 5","Fogo",7,35,19,3,64,213
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 6","Seldom",7,78,36,5,126,330
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 7","Island Harbour--Deep Bay",3,38,33,3,77,152
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 8","Durrell",11,61,66,2,140,328
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 9","Twillingate",6,59,59,0,124,330
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 10","Twillingate",11,76,60,0,147,369
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 11","Twillingate",13,92,64,3,172,486
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 12","Twillingate--Little Harbour",6,93,68,0,167,488
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 13","Woodstock",6,24,128,4,162,316
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 14","Change Islands",2,58,29,9,98,166
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 15","Herring Neck",4,33,46,1,84,305
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 16","Stag Harbour",2,21,22,4,49,105
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 17","Pikes Arm",4,47,26,5,82,182
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 18","Valley Pond",12,61,54,3,130,254
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 19","Crow Head",10,42,13,6,71,113
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 20","Fleur de Lys",7,68,94,10,179,216
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 21","Shoe Cove",1,24,44,6,75,128
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 22","LaScie",2,19,35,1,57,224
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 23","La Scie",4,35,63,8,110,283
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 24","LaScie",1,20,20,2,43,174
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 25","Hillgrade",1,15,47,0,63,175
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 26","Stoneville--Port Albert",3,29,73,1,106,289
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 27","Fairbank",1,9,13,0,23,77
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 28","Virgin Arm",9,41,121,6,177,479
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 29","Horwood",4,37,35,8,84,265
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 30","Moreton's Harbour",4,16,21,1,42,67
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 31","Brent's Cove",6,28,52,6,92,257
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 32","Coachman's Cove",Merged with No./Fusionné avec le n°20,,,,,90
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 33","Summerford",5,34,60,4,103,297
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 34","Summerford",4,31,62,1,98,237
10003,"Coast of Bays--Central--Notre Dame/Coast of Bays--Central--Notre Dame"," 35","Summerford",6,32,52,5,95,239
