Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shannon Champion,Shane Dumaresque,Yvonne Jones,Amy Norman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10004,"Labrador/Labrador"," 1","Nain",3,4,35,52,2,96,261
10004,"Labrador/Labrador"," 2","Nain",2,15,35,85,0,137,437
10004,"Labrador/Labrador"," 3","Natuashish",3,29,8,19,0,59,519
10004,"Labrador/Labrador"," 4","Hopedale",3,24,43,41,1,112,421
10004,"Labrador/Labrador"," 5","Postville",5,30,17,21,0,73,139
10004,"Labrador/Labrador"," 6","Makkovik",1,7,22,50,2,82,284
10004,"Labrador/Labrador"," 7","Rigolet",1,8,42,34,1,86,232
10004,"Labrador/Labrador"," 8","North West River",0,20,50,51,2,123,472
10004,"Labrador/Labrador"," 9","Sheshatshiu 3",0,4,2,2,0,8,497
10004,"Labrador/Labrador"," 10","Sheshatshiu 3",1,5,2,12,0,20,437
10004,"Labrador/Labrador"," 11","Happy Valley-Goose Bay",7,67,95,54,1,224,596
10004,"Labrador/Labrador"," 12","Happy Valley-Goose Bay",5,36,71,29,1,142,490
10004,"Labrador/Labrador"," 13","Happy Valley-Goose Bay",3,22,27,42,1,95,352
10004,"Labrador/Labrador"," 14","Happy Valley-Goose Bay",4,32,46,25,0,107,416
10004,"Labrador/Labrador"," 15","Happy Valley-Goose Bay",4,23,36,37,0,100,373
10004,"Labrador/Labrador"," 16","Happy Valley-Goose Bay",1,34,54,31,2,122,408
10004,"Labrador/Labrador"," 17","Happy Valley-Goose Bay",9,15,54,32,1,111,376
10004,"Labrador/Labrador"," 18","Happy Valley-Goose Bay",2,46,67,37,0,152,447
10004,"Labrador/Labrador"," 19","Happy Valley-Goose Bay",5,30,50,39,0,124,520
10004,"Labrador/Labrador"," 20","Happy Valley-Goose Bay",1,24,47,32,0,104,375
10004,"Labrador/Labrador"," 21","Happy Valley-Goose Bay",6,35,47,23,0,111,370
10004,"Labrador/Labrador"," 22","Happy Valley-Goose Bay",2,39,55,37,0,133,447
10004,"Labrador/Labrador"," 23","Happy Valley-Goose Bay",0,33,61,44,0,138,405
10004,"Labrador/Labrador"," 24","Happy Valley-Goose Bay",3,43,25,41,1,113,420
10004,"Labrador/Labrador"," 25","Mud Lake",0,5,6,9,0,20,31
10004,"Labrador/Labrador"," 26","Cartwright",3,11,52,22,1,89,392
10004,"Labrador/Labrador"," 27","Black Tickle",0,1,11,4,0,16,74
10004,"Labrador/Labrador"," 28","Norman's Bay",0,1,6,1,0,8,15
10004,"Labrador/Labrador"," 29","Charlottetown",0,6,75,0,0,81,231
10004,"Labrador/Labrador"," 30","Pinsent Arm",0,0,26,2,0,28,38
10004,"Labrador/Labrador"," 31","St. Lewis",0,6,55,4,1,66,153
10004,"Labrador/Labrador"," 32","Port Hope Simpson",0,28,53,5,0,86,337
10004,"Labrador/Labrador"," 33","Mary's Harbour",0,4,63,4,2,73,284
10004,"Labrador/Labrador"," 34","Lodge Bay",0,2,24,0,0,26,50
10004,"Labrador/Labrador"," 35","Red Bay",3,21,33,3,0,60,147
10004,"Labrador/Labrador"," 36","West St. Modeste",0,13,45,4,0,62,146
10004,"Labrador/Labrador"," 37","Pinware",1,5,24,6,0,36,62
10004,"Labrador/Labrador"," 38","L'Anse-au-Loup",4,44,58,8,0,114,459
10004,"Labrador/Labrador"," 39","Forteau",1,49,61,5,4,120,315
10004,"Labrador/Labrador"," 40","L'Anse-au-Clair",3,16,68,5,2,94,168
10004,"Labrador/Labrador"," 41","Churchill Falls",2,21,28,14,0,65,162
10004,"Labrador/Labrador"," 42","Churchill Falls",4,40,23,22,1,90,243
10004,"Labrador/Labrador"," 43","Wabush",6,59,39,44,1,149,390
10004,"Labrador/Labrador"," 44","Wabush",4,41,33,50,0,128,272
10004,"Labrador/Labrador"," 45","Wabush",8,50,31,43,1,133,327
10004,"Labrador/Labrador"," 46","Wabush",10,135,60,75,0,280,546
10004,"Labrador/Labrador"," 47","Labrador City",7,75,66,39,5,192,397
10004,"Labrador/Labrador"," 48","Labrador City",6,53,50,32,2,143,368
10004,"Labrador/Labrador"," 49","Labrador City",10,28,28,30,0,96,287
10004,"Labrador/Labrador"," 50","Labrador City",3,48,38,34,1,124,308
