Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Glenn Etchegary,Dana Metcalfe,Mary Shortall,Joanne Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 1","Pouch Cove",29,9,44,37,0,119,270
10006,"St. John's East/St. John's-Est"," 2","Pouch Cove",53,0,27,41,0,121,339
10006,"St. John's East/St. John's-Est"," 3","Pouch Cove",33,3,34,32,0,102,322
10006,"St. John's East/St. John's-Est"," 4","Pouch Cove",54,7,51,50,0,162,439
10006,"St. John's East/St. John's-Est"," 5","Pouch Cove",28,6,33,30,0,97,311
10006,"St. John's East/St. John's-Est"," 6","Flatrock",69,2,79,67,0,217,424
10006,"St. John's East/St. John's-Est"," 7","Flatrock",30,5,32,21,0,88,228
10006,"St. John's East/St. John's-Est"," 8","Flatrock",47,1,60,61,1,170,356
10006,"St. John's East/St. John's-Est"," 9","Flatrock",71,4,64,66,5,210,473
10006,"St. John's East/St. John's-Est"," 10","Logy Bay-Middle Cove-Outer Cove",33,1,49,80,1,164,329
10006,"St. John's East/St. John's-Est"," 11","Logy Bay-Middle Cove-Outer Cove",40,4,83,94,5,226,452
10006,"St. John's East/St. John's-Est"," 12","Logy Bay-Middle Cove-Outer Cove",42,3,45,73,0,163,421
10006,"St. John's East/St. John's-Est"," 13","Logy Bay-Middle Cove-Outer Cove",54,4,72,93,1,224,449
10006,"St. John's East/St. John's-Est"," 14","Logy Bay-Middle Cove-Outer Cove",24,5,35,109,2,175,429
10006,"St. John's East/St. John's-Est"," 15","Torbay",45,9,60,72,0,186,448
10006,"St. John's East/St. John's-Est"," 16","Torbay",34,5,65,70,0,174,440
10006,"St. John's East/St. John's-Est"," 17","Torbay",28,10,67,42,0,147,436
10006,"St. John's East/St. John's-Est"," 18","Torbay",62,6,61,70,1,200,501
10006,"St. John's East/St. John's-Est"," 19","Torbay",33,1,55,66,0,155,463
10006,"St. John's East/St. John's-Est"," 20","Torbay",38,1,77,57,0,173,462
10006,"St. John's East/St. John's-Est"," 21","Torbay",30,3,54,54,0,141,482
10006,"St. John's East/St. John's-Est"," 22","Torbay",51,4,40,111,1,207,486
10006,"St. John's East/St. John's-Est"," 23","Torbay",42,3,33,69,0,147,492
10006,"St. John's East/St. John's-Est"," 24","Torbay",36,2,61,61,0,160,417
10006,"St. John's East/St. John's-Est"," 25","Torbay",40,3,70,61,2,176,462
10006,"St. John's East/St. John's-Est"," 26","Torbay",26,2,38,55,0,121,437
10006,"St. John's East/St. John's-Est"," 27","Torbay",68,9,48,91,0,216,501
10006,"St. John's East/St. John's-Est"," 28","Bauline",27,4,29,37,0,97,211
10006,"St. John's East/St. John's-Est"," 29","Bauline",19,5,38,51,0,113,295
10006,"St. John's East/St. John's-Est"," 30","St. John's",51,1,54,151,1,258,614
10006,"St. John's East/St. John's-Est"," 31","St. John's",42,1,35,79,0,157,450
10006,"St. John's East/St. John's-Est"," 32","St. John's",35,1,61,154,2,253,364
10006,"St. John's East/St. John's-Est"," 33","St. John's",53,2,45,113,0,213,591
10006,"St. John's East/St. John's-Est"," 34","St. John's",Merged with No./Fusionné avec le n°32,,,,,,323
