Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Grandy,Mike Kelloway,Fiona MacLeod,Jana Reddick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Cape Breton--Canso/Cape Breton--Canso"," 1","Petit Étang",10,84,37,20,0,151,275
12001,"Cape Breton--Canso/Cape Breton--Canso"," 2","Belle-Marche",6,55,30,15,1,107,247
12001,"Cape Breton--Canso/Cape Breton--Canso"," 3","Chéticamp",10,114,42,21,0,187,407
12001,"Cape Breton--Canso/Cape Breton--Canso"," 4","Plateau",17,88,61,20,0,186,361
12001,"Cape Breton--Canso/Cape Breton--Canso"," 5","Plateau",8,65,14,12,1,100,198
12001,"Cape Breton--Canso/Cape Breton--Canso"," 6","Donkin",1,34,34,26,2,97,297
12001,"Cape Breton--Canso/Cape Breton--Canso"," 7","Chéticamp",4,104,32,13,0,153,301
12001,"Cape Breton--Canso/Cape Breton--Canso"," 8","Cape Breton",3,99,58,34,2,196,411
12001,"Cape Breton--Canso/Cape Breton--Canso"," 9","Cape Breton",7,26,37,24,1,95,308
12001,"Cape Breton--Canso/Cape Breton--Canso"," 10","Cape Breton",6,55,40,19,0,120,317
12001,"Cape Breton--Canso/Cape Breton--Canso"," 11","Cape Breton",9,56,57,26,0,148,381
12001,"Cape Breton--Canso/Cape Breton--Canso"," 12","Cape Breton",3,52,43,22,1,121,321
12001,"Cape Breton--Canso/Cape Breton--Canso"," 13","Cape Breton",6,41,33,31,2,113,359
12001,"Cape Breton--Canso/Cape Breton--Canso"," 14","Cape Breton",9,83,49,30,0,171,406
12001,"Cape Breton--Canso/Cape Breton--Canso"," 15","Cape Breton",2,78,23,29,1,133,415
12001,"Cape Breton--Canso/Cape Breton--Canso"," 16","Cape Breton",4,60,44,39,3,150,416
12001,"Cape Breton--Canso/Cape Breton--Canso"," 17","Cape Breton",4,65,26,44,1,140,462
12001,"Cape Breton--Canso/Cape Breton--Canso"," 18","Cape Breton",7,66,59,25,2,159,358
12001,"Cape Breton--Canso/Cape Breton--Canso"," 19","Cape Breton",7,92,44,34,2,179,402
12001,"Cape Breton--Canso/Cape Breton--Canso"," 20","Cape Breton",10,88,68,55,0,221,507
12001,"Cape Breton--Canso/Cape Breton--Canso"," 21","Cape Breton",4,73,38,28,2,145,359
12001,"Cape Breton--Canso/Cape Breton--Canso"," 22","Cape Breton",5,79,36,34,1,155,423
12001,"Cape Breton--Canso/Cape Breton--Canso"," 23","Cape Breton",4,73,45,37,0,159,382
12001,"Cape Breton--Canso/Cape Breton--Canso"," 24","Cape Breton",4,64,50,47,1,166,398
12001,"Cape Breton--Canso/Cape Breton--Canso"," 25","Cape Breton",6,66,40,18,5,135,341
12001,"Cape Breton--Canso/Cape Breton--Canso"," 26","Cape Breton",7,119,58,41,0,225,540
12001,"Cape Breton--Canso/Cape Breton--Canso"," 27","Cape Breton",8,58,43,24,1,134,340
12001,"Cape Breton--Canso/Cape Breton--Canso"," 28","Cape Breton",7,60,45,27,0,139,436
12001,"Cape Breton--Canso/Cape Breton--Canso"," 29","Cape Breton",3,60,30,28,0,121,346
12001,"Cape Breton--Canso/Cape Breton--Canso"," 30","Cape Breton",8,56,35,40,0,139,351
12001,"Cape Breton--Canso/Cape Breton--Canso"," 31A","Cape Breton",2,71,31,15,0,119,312
12001,"Cape Breton--Canso/Cape Breton--Canso"," 31B","Cape Breton",5,100,44,24,0,173,429
12001,"Cape Breton--Canso/Cape Breton--Canso"," 32","Cape Breton",3,94,53,49,0,199,531
12001,"Cape Breton--Canso/Cape Breton--Canso"," 33","Cape Breton",5,64,27,35,0,131,440
12001,"Cape Breton--Canso/Cape Breton--Canso"," 34","Port Morien",2,64,49,22,0,137,271
12001,"Cape Breton--Canso/Cape Breton--Canso"," 35","Cape Breton",7,76,45,43,2,173,521
12001,"Cape Breton--Canso/Cape Breton--Canso"," 36","Cape Breton",5,46,47,41,1,140,437
12001,"Cape Breton--Canso/Cape Breton--Canso"," 37","Cape Breton",3,47,33,18,2,103,243
12001,"Cape Breton--Canso/Cape Breton--Canso"," 38","Cape Breton",9,73,40,50,3,175,445
12001,"Cape Breton--Canso/Cape Breton--Canso"," 39","Cape Breton",8,77,40,46,6,177,330
12001,"Cape Breton--Canso/Cape Breton--Canso"," 40","Gardiner Mines",3,63,57,44,0,167,349
12001,"Cape Breton--Canso/Cape Breton--Canso"," 41","Cape Breton",4,61,40,30,3,138,342
12001,"Cape Breton--Canso/Cape Breton--Canso"," 42","Cape Breton",5,86,36,30,5,162,401
12001,"Cape Breton--Canso/Cape Breton--Canso"," 43","Cape Breton",7,78,53,38,2,178,446
12001,"Cape Breton--Canso/Cape Breton--Canso"," 44","Point Cross",6,38,19,12,4,79,213
12001,"Cape Breton--Canso/Cape Breton--Canso"," 45","St. Joseph du Moine",13,47,19,13,3,95,246
12001,"Cape Breton--Canso/Cape Breton--Canso"," 46","Belgiumtown",4,36,40,19,1,100,352
12001,"Cape Breton--Canso/Cape Breton--Canso"," 47","Reserve Mines",2,44,44,29,1,120,298
12001,"Cape Breton--Canso/Cape Breton--Canso"," 48","Reserve Mines",4,63,61,23,0,151,341
12001,"Cape Breton--Canso/Cape Breton--Canso"," 49","Reserve Rows",5,59,34,28,6,132,315
12001,"Cape Breton--Canso/Cape Breton--Canso"," 50","Port Morien",2,70,51,34,1,158,261
12001,"Cape Breton--Canso/Cape Breton--Canso"," 51","Grand Lake Road",9,72,50,43,0,174,354
12001,"Cape Breton--Canso/Cape Breton--Canso"," 52","Kytes Hill",10,94,49,38,1,192,372
12001,"Cape Breton--Canso/Cape Breton--Canso"," 53","Sand Lake",2,44,37,28,1,112,256
12001,"Cape Breton--Canso/Cape Breton--Canso"," 54","Birch Grove",9,59,58,32,3,161,305
12001,"Cape Breton--Canso/Cape Breton--Canso"," 55","Main-à-Dieu",6,56,45,11,1,119,229
12001,"Cape Breton--Canso/Cape Breton--Canso"," 56","Mira Road",6,129,51,39,6,231,435
12001,"Cape Breton--Canso/Cape Breton--Canso"," 57","Mira Road",8,101,57,34,0,200,398
12001,"Cape Breton--Canso/Cape Breton--Canso"," 58","Big Intervale",4,63,67,6,0,140,235
12001,"Cape Breton--Canso/Cape Breton--Canso"," 59","Mira Gut",8,114,108,41,3,274,452
12001,"Cape Breton--Canso/Cape Breton--Canso"," 60","Catalone",8,103,76,22,1,210,440
12001,"Cape Breton--Canso/Cape Breton--Canso"," 61","Hillside",6,107,79,24,2,218,405
12001,"Cape Breton--Canso/Cape Breton--Canso"," 62","Sydney River",4,92,62,42,2,202,467
12001,"Cape Breton--Canso/Cape Breton--Canso"," 63","Sydney River",0,147,44,20,1,212,444
12001,"Cape Breton--Canso/Cape Breton--Canso"," 64","Sydney River",8,103,25,25,2,163,420
12001,"Cape Breton--Canso/Cape Breton--Canso"," 65","Sydney River",2,94,35,21,0,152,403
12001,"Cape Breton--Canso/Cape Breton--Canso"," 66","North East Margaree",18,99,108,33,1,259,411
12001,"Cape Breton--Canso/Cape Breton--Canso"," 67","Belle Côte",4,79,39,13,0,135,233
12001,"Cape Breton--Canso/Cape Breton--Canso"," 68","Margaree Harbour",6,45,27,17,0,95,205
12001,"Cape Breton--Canso/Cape Breton--Canso"," 69","Dutch Brook",14,126,75,42,0,257,484
12001,"Cape Breton--Canso/Cape Breton--Canso"," 70","Margaree",2,47,25,16,0,90,126
12001,"Cape Breton--Canso/Cape Breton--Canso"," 71","Sydney River",7,75,29,14,2,127,345
12001,"Cape Breton--Canso/Cape Breton--Canso"," 72","Howie Centre",8,97,40,27,0,172,432
12001,"Cape Breton--Canso/Cape Breton--Canso"," 73","Howie Centre",5,65,33,33,2,138,412
12001,"Cape Breton--Canso/Cape Breton--Canso"," 74","Bateston",7,90,85,19,1,202,419
12001,"Cape Breton--Canso/Cape Breton--Canso"," 75","Louisbourg",5,32,23,14,1,75,154
12001,"Cape Breton--Canso/Cape Breton--Canso"," 76","Louisbourg",3,73,25,14,0,115,269
12001,"Cape Breton--Canso/Cape Breton--Canso"," 77","Louisbourg",4,72,35,18,2,131,327
12001,"Cape Breton--Canso/Cape Breton--Canso"," 78","Howie Centre",6,82,71,33,1,193,406
12001,"Cape Breton--Canso/Cape Breton--Canso"," 79","Howie Centre",4,84,52,34,2,176,399
12001,"Cape Breton--Canso/Cape Breton--Canso"," 80","Sydney Forks",6,40,23,21,2,92,347
12001,"Cape Breton--Canso/Cape Breton--Canso"," 81","Meadows Road",8,96,55,22,0,181,438
12001,"Cape Breton--Canso/Cape Breton--Canso"," 82","Marion Bridge",8,96,68,30,0,202,382
12001,"Cape Breton--Canso/Cape Breton--Canso"," 83","Trout Brook",3,134,94,40,3,274,518
12001,"Cape Breton--Canso/Cape Breton--Canso"," 84","Margaree Forks",3,54,32,17,0,106,134
12001,"Cape Breton--Canso/Cape Breton--Canso"," 85","East Bay",2,71,39,21,1,134,279
12001,"Cape Breton--Canso/Cape Breton--Canso"," 86","Rear of East Bay",2,82,37,21,0,142,259
12001,"Cape Breton--Canso/Cape Breton--Canso"," 87","Dunvegan",5,69,46,11,0,131,238
12001,"Cape Breton--Canso/Cape Breton--Canso"," 88","Scotsville",9,73,57,19,0,158,266
12001,"Cape Breton--Canso/Cape Breton--Canso"," 89","Inverness",7,47,55,16,1,126,272
12001,"Cape Breton--Canso/Cape Breton--Canso"," 90","Inverness",8,43,55,11,1,118,271
12001,"Cape Breton--Canso/Cape Breton--Canso"," 91","Inverness",4,40,29,8,1,82,204
12001,"Cape Breton--Canso/Cape Breton--Canso"," 92","Gabarus",3,40,50,16,1,110,181
12001,"Cape Breton--Canso/Cape Breton--Canso"," 93","Juniper Mountain",12,66,45,19,3,145,256
12001,"Cape Breton--Canso/Cape Breton--Canso"," 94","Huntington",8,72,51,14,2,147,276
12001,"Cape Breton--Canso/Cape Breton--Canso"," 95","Big Pond",3,45,30,15,0,93,310
12001,"Cape Breton--Canso/Cape Breton--Canso"," 96","Inverness",9,73,82,10,0,174,396
12001,"Cape Breton--Canso/Cape Breton--Canso"," 97","Strathlorne",7,69,83,13,3,175,388
12001,"Cape Breton--Canso/Cape Breton--Canso"," 98","Whycocomagh",6,56,56,17,1,136,347
12001,"Cape Breton--Canso/Cape Breton--Canso"," 99","Stewartdale",7,25,41,27,1,101,306
12001,"Cape Breton--Canso/Cape Breton--Canso"," 100","Glendyer",7,58,48,17,0,130,247
12001,"Cape Breton--Canso/Cape Breton--Canso"," 101","Mabou",8,61,62,14,3,148,235
12001,"Cape Breton--Canso/Cape Breton--Canso"," 102","Brook Village",3,40,55,16,0,114,194
12001,"Cape Breton--Canso/Cape Breton--Canso"," 103","Whycocomagh Reserve",6,53,7,69,0,135,461
12001,"Cape Breton--Canso/Cape Breton--Canso"," 104","Orangedale",37,43,12,6,0,98,190
12001,"Cape Breton--Canso/Cape Breton--Canso"," 105","Framboise",1,12,21,6,1,41,75
12001,"Cape Breton--Canso/Cape Breton--Canso"," 106","Mabou Station",5,74,93,23,2,197,289
12001,"Cape Breton--Canso/Cape Breton--Canso"," 107","Johnstown",11,39,31,19,0,100,188
12001,"Cape Breton--Canso/Cape Breton--Canso"," 108","Valley Mills",4,26,18,10,1,59,134
12001,"Cape Breton--Canso/Cape Breton--Canso"," 109","Blues Mills",8,57,49,7,0,121,227
12001,"Cape Breton--Canso/Cape Breton--Canso"," 110","Port Hood",5,56,48,14,1,124,364
12001,"Cape Breton--Canso/Cape Breton--Canso"," 111","Port Hood",2,73,90,15,7,187,428
12001,"Cape Breton--Canso/Cape Breton--Canso"," 112","Glencoe Station",6,77,63,19,4,169,412
12001,"Cape Breton--Canso/Cape Breton--Canso"," 113","Sampsonville",8,51,79,25,0,163,276
12001,"Cape Breton--Canso/Cape Breton--Canso"," 114","Sampsonville",14,66,65,14,0,159,253
12001,"Cape Breton--Canso/Cape Breton--Canso"," 115","Chapel Island 5",6,51,17,90,1,165,428
12001,"Cape Breton--Canso/Cape Breton--Canso"," 116","Grand River",2,18,35,5,0,60,155
12001,"Cape Breton--Canso/Cape Breton--Canso"," 117","Judique",3,91,91,10,0,195,296
12001,"Cape Breton--Canso/Cape Breton--Canso"," 118","St. Georges Channel",5,85,79,12,0,181,354
12001,"Cape Breton--Canso/Cape Breton--Canso"," 119","Glendale",10,21,38,11,2,82,145
12001,"Cape Breton--Canso/Cape Breton--Canso"," 120","St. Peter's",6,94,70,24,0,194,359
12001,"Cape Breton--Canso/Cape Breton--Canso"," 121","West Bay Road",8,71,69,28,0,176,295
12001,"Cape Breton--Canso/Cape Breton--Canso"," 122","L'Ardoise",6,58,29,22,0,115,304
12001,"Cape Breton--Canso/Cape Breton--Canso"," 123","Lower L'Ardoise",11,43,26,8,0,88,205
12001,"Cape Breton--Canso/Cape Breton--Canso"," 124","Rockdale",6,73,53,14,0,146,365
12001,"Cape Breton--Canso/Cape Breton--Canso"," 125","River Bourgeois",22,59,85,24,2,192,311
12001,"Cape Breton--Canso/Cape Breton--Canso"," 126","River Bourgeois",7,70,52,24,0,153,286
12001,"Cape Breton--Canso/Cape Breton--Canso"," 127","Creignish",8,78,77,27,0,190,371
12001,"Cape Breton--Canso/Cape Breton--Canso"," 128","Cap La Ronde",2,42,51,3,0,98,212
12001,"Cape Breton--Canso/Cape Breton--Canso"," 129","Louisdale",1,77,93,17,1,189,416
12001,"Cape Breton--Canso/Cape Breton--Canso"," 130","Louisdale",5,86,76,15,0,182,359
12001,"Cape Breton--Canso/Cape Breton--Canso"," 131","D'Escousse",17,117,79,26,4,243,443
12001,"Cape Breton--Canso/Cape Breton--Canso"," 132","Sugar Camp",5,51,50,15,4,125,289
12001,"Cape Breton--Canso/Cape Breton--Canso"," 133","Creignish Rear",11,50,73,15,1,150,301
12001,"Cape Breton--Canso/Cape Breton--Canso"," 134","Port Hastings",6,42,61,10,0,119,289
12001,"Cape Breton--Canso/Cape Breton--Canso"," 135","Sampsons Cove",11,38,61,12,0,122,187
12001,"Cape Breton--Canso/Cape Breton--Canso"," 136","Petit-de-Grat",5,74,44,13,1,137,320
12001,"Cape Breton--Canso/Cape Breton--Canso"," 137","Petit-de-Grat",12,50,40,15,2,119,248
12001,"Cape Breton--Canso/Cape Breton--Canso"," 138","Havre Boucher",10,68,86,17,2,183,344
12001,"Cape Breton--Canso/Cape Breton--Canso"," 139","Cape Jack",4,42,46,10,0,102,191
12001,"Cape Breton--Canso/Cape Breton--Canso"," 140","Frankville",3,42,56,19,1,121,254
12001,"Cape Breton--Canso/Cape Breton--Canso"," 141","Havre Boucher",4,80,77,22,2,185,326
12001,"Cape Breton--Canso/Cape Breton--Canso"," 142","Cleveland",9,99,66,25,1,200,390
12001,"Cape Breton--Canso/Cape Breton--Canso"," 143","Cleveland",3,46,51,25,1,126,272
12001,"Cape Breton--Canso/Cape Breton--Canso"," 144","Arichat",11,48,55,15,0,129,368
12001,"Cape Breton--Canso/Cape Breton--Canso"," 145","Port Hawkesbury",5,61,87,19,2,174,402
12001,"Cape Breton--Canso/Cape Breton--Canso"," 146","Port Hawkesbury",6,74,65,27,2,174,416
12001,"Cape Breton--Canso/Cape Breton--Canso"," 147","Port Hawkesbury",5,63,55,37,0,160,400
12001,"Cape Breton--Canso/Cape Breton--Canso"," 148","Port Hawkesbury",5,39,47,12,0,103,381
12001,"Cape Breton--Canso/Cape Breton--Canso"," 149","Port Hawkesbury",12,41,46,19,0,118,311
12001,"Cape Breton--Canso/Cape Breton--Canso"," 150","Janvrin Harbour",7,61,58,9,1,136,296
12001,"Cape Breton--Canso/Cape Breton--Canso"," 151","Port Hawkesbury",10,34,21,17,0,82,254
12001,"Cape Breton--Canso/Cape Breton--Canso"," 152","Port Hawkesbury",3,46,43,26,1,119,329
12001,"Cape Breton--Canso/Cape Breton--Canso"," 153","West Arichat",9,54,45,8,1,117,204
12001,"Cape Breton--Canso/Cape Breton--Canso"," 154","Arichat",11,107,85,19,1,223,426
12001,"Cape Breton--Canso/Cape Breton--Canso"," 155","Pomquet",8,41,35,19,4,107,259
12001,"Cape Breton--Canso/Cape Breton--Canso"," 156","Pomquet",8,38,53,14,1,114,284
12001,"Cape Breton--Canso/Cape Breton--Canso"," 157","Mulgrave",1,36,40,11,0,88,250
12001,"Cape Breton--Canso/Cape Breton--Canso"," 158","Mulgrave",9,57,60,13,1,140,370
12001,"Cape Breton--Canso/Cape Breton--Canso"," 159","Big Tracadie",10,26,53,18,0,107,339
12001,"Cape Breton--Canso/Cape Breton--Canso"," 160","Monastery",15,29,76,21,3,144,359
12001,"Cape Breton--Canso/Cape Breton--Canso"," 161","Hadleyville",2,13,15,4,0,34,117
12001,"Cape Breton--Canso/Cape Breton--Canso"," 162","Tracadie",6,38,78,14,3,139,335
12001,"Cape Breton--Canso/Cape Breton--Canso"," 163","Hazel Hill",3,23,38,11,1,76,192
