Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katie Campbell,Cameron Ells,Andy Fillmore,B. Alexander Hébert,Jo-Ann Roberts,Lisa Roberts,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax/Halifax"," 1","Halifax",Merged with No./Fusionné avec le n°13,,,,,,,,1
12005,"Halifax/Halifax"," 2","Williamswood",0,34,42,3,0,43,0,122,344
12005,"Halifax/Halifax"," 3","Sambro Head",2,53,76,4,6,35,2,178,431
12005,"Halifax/Halifax"," 4","East Pennant",0,26,51,5,4,32,1,119,304
12005,"Halifax/Halifax"," 5","Halifax",1,13,55,10,2,79,0,160,414
12005,"Halifax/Halifax"," 6","Halifax",0,13,48,5,1,55,0,122,391
12005,"Halifax/Halifax"," 7","Halifax",Merged with No./Fusionné avec le n°9,,,,,,,,430
12005,"Halifax/Halifax"," 8","Halifax",1,28,80,7,3,123,0,242,726
12005,"Halifax/Halifax"," 9","Halifax",0,27,88,10,11,187,0,323,548
12005,"Halifax/Halifax"," 10","Halifax",0,12,50,4,4,61,1,132,373
12005,"Halifax/Halifax"," 11","Halifax",0,14,70,1,3,53,0,141,352
12005,"Halifax/Halifax"," 12","Halifax",0,12,69,7,7,67,0,162,368
12005,"Halifax/Halifax"," 13","Halifax",0,18,81,7,1,68,0,175,493
12005,"Halifax/Halifax"," 14","Halifax",0,16,90,6,4,57,1,174,563
12005,"Halifax/Halifax"," 15","Halifax",1,9,70,2,7,52,0,141,391
12005,"Halifax/Halifax"," 16","Halifax",1,18,44,6,2,94,1,166,403
12005,"Halifax/Halifax"," 17","Halifax",6,6,58,3,1,107,1,182,494
12005,"Halifax/Halifax"," 18","Halifax",2,15,55,7,4,94,1,178,466
12005,"Halifax/Halifax"," 19","Halifax",1,5,40,6,1,107,0,160,530
12005,"Halifax/Halifax"," 20","Halifax",2,12,56,0,2,161,0,233,604
12005,"Halifax/Halifax"," 21","Halifax",0,11,41,4,6,82,0,144,328
12005,"Halifax/Halifax"," 22","Halifax",0,11,66,1,3,101,3,185,421
12005,"Halifax/Halifax"," 23","Halifax",2,16,93,9,13,112,0,245,548
12005,"Halifax/Halifax"," 24","Halifax",1,18,79,5,9,105,0,217,468
12005,"Halifax/Halifax"," 25","Halifax",0,23,54,6,2,101,1,187,501
12005,"Halifax/Halifax"," 26","Halifax",0,28,99,6,2,83,0,218,536
