Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivia Dorey,Bernadette Jordan,Rick Perkins,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 1","Upper Tantallon",48,79,72,6,2,207,407
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 2","Upper Tantallon",48,99,73,2,1,223,399
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 3","Upper Tantallon",44,66,34,1,0,145,325
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 4","Upper Tantallon",47,75,58,5,1,186,373
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 5","Head of St. Margarets Bay",40,63,38,8,2,151,380
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 6","Masons Point",41,54,41,3,0,139,353
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 7","Boutiliers Point",51,72,34,4,0,161,419
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 8","Upper Tantallon",41,70,48,5,1,165,382
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 9","Upper Tantallon",21,54,37,5,2,119,303
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 10","Upper Tantallon",35,55,26,4,4,124,391
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 11","Allen Heights",31,74,31,5,0,141,341
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 12","Whynachts Point",33,68,42,5,1,149,406
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 13","Queensland",38,38,27,15,3,121,318
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 14","Boutiliers Point",49,56,38,4,1,148,358
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 15","Black Point",44,81,43,4,3,175,396
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 16","Hubley",42,71,30,4,1,148,415
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 17","Five Island Lake",37,47,32,4,0,120,277
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 18","Lake of the Woods",17,62,34,1,0,114,295
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 19","Hubley",59,95,47,4,3,208,492
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 20","Hubley",33,58,27,3,2,123,363
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 21","Hubley",22,56,35,3,0,116,260
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 22","Goodwood",26,45,45,6,2,124,377
