Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenica Atwin,Andrea Johnson,Brandon Kirby,Nicole O'Byrne,Shawn Oldenburg,June Patterson,Jen Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13003,"Fredericton/Fredericton"," 1","Maugerville",37,52,0,18,16,0,0,0,123,307
13003,"Fredericton/Fredericton"," 2","Noonan",63,88,0,29,24,0,4,2,210,579
13003,"Fredericton/Fredericton"," 3","Burpees Corner",Void/Supprimé,,,,,,,,,
13003,"Fredericton/Fredericton"," 4","Saint Marys",60,92,0,32,40,1,2,3,230,525
13003,"Fredericton/Fredericton"," 5","Lower St. Marys",67,82,3,21,25,0,0,1,199,499
13003,"Fredericton/Fredericton"," 6","Sheffield",76,222,1,25,43,1,4,0,372,673
13003,"Fredericton/Fredericton"," 7","Sheffield",Void/Supprimé,,,,,,,,,
13003,"Fredericton/Fredericton"," 8","Douglas Harbour",85,159,1,18,25,1,0,3,292,473
13003,"Fredericton/Fredericton"," 9","Fredericton",118,109,2,47,35,4,5,0,320,853
13003,"Fredericton/Fredericton"," 10","Fredericton",Void/Supprimé,,,,,,,,,
13003,"Fredericton/Fredericton"," 11","Fredericton",56,51,0,24,23,1,2,1,158,482
13003,"Fredericton/Fredericton"," 12","Devon 30",47,21,3,15,63,0,0,2,151,528
13003,"Fredericton/Fredericton"," 13","Fredericton",76,52,0,29,26,0,2,0,185,523
13003,"Fredericton/Fredericton"," 14","Fredericton",60,52,2,21,17,0,0,2,154,463
13003,"Fredericton/Fredericton"," 15","Fredericton",42,9,1,23,42,1,2,1,121,459
13003,"Fredericton/Fredericton"," 16","Fredericton",78,58,3,42,46,0,1,2,230,773
13003,"Fredericton/Fredericton"," 17","Fredericton",53,51,0,23,21,2,0,0,150,373
13003,"Fredericton/Fredericton"," 18","Fredericton",57,60,2,39,35,0,0,1,194,451
13003,"Fredericton/Fredericton"," 19","Fredericton",58,48,1,21,30,0,1,1,160,390
13003,"Fredericton/Fredericton"," 20","Fredericton",67,65,1,21,17,0,2,1,174,817
