Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Chartrand,Luis Henry Gonzalez Venegas,Dany Goulet,Eric Lacroix,William Legault-Lacasse,Sébastien Lemire,Joël Lirette,Bethany Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 1","Rochebaucourt",3,9,1,3,6,32,0,2,1,57,141
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 2","Saint-Dominique-du-Rosaire",3,27,5,3,40,71,0,7,6,162,358
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 3","Val-Saint-Gilles",2,10,3,1,20,38,0,2,2,78,176
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 4","Berry",1,8,1,2,9,29,0,0,1,51,112
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 5","Saint-Nazaire-de-Berry",3,8,2,4,16,57,0,3,6,99,256
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 6","Normétal",1,14,4,9,32,57,1,1,5,124,262
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 7","Normétal",4,18,2,15,22,70,1,6,4,142,345
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 8","Guyenne",1,5,6,4,9,35,0,0,0,60,124
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 9","Authier-Nord",4,16,4,9,17,59,1,3,0,113,266
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 10","Saint-Vital-de-Clermont",4,23,3,12,20,84,3,8,4,161,363
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 11","Saint-Lambert",2,17,1,8,9,45,0,0,3,85,162
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 12","La Morandière",0,10,4,1,30,35,0,5,0,85,177
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 13","Chazel",0,11,1,4,29,39,1,6,2,93,208
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 14","Saint-Félix-de-Dalquier",6,28,4,4,39,98,2,7,3,191,463
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 15","Saint-Félix-de-Dalquier",3,18,6,4,24,48,0,8,2,113,294
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 16","La Reine",1,24,3,6,32,59,0,4,0,129,250
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 17","Amos",3,32,0,3,47,95,3,13,4,200,534
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 18","Amos",3,18,2,0,28,61,2,3,4,121,366
