Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yves Destroismaisons,Stéphane Lauzon,Marie Louis-Seize,Paul Lynes,Marc Vachon,Michel Welt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 1","Saint-Adolphe-d'Howard",77,51,12,6,8,15,5,174,477
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 2","Saint-Adolphe-d'Howard",41,37,6,0,1,6,0,91,282
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 3","Saint-Adolphe-d'Howard",40,28,6,1,5,4,2,86,296
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 4","Saint-Adolphe-d'Howard",34,31,10,0,3,3,1,82,308
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 5","Saint-Adolphe-d'Howard",60,44,10,5,3,10,4,136,424
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 6","Saint-Adolphe-d'Howard",67,38,10,1,4,5,5,130,407
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 7","Saint-Adolphe-d'Howard",43,22,4,1,5,20,1,96,290
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 8","Saint-Adolphe-d'Howard",59,37,8,0,4,9,2,119,404
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 9","Saint-Adolphe-d'Howard",42,38,8,5,10,12,2,117,329
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 10","Morin-Heights",58,74,20,1,8,14,2,177,463
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 11","Morin-Heights",64,79,10,1,6,8,5,173,498
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 12","Morin-Heights",52,65,29,5,6,16,5,178,442
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 13","Morin-Heights",41,34,14,1,8,17,1,116,324
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 14","Morin-Heights",38,48,17,0,9,18,2,132,429
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 15","Morin-Heights",39,27,14,0,11,2,2,95,292
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 16","Morin-Heights",36,71,6,1,8,17,2,141,437
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 17","Morin-Heights",60,65,25,1,8,26,5,190,529
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 18","Lac-des-Plages",81,60,28,2,6,7,1,185,483
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 19","Duhamel",91,65,20,1,7,8,2,194,419
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 20","Morin-Heights",59,53,18,1,2,11,1,145,401
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 21","Morin-Heights",56,55,13,3,11,18,1,157,369
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 22","Lac-des-Seize-Îles",26,32,12,3,4,2,3,82,226
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 23","Mille-Isles",53,51,18,3,12,16,1,154,294
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 24","Mille-Isles",35,43,9,8,6,13,0,114,260
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 25","Mille-Isles",106,41,15,4,10,10,1,187,432
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 26","Mille-Isles",92,40,26,4,19,6,8,195,421
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 27","Saint-Émile-de-Suffolk",25,17,9,3,4,5,4,67,191
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 28","Saint-Émile-de-Suffolk",35,25,10,1,4,0,1,76,210
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 29","Boileau",51,58,10,0,2,6,3,130,286
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 30","Montfort",43,56,22,0,10,18,1,150,428
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 31","Lac-des-Seize-Îles",54,41,9,7,2,17,5,135,437
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 32","Saint-Michel-de-Wentworth",48,27,12,0,10,7,3,107,389
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 33","Lakeview",27,82,16,0,5,5,2,137,290
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 34","Harrington--Lost River",44,63,23,1,6,6,2,145,270
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 35","Louisa",50,70,22,2,4,11,0,159,271
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 36","Louisa",31,70,19,1,4,20,1,146,254
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 37","Montpellier",68,45,19,1,4,3,3,143,265
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 38","Montpellier",69,50,11,2,5,6,2,145,300
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 39","Montpellier",60,67,23,5,6,10,3,174,393
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 40","Lac-Simon",65,43,6,3,16,2,2,137,455
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 41","Chénéville",48,32,13,1,12,4,0,110,369
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 42","Lac-Simon",68,47,23,1,6,6,0,151,381
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 43","Chénéville",39,33,14,3,10,3,4,106,353
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 44","Namur",33,33,17,3,11,5,1,103,273
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 45","Namur",21,31,7,3,9,5,1,77,228
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 46","Domaine-Grenon",62,53,26,7,10,19,1,178,488
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 47","Lakefield--Gore",40,48,12,3,8,12,4,127,414
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 48","Lakefield--Gore",65,41,15,4,13,14,2,154,487
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 49","Lakefield--Gore",47,40,19,1,13,8,3,131,421
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 50","Lachute",28,35,16,0,12,10,1,102,368
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 51","Harrington",29,57,16,4,5,7,0,118,242
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 52","Grenville-sur-la-Rouge",24,55,34,1,12,11,2,139,353
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 53","Brownsburg-Chatham",41,57,19,2,15,13,0,147,506
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 54","Brownsburg-Chatham",82,46,26,1,11,13,1,180,484
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 55","Brownsburg-Chatham",55,37,25,2,21,7,5,152,430
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 56","Brownsburg-Chatham",63,41,20,6,24,16,3,173,461
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 57","Brownsburg-Chatham",49,38,16,3,11,14,3,134,367
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 58","Brownsburg-Chatham",48,32,14,1,9,8,3,115,426
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 59","Brownsburg-Chatham",41,30,15,3,15,15,3,122,398
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 60","Brownsburg-Chatham",40,24,21,1,13,11,3,113,419
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 61","Brownsburg-Chatham",44,31,24,0,5,17,1,122,448
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 62","Notre-Dame-de-la-Paix",63,53,30,4,17,8,1,176,327
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 63","Notre-Dame-de-la-Paix",31,43,10,0,7,4,1,96,231
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 64","Bowman",20,27,10,2,2,2,0,63,249
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 65","Val-des-Bois",21,39,18,4,5,4,3,94,313
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 66","Val-des-Bois",38,70,21,0,12,3,2,146,465
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 67","Lachute",63,63,21,3,14,18,5,187,447
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 68","Lachute",32,35,17,2,14,10,2,112,366
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 69","Lachute",42,31,8,2,8,11,0,102,386
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 70","Lachute",39,38,15,3,8,6,0,109,437
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 71","Lachute",78,82,22,0,6,11,6,205,642
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 72","Lachute",42,26,32,1,9,5,1,116,366
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 73","Notre-Dame-de-Bon-Secours-Partie-Nord",40,40,5,0,7,5,0,97,247
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 74","Montebello",36,48,9,1,4,8,0,106,279
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 75","Montebello",42,34,6,4,8,5,3,102,282
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 76","Montebello",35,41,9,2,2,6,2,97,254
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 77","Bowman",36,51,23,2,11,7,4,134,334
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 78A","Lachute",33,41,12,1,8,7,2,104,272
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 78B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°513,,,,,,,,66
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 79","Lachute",65,45,21,1,13,6,1,152,463
