Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ardo Dia,Emmanuel Dubourg,Michel Lavoie,Nathe Perrone,Nicholas Ponari,Michel Prairie,Ilyasa Sykes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Bourassa/Bourassa"," 1A","Mobile poll/Bureau itinérant",14,41,1,4,0,2,4,4,70,186
24015,"Bourassa/Bourassa"," 1B","Montréal",45,96,1,1,6,0,12,2,163,241
24015,"Bourassa/Bourassa"," 2A","Montréal",46,77,3,2,4,1,12,7,152,202
24015,"Bourassa/Bourassa"," 2B","Mobile poll/Bureau itinérant",5,18,1,0,0,0,3,2,29,76
24015,"Bourassa/Bourassa"," 2C","Montréal",20,51,3,1,0,1,3,7,86,136
24015,"Bourassa/Bourassa"," 2D","Montréal",9,52,1,1,2,0,4,9,78,132
24015,"Bourassa/Bourassa"," 3A","Montréal",28,54,3,2,9,1,21,7,125,141
24015,"Bourassa/Bourassa"," 3B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°510,,,,,,,,,98
24015,"Bourassa/Bourassa"," 4A","Montréal",Merged with No./Fusionné avec le n°3A,,,,,,,,,274
24015,"Bourassa/Bourassa"," 4B","Montréal",65,94,3,0,4,0,8,6,180,240
24015,"Bourassa/Bourassa"," 5A","Montréal",Merged with No./Fusionné avec le n°3A,,,,,,,,,89
24015,"Bourassa/Bourassa"," 5B","Montréal",49,72,2,1,1,0,10,5,140,182
24015,"Bourassa/Bourassa"," 6","Montréal",18,111,12,0,10,1,14,17,183,365
24015,"Bourassa/Bourassa"," 7","Montréal",11,71,1,2,5,1,7,5,103,366
24015,"Bourassa/Bourassa"," 8","Montréal",Merged with No./Fusionné avec le n°6,,,,,,,,,335
24015,"Bourassa/Bourassa"," 9","Montréal",19,95,6,1,32,0,9,3,165,534
24015,"Bourassa/Bourassa"," 10","Montréal",6,59,3,1,3,2,4,7,85,388
24015,"Bourassa/Bourassa"," 11","Montréal",10,69,7,1,10,2,6,6,111,351
24015,"Bourassa/Bourassa"," 12","Montréal",28,87,2,2,8,0,7,2,136,350
24015,"Bourassa/Bourassa"," 13","Montréal",20,124,6,4,10,1,16,5,186,452
24015,"Bourassa/Bourassa"," 14","Montréal",16,68,1,3,6,0,8,0,102,326
24015,"Bourassa/Bourassa"," 15","Montréal",13,64,5,1,3,0,9,1,96,338
24015,"Bourassa/Bourassa"," 16","Montréal",22,68,1,2,4,0,3,4,104,342
24015,"Bourassa/Bourassa"," 17","Montréal",5,58,2,0,10,0,3,1,79,319
24015,"Bourassa/Bourassa"," 18","Montréal",23,124,8,2,10,1,11,6,185,413
24015,"Bourassa/Bourassa"," 19","Montréal",29,70,7,1,12,0,1,0,120,406
24015,"Bourassa/Bourassa"," 20","Montréal",26,94,4,2,6,1,8,1,142,387
24015,"Bourassa/Bourassa"," 21","Montréal",21,120,17,5,17,0,31,3,214,400
24015,"Bourassa/Bourassa"," 22","Montréal",19,97,15,1,22,0,6,7,167,472
24015,"Bourassa/Bourassa"," 23","Montréal",11,65,3,3,5,0,6,1,94,396
24015,"Bourassa/Bourassa"," 24","Montréal",5,95,3,0,8,0,2,3,116,460
24015,"Bourassa/Bourassa"," 25","Montréal",10,87,6,2,10,0,17,0,132,340
24015,"Bourassa/Bourassa"," 26","Montréal",24,94,7,2,19,0,17,1,164,484
24015,"Bourassa/Bourassa"," 27","Montréal",7,90,7,1,12,1,15,3,136,335
24015,"Bourassa/Bourassa"," 28","Montréal",24,104,12,3,16,1,10,4,174,386
