Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marilou Alarie,Michelle Corcos,Lawrence Cotton,Dany Desjardins,Vincent Duhamel,Susanne Lefebvre,Andrew Panton,Maryse Richard,Alexis Stogowski,Pascale St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Brome--Missisquoi/Brome--Missisquoi"," 1","Orford",79,2,0,0,21,0,12,2,12,62,4,194,503
24016,"Brome--Missisquoi/Brome--Missisquoi"," 2","Orford",84,3,0,2,16,1,18,1,4,78,2,209,511
24016,"Brome--Missisquoi/Brome--Missisquoi"," 3","Orford",73,7,1,2,33,2,15,2,5,51,2,193,453
24016,"Brome--Missisquoi/Brome--Missisquoi"," 4","Orford",56,6,0,0,18,0,9,4,5,47,2,147,363
24016,"Brome--Missisquoi/Brome--Missisquoi"," 5","Orford",53,0,0,0,43,0,9,0,5,50,1,161,462
24016,"Brome--Missisquoi/Brome--Missisquoi"," 6","Orford",78,3,0,0,28,1,19,5,6,47,3,190,513
24016,"Brome--Missisquoi/Brome--Missisquoi"," 7","Orford",79,3,1,0,29,0,25,4,5,68,2,216,455
24016,"Brome--Missisquoi/Brome--Missisquoi"," 8","Orford",33,1,0,0,6,0,8,2,2,40,0,92,311
24016,"Brome--Missisquoi/Brome--Missisquoi"," 9","Orford",87,3,0,0,19,0,12,3,1,73,1,199,422
24016,"Brome--Missisquoi/Brome--Missisquoi"," 10A","Eastman",69,11,0,1,10,2,8,5,7,45,2,160,305
24016,"Brome--Missisquoi/Brome--Missisquoi"," 10B","Eastman",68,2,0,0,11,0,12,2,4,48,0,147,300
24016,"Brome--Missisquoi/Brome--Missisquoi"," 11","Eastman",144,12,1,0,27,0,16,3,12,104,3,322,539
24016,"Brome--Missisquoi/Brome--Missisquoi"," 12","Eastman",87,11,1,0,43,0,14,3,6,74,2,241,480
24016,"Brome--Missisquoi/Brome--Missisquoi"," 13","Eastman",92,5,0,0,20,2,14,3,14,71,1,222,372
24016,"Brome--Missisquoi/Brome--Missisquoi"," 14","Magog",45,1,1,1,7,0,5,1,0,43,1,105,292
24016,"Brome--Missisquoi/Brome--Missisquoi"," 15","Magog",55,5,0,1,29,0,6,2,6,34,6,144,408
24016,"Brome--Missisquoi/Brome--Missisquoi"," 16","Magog",52,1,0,0,35,0,12,1,3,40,5,149,366
24016,"Brome--Missisquoi/Brome--Missisquoi"," 17","Magog",49,3,0,1,36,0,6,1,5,24,1,126,403
24016,"Brome--Missisquoi/Brome--Missisquoi"," 18","Magog",76,3,0,1,25,0,5,2,4,47,6,169,433
24016,"Brome--Missisquoi/Brome--Missisquoi"," 19","Magog",48,6,2,0,31,0,12,4,6,43,0,152,381
24016,"Brome--Missisquoi/Brome--Missisquoi"," 20","Magog",71,1,0,2,20,1,9,1,8,37,0,150,367
24016,"Brome--Missisquoi/Brome--Missisquoi"," 21","Magog",86,2,0,0,48,0,25,2,11,48,1,223,463
24016,"Brome--Missisquoi/Brome--Missisquoi"," 22","Magog",72,1,0,0,44,0,11,8,2,64,4,206,432
24016,"Brome--Missisquoi/Brome--Missisquoi"," 23","Magog",101,6,1,2,37,0,23,4,4,66,6,250,554
24016,"Brome--Missisquoi/Brome--Missisquoi"," 24","Magog",29,1,0,0,10,0,7,3,4,35,1,90,270
24016,"Brome--Missisquoi/Brome--Missisquoi"," 25","Magog",48,5,1,0,18,0,8,3,3,28,4,118,395
24016,"Brome--Missisquoi/Brome--Missisquoi"," 26","Magog",60,0,0,0,29,0,14,5,7,52,2,169,532
24016,"Brome--Missisquoi/Brome--Missisquoi"," 27","Stukely-Sud",87,5,0,1,25,0,14,4,7,38,1,182,346
24016,"Brome--Missisquoi/Brome--Missisquoi"," 28","Stukely-Sud",37,4,0,2,36,0,8,6,16,44,3,156,301
24016,"Brome--Missisquoi/Brome--Missisquoi"," 29","Stukely-Sud",72,8,0,0,23,0,12,9,17,54,1,196,333
24016,"Brome--Missisquoi/Brome--Missisquoi"," 30","Magog",78,6,0,1,26,0,12,1,9,49,1,183,353
24016,"Brome--Missisquoi/Brome--Missisquoi"," 31","Magog",43,1,1,1,20,0,12,5,8,50,3,144,394
24016,"Brome--Missisquoi/Brome--Missisquoi"," 32","Magog",27,2,0,0,29,1,3,0,1,28,0,91,298
24016,"Brome--Missisquoi/Brome--Missisquoi"," 33","Magog",70,0,1,0,32,0,14,1,5,54,4,181,375
24016,"Brome--Missisquoi/Brome--Missisquoi"," 34","Magog",41,5,0,0,22,1,7,4,6,51,3,140,354
24016,"Brome--Missisquoi/Brome--Missisquoi"," 35","Magog",45,6,2,0,25,0,11,1,10,34,5,139,444
24016,"Brome--Missisquoi/Brome--Missisquoi"," 36","Magog",51,1,0,1,20,0,7,3,1,44,1,129,471
24016,"Brome--Missisquoi/Brome--Missisquoi"," 37","Magog",49,5,0,0,25,0,10,0,3,38,2,132,401
24016,"Brome--Missisquoi/Brome--Missisquoi"," 38A","Magog",36,0,0,1,20,0,9,0,1,49,2,118,320
