Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Benoit,Pierre Bournaki,Marc Gagnon,André Lafrance,Patrick O'Hara,Frédéric Olivier,Brenda Shanahan,Hannah Wolker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 1","Châteauguay",5,16,2,1,57,7,60,18,4,170,422
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 2","Châteauguay",10,17,1,1,70,6,41,14,6,166,413
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 3","Châteauguay",15,22,0,1,39,2,98,18,1,196,450
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 4","Châteauguay",9,21,0,1,37,2,124,15,2,211,425
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 5","Châteauguay",4,16,0,1,38,1,76,26,8,170,374
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 6","Châteauguay",19,31,2,0,46,8,59,19,0,184,433
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 7","Châteauguay",2,27,0,1,26,0,77,22,4,159,399
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 8","Châteauguay",7,22,0,0,37,5,96,26,3,196,480
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 9","Châteauguay",9,11,1,0,41,1,80,14,2,159,443
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 10","Châteauguay",4,26,0,0,23,6,92,22,1,174,371
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 11","Châteauguay",13,26,1,4,37,3,134,20,4,242,462
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 12","Châteauguay",10,15,0,0,21,4,67,36,1,154,335
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 13","Châteauguay",14,26,2,1,34,3,113,18,1,212,507
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 14","Châteauguay",9,21,0,0,30,3,96,19,3,181,401
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 15","Châteauguay",6,24,1,2,36,7,115,27,6,224,466
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 16","Châteauguay",5,19,0,2,31,2,80,5,0,144,357
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 17","Châteauguay",11,11,1,1,53,6,78,19,2,182,446
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 18","Châteauguay",8,13,0,0,33,3,60,9,4,130,337
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 19","Châteauguay",8,14,0,0,31,3,73,19,4,152,359
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 20","Châteauguay",2,16,2,1,34,0,76,22,1,154,388
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 21","Châteauguay",11,21,1,3,61,7,119,27,4,254,770
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 22","Châteauguay",9,16,0,1,30,3,84,17,2,162,372
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 23","Châteauguay",7,10,2,0,29,0,53,12,4,117,393
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 24","Châteauguay",5,13,1,0,31,1,55,12,2,120,269
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 25","Châteauguay",7,11,0,1,33,3,52,21,3,131,370
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 26","Châteauguay",5,12,0,1,24,3,66,36,2,149,432
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 27","Châteauguay",6,12,0,1,17,1,38,16,1,92,293
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 28","Châteauguay",11,15,3,0,46,4,46,22,6,153,440
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 29","Châteauguay",9,25,0,0,45,5,61,24,2,171,390
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 30","Châteauguay",4,24,0,3,43,2,98,34,1,209,435
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 31","Châteauguay",8,8,1,0,25,1,57,14,2,116,272
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 32","Châteauguay",5,17,0,2,31,1,74,22,4,156,323
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 33","Châteauguay",8,18,3,2,53,3,76,16,6,185,475
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 34","Châteauguay",17,9,1,0,77,8,59,19,6,196,414
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 35","Châteauguay",10,23,1,2,92,6,39,26,6,205,416
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 36A","Châteauguay",11,12,2,0,79,4,59,15,3,185,418
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 36B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,,14
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 37","Châteauguay",8,16,2,1,52,1,56,15,0,151,381
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 38","Châteauguay",24,14,2,3,82,2,60,18,2,207,461
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 39","Châteauguay",4,12,2,0,67,1,47,20,2,155,373
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 40","Châteauguay",10,18,1,1,55,1,66,16,2,170,434
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 41","Châteauguay",8,11,1,1,52,5,60,13,4,155,346
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 42","Châteauguay",5,15,1,1,64,0,87,13,3,189,380
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 43","Châteauguay",8,29,0,0,55,7,53,24,3,179,445
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 44","Châteauguay",5,7,1,0,36,2,52,9,6,118,386
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 45","Châteauguay",6,22,0,3,37,4,77,16,3,168,358
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 46","Châteauguay",11,18,0,2,49,2,100,16,3,201,451
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 47","Châteauguay",7,11,0,2,36,3,85,18,4,166,439
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 48","Châteauguay",5,14,0,0,30,3,67,14,3,136,317
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 49","Châteauguay",9,25,0,2,45,1,81,28,4,195,472
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 50","Châteauguay",16,20,4,0,51,4,100,19,2,216,431
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 51","Châteauguay",6,24,1,0,64,2,95,17,5,214,459
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 52","Châteauguay",12,17,2,3,35,4,66,19,1,159,389
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 53","Châteauguay",6,20,0,0,48,4,87,15,3,183,426
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 54","Châteauguay",11,32,0,4,70,4,89,11,3,224,512
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 55","Châteauguay",6,21,1,2,54,4,76,21,2,187,505
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 56","Châteauguay",13,9,0,3,74,1,92,28,6,226,460
24021,"Châteauguay--Lacolle/Châteauguay--Lacolle"," 57","Châteauguay",10,12,0,1,40,4,98,17,4,186,420
