Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jude Bazelais,Anju Dhillon,Cloé Rose Jenneau,Laura Mariani,Fabiola Ngamaleu Teumeni,Michael Patterson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 1A","Montréal",9,106,45,1,2,1,9,173,280
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 1B","Montréal",15,49,6,0,16,8,2,96,205
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 2","Montreal",Void/Supprimé,,,,,,,,
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 3","Montréal",43,95,30,7,27,3,2,207,652
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 4","Montréal",14,37,8,1,8,4,0,72,248
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 5A","Montréal",5,58,47,1,5,4,14,134,164
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 5B","Montréal",Merged with No./Fusionné avec le n°1B,,,,,,,,121
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 6","Montréal",16,55,12,3,14,11,1,112,377
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 7","Montréal",14,90,18,6,31,16,1,176,575
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 8","Montréal",24,82,14,3,21,8,2,154,526
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 9","Montréal",37,110,13,1,19,4,2,186,529
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 10","Montréal",16,85,15,4,21,4,0,145,329
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 11","Montréal",20,93,12,2,10,7,0,144,383
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 12","Montréal",25,80,11,10,40,8,1,175,421
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 13","Montréal",10,67,10,6,28,5,2,128,386
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 14","Montréal",19,42,21,1,10,8,0,101,297
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 15","Montréal",28,126,16,2,17,14,5,208,466
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 16","Montréal",13,67,34,3,22,13,5,157,398
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 17","Montréal",14,49,34,10,25,13,2,147,405
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 18","Montréal",16,61,31,2,32,10,5,157,398
24024,"Dorval--Lachine--LaSalle/Dorval--Lachine--LaSalle"," 19","Montréal",13,44,19,2,12,4,4,98,315
