Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aime Calle Cabrera,Christine Dandenault,Marc-André Doucet-Beauchamp,Zachary Lavarenne,Simon Marchand,Soraya Martinez Ferrada,Michelle Paquette,Catheryn Roy-Goyette,Alan Smithee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24028,"Hochelaga/Hochelaga"," 1","Montréal",11,0,0,1,38,56,1,21,1,2,131,379
24028,"Hochelaga/Hochelaga"," 2","Montréal",5,0,4,2,37,43,0,30,0,2,123,344
24028,"Hochelaga/Hochelaga"," 3","Montréal",11,0,3,4,60,105,2,14,1,6,206,381
24028,"Hochelaga/Hochelaga"," 4","Montréal",9,1,2,0,37,70,0,22,0,7,148,359
24028,"Hochelaga/Hochelaga"," 5","Montréal",14,0,9,3,77,136,1,19,0,7,266,419
24028,"Hochelaga/Hochelaga"," 6","Montréal",12,0,1,3,46,67,0,16,0,2,147,358
24028,"Hochelaga/Hochelaga"," 7","Montréal",8,0,6,4,34,139,0,12,0,7,210,448
24028,"Hochelaga/Hochelaga"," 8","Montréal",13,0,4,2,64,88,0,23,0,0,194,341
24028,"Hochelaga/Hochelaga"," 9","Montréal",12,0,6,3,69,92,0,29,0,2,213,394
24028,"Hochelaga/Hochelaga"," 10","Montréal",15,0,1,3,49,82,2,17,0,0,169,332
24028,"Hochelaga/Hochelaga"," 11","Montréal",11,0,3,2,41,71,1,35,2,2,168,428
24028,"Hochelaga/Hochelaga"," 12","Montréal",9,0,3,0,44,71,0,31,1,0,159,392
24028,"Hochelaga/Hochelaga"," 13","Montréal",10,0,4,1,50,67,0,22,0,2,156,430
24028,"Hochelaga/Hochelaga"," 14","Montréal",23,0,1,2,11,101,0,15,0,1,154,403
24028,"Hochelaga/Hochelaga"," 15","Montréal",18,0,6,1,18,141,1,16,2,2,205,552
24028,"Hochelaga/Hochelaga"," 16","Montréal",13,0,10,4,54,90,0,21,0,0,192,441
24028,"Hochelaga/Hochelaga"," 17","Montréal",17,0,6,1,29,98,0,28,0,4,183,431
24028,"Hochelaga/Hochelaga"," 18","Montréal",12,0,2,3,32,82,0,5,0,5,141,377
24028,"Hochelaga/Hochelaga"," 19","Montréal",9,1,3,1,15,73,0,18,0,2,122,371
24028,"Hochelaga/Hochelaga"," 20","Montréal",14,0,6,0,31,84,0,10,0,5,150,472
24028,"Hochelaga/Hochelaga"," 21","Montréal",14,0,1,2,32,46,0,7,0,2,104,447
24028,"Hochelaga/Hochelaga"," 22","Montréal",9,0,2,2,21,74,0,28,0,2,138,377
24028,"Hochelaga/Hochelaga"," 23","Montréal",11,0,2,3,25,63,0,5,0,1,110,422
24028,"Hochelaga/Hochelaga"," 24","Montréal",9,0,5,1,43,93,1,16,1,3,172,370
24028,"Hochelaga/Hochelaga"," 25","Montréal",12,0,5,5,71,85,1,25,1,4,209,392
24028,"Hochelaga/Hochelaga"," 26","Montréal",4,1,4,2,53,82,0,22,0,5,173,393
24028,"Hochelaga/Hochelaga"," 27","Montréal",13,0,3,4,42,69,0,36,1,1,169,332
24028,"Hochelaga/Hochelaga"," 28","Montréal",16,0,3,1,38,101,0,22,1,3,185,342
24028,"Hochelaga/Hochelaga"," 29","Montréal",12,0,4,4,21,107,0,14,0,4,166,396
24028,"Hochelaga/Hochelaga"," 30","Montréal",7,0,2,4,31,62,0,25,0,4,135,335
24028,"Hochelaga/Hochelaga"," 31","Montréal",13,1,4,4,47,76,0,22,2,0,169,412
24028,"Hochelaga/Hochelaga"," 32","Montréal",12,0,9,5,45,81,0,34,2,5,193,425
24028,"Hochelaga/Hochelaga"," 33","Montréal",6,0,4,2,38,69,1,9,0,0,129,319
24028,"Hochelaga/Hochelaga"," 34","Montréal",10,1,6,6,62,103,1,31,0,2,222,507
24028,"Hochelaga/Hochelaga"," 35","Montréal",12,1,4,5,36,54,1,19,1,6,139,411
24028,"Hochelaga/Hochelaga"," 36","Montréal",12,0,11,8,79,66,0,27,1,3,207,446
24028,"Hochelaga/Hochelaga"," 37","Montréal",6,1,6,7,72,83,1,30,0,2,208,409
24028,"Hochelaga/Hochelaga"," 38","Montréal",8,0,4,1,84,71,0,24,0,5,197,329
24028,"Hochelaga/Hochelaga"," 39","Montréal",13,1,3,3,53,71,0,25,0,1,170,328
24028,"Hochelaga/Hochelaga"," 40","Montréal",13,1,5,6,73,73,0,28,0,3,202,419
24028,"Hochelaga/Hochelaga"," 41","Montréal",17,0,8,1,55,97,0,25,1,3,207,383
24028,"Hochelaga/Hochelaga"," 42","Montréal",15,1,4,2,69,98,1,25,0,2,217,419
24028,"Hochelaga/Hochelaga"," 43","Montréal",12,0,7,4,75,93,1,22,0,3,217,373
24028,"Hochelaga/Hochelaga"," 44","Montréal",14,2,3,4,69,76,0,27,0,7,202,353
24028,"Hochelaga/Hochelaga"," 45","Montréal",19,1,9,5,80,107,0,27,1,3,252,434
24028,"Hochelaga/Hochelaga"," 46","Montréal",7,0,3,2,74,66,0,38,1,1,192,400
24028,"Hochelaga/Hochelaga"," 47","Montréal",13,0,5,4,78,132,1,25,2,3,263,486
24028,"Hochelaga/Hochelaga"," 48","Montréal",18,0,1,2,92,97,0,11,0,2,223,493
24028,"Hochelaga/Hochelaga"," 49","Montréal",13,0,4,4,68,90,0,40,3,1,223,418
24028,"Hochelaga/Hochelaga"," 50","Montréal",11,0,10,4,98,74,0,46,1,2,246,457
24028,"Hochelaga/Hochelaga"," 51","Montréal",4,1,2,5,79,62,0,44,1,0,198,368
24028,"Hochelaga/Hochelaga"," 52","Montréal",8,0,9,8,79,91,0,51,2,5,253,516
24028,"Hochelaga/Hochelaga"," 53","Montréal",8,0,10,3,77,63,0,31,0,2,194,368
24028,"Hochelaga/Hochelaga"," 54","Montréal",7,0,3,1,70,56,1,25,1,2,166,330
24028,"Hochelaga/Hochelaga"," 55","Montréal",17,1,3,1,20,120,1,13,4,2,182,419
24028,"Hochelaga/Hochelaga"," 56","Montréal",7,0,2,0,26,67,1,11,0,3,117,373
24028,"Hochelaga/Hochelaga"," 57","Montréal",9,0,12,6,47,90,0,34,1,4,203,498
24028,"Hochelaga/Hochelaga"," 58","Montréal",23,0,4,4,57,84,0,35,0,2,209,370
24028,"Hochelaga/Hochelaga"," 59","Montréal",5,0,3,4,64,66,0,33,2,6,183,431
24028,"Hochelaga/Hochelaga"," 60","Montréal",10,0,0,2,33,46,0,6,1,1,99,412
24028,"Hochelaga/Hochelaga"," 61","Montréal",3,0,3,1,38,55,0,20,0,1,121,368
24028,"Hochelaga/Hochelaga"," 62","Montréal",20,1,4,5,70,101,1,35,3,2,242,434
24028,"Hochelaga/Hochelaga"," 63","Montréal",8,0,10,0,53,91,1,26,3,2,194,344
24028,"Hochelaga/Hochelaga"," 64","Montréal",8,0,1,2,63,62,0,32,1,6,175,319
24028,"Hochelaga/Hochelaga"," 65","Montréal",6,0,3,5,72,80,0,35,3,5,209,399
24028,"Hochelaga/Hochelaga"," 66","Montréal",10,1,10,2,38,53,1,20,1,7,143,506
24028,"Hochelaga/Hochelaga"," 67","Montréal",3,0,12,3,55,38,0,46,0,2,159,498
24028,"Hochelaga/Hochelaga"," 68","Montréal",20,0,4,5,47,97,0,25,1,4,203,379
24028,"Hochelaga/Hochelaga"," 69","Montréal",8,1,8,5,51,113,0,33,0,3,222,450
24028,"Hochelaga/Hochelaga"," 70","Montréal",10,1,3,2,41,98,0,31,0,5,191,416
24028,"Hochelaga/Hochelaga"," 71","Montréal",12,0,7,2,38,76,0,28,0,3,166,370
24028,"Hochelaga/Hochelaga"," 72","Montréal",14,0,7,7,54,83,1,21,0,3,190,461
24028,"Hochelaga/Hochelaga"," 73","Montréal",17,0,13,4,78,72,3,31,1,4,223,460
24028,"Hochelaga/Hochelaga"," 74","Montréal",6,0,11,1,47,82,0,33,0,3,183,428
24028,"Hochelaga/Hochelaga"," 75","Montréal",7,0,2,3,42,62,0,25,0,3,144,326
24028,"Hochelaga/Hochelaga"," 76","Montréal",11,1,4,4,51,61,0,19,1,0,152,373
24028,"Hochelaga/Hochelaga"," 77","Montréal",10,0,3,1,53,58,0,25,0,1,151,350
24028,"Hochelaga/Hochelaga"," 78","Montréal",9,0,5,6,47,40,0,26,0,1,134,419
24028,"Hochelaga/Hochelaga"," 79","Montréal",3,0,2,2,39,49,0,27,1,2,125,348
24028,"Hochelaga/Hochelaga"," 80","Montréal",10,1,1,1,39,38,0,26,1,0,117,352
24028,"Hochelaga/Hochelaga"," 81","Montréal",1,0,2,2,31,49,0,38,0,1,124,363
24028,"Hochelaga/Hochelaga"," 82","Montréal",3,0,4,4,5,62,0,15,0,4,97,316
24028,"Hochelaga/Hochelaga"," 83","Montréal",9,0,3,2,57,76,0,46,0,1,194,506
24028,"Hochelaga/Hochelaga"," 84","Montréal",9,2,6,5,44,51,1,30,5,5,158,402
24028,"Hochelaga/Hochelaga"," 85","Montréal",5,1,3,6,22,46,0,50,1,1,135,438
24028,"Hochelaga/Hochelaga"," 86","Montréal",1,2,3,3,37,60,0,45,0,4,155,439
24028,"Hochelaga/Hochelaga"," 87","Montréal",12,0,1,2,42,68,0,20,0,1,146,449
24028,"Hochelaga/Hochelaga"," 88","Montréal",5,0,2,2,41,32,0,38,1,4,125,410
24028,"Hochelaga/Hochelaga"," 89","Montréal",4,0,0,5,34,32,0,37,1,3,116,356
24028,"Hochelaga/Hochelaga"," 90","Montréal",9,0,1,3,51,65,2,40,2,6,179,349
24028,"Hochelaga/Hochelaga"," 91","Montréal",6,0,2,3,82,82,1,41,1,0,218,391
24028,"Hochelaga/Hochelaga"," 92","Montréal",16,1,6,3,58,83,1,40,0,2,210,428
24028,"Hochelaga/Hochelaga"," 93","Montréal",6,0,6,2,39,82,0,40,2,3,180,482
24028,"Hochelaga/Hochelaga"," 94","Montréal",13,0,8,9,59,58,0,26,1,2,176,472
24028,"Hochelaga/Hochelaga"," 95","Montréal",5,1,5,4,39,69,0,25,0,2,150,444
24028,"Hochelaga/Hochelaga"," 96","Montréal",12,0,0,5,82,102,0,21,0,0,222,476
24028,"Hochelaga/Hochelaga"," 97","Montréal",5,1,5,1,36,62,0,24,1,1,136,325
24028,"Hochelaga/Hochelaga"," 98","Montréal",11,0,7,1,43,97,0,34,0,5,198,445
