Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Massimo Anania,Mario Beaulieu,Jonathan Desclin,Jonas Fadeu,Agnès Falquet,Charles Phillippe Gervais,Genevieve Royer,Alexandre Vallerand,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 1","Montréal",12,109,9,48,0,1,0,16,6,201,367
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 2","Montréal",13,105,6,57,1,0,1,18,5,206,420
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 3","Montréal",6,96,5,38,2,0,1,11,3,162,327
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 4","Montréal",15,132,1,50,0,3,0,15,3,219,403
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 5","Montréal",16,90,5,48,1,1,0,21,1,183,335
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 6","Montréal",7,103,3,35,2,0,1,17,1,169,381
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 7","Montréal",8,103,4,45,1,0,0,11,16,188,403
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 8","Montréal",16,91,7,47,2,1,0,29,5,198,462
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 9","Montréal",8,60,10,38,2,0,1,17,4,140,347
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 10","Montréal",16,78,4,59,3,0,0,18,3,181,416
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 11","Montréal",14,54,5,47,3,0,0,16,5,144,371
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 12","Montréal",8,87,6,55,1,1,1,11,3,173,443
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 13","Montréal",17,74,10,60,5,1,0,30,6,203,466
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 14","Montréal",14,99,12,65,2,0,0,14,3,209,470
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 15","Montréal",13,93,10,71,3,0,0,13,3,206,417
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 16","Montréal",18,103,7,77,5,0,0,20,7,237,523
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 17","Montréal",13,84,10,41,1,1,0,23,2,175,352
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 18","Montréal",28,68,1,75,0,0,2,15,3,192,431
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 19","Montréal",12,81,2,39,1,1,2,12,2,152,358
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 20","Montréal",14,79,2,51,2,0,0,16,5,169,364
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 21","Montréal",7,49,2,31,0,0,0,13,2,104,260
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 22","Montréal",16,51,3,79,1,1,0,27,0,178,365
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 23","Montréal",7,75,3,52,2,1,0,12,1,153,402
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 24","Montréal",4,43,3,52,2,0,0,18,0,122,315
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 25","Montréal",15,70,3,78,3,1,0,29,8,207,424
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 26","Montréal",6,65,2,50,0,0,0,22,9,154,516
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 27","Montréal",11,80,3,34,4,0,0,15,2,149,423
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 28","Montréal",15,74,8,50,3,2,0,13,4,169,401
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 29","Montréal",7,66,4,33,0,1,0,14,5,130,355
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 30","Montréal",5,37,8,32,2,1,0,6,1,92,362
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 31","Montréal",8,53,2,16,1,2,0,6,1,89,347
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 32","Montréal",11,61,4,42,2,0,2,9,1,132,365
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 33","Montréal",13,55,2,44,0,1,2,5,4,126,367
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 34","Montréal",10,81,4,44,1,0,1,15,0,156,363
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 35","Montréal",10,66,4,54,2,0,1,12,0,149,430
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 36","Montréal",5,59,2,96,2,1,0,17,10,192,474
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 37","Montréal",4,63,7,64,5,0,1,15,3,162,419
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 38","Montréal",6,83,6,58,4,0,0,14,6,177,411
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 39","Montréal",7,51,9,47,1,1,0,6,2,124,381
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 40","Montréal",9,61,2,52,4,4,0,13,7,152,355
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 41","Montréal",10,76,1,62,2,0,1,11,3,166,390
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 42","Montréal",12,66,7,65,3,0,1,15,4,173,337
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 43","Montréal",5,67,10,48,5,0,0,21,5,161,381
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 44","Montréal",7,83,5,74,8,0,0,29,4,210,400
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 45","Montréal",11,62,4,25,0,1,2,7,3,115,298
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 46","Montréal",14,65,3,66,3,0,2,16,5,174,409
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 47","Montréal",5,54,7,54,2,0,1,21,1,145,343
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 48","Montréal",11,67,5,59,1,0,0,14,6,163,358
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 49","Montréal",19,85,5,93,5,0,0,37,3,247,373
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 50","Montréal",10,82,5,54,2,1,0,20,4,178,363
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 51","Montréal",12,86,3,37,0,1,0,9,0,148,336
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 52","Montréal",9,64,2,52,0,2,0,11,3,143,329
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 53","Montréal",13,65,5,42,2,0,1,27,3,158,391
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 54","Montréal",6,75,3,43,2,0,1,14,0,144,379
24033,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 55","Montréal",5,55,2,39,1,2,0,22,1,127,431
