Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthieu Couture,Fayçal El-Khoury,Guillaume Jolivet,Spyridonas Pettas,Ahmed Taleb,Rowan Woodmass,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24040,"Laval--Les Îles/Laval--Les Îles"," 1","Laval",8,43,47,16,2,13,0,129,343
24040,"Laval--Les Îles/Laval--Les Îles"," 2","Laval",7,51,55,22,2,17,2,156,415
24040,"Laval--Les Îles/Laval--Les Îles"," 3","Laval",3,90,26,19,0,18,2,158,405
24040,"Laval--Les Îles/Laval--Les Îles"," 4","Laval",14,103,43,30,5,22,4,221,417
24040,"Laval--Les Îles/Laval--Les Îles"," 5","Laval",8,105,60,42,3,23,5,246,563
24040,"Laval--Les Îles/Laval--Les Îles"," 6","Laval",6,85,16,25,4,11,3,150,387
24040,"Laval--Les Îles/Laval--Les Îles"," 7","Laval",7,93,51,24,1,20,1,197,506
24040,"Laval--Les Îles/Laval--Les Îles"," 8","Laval",15,44,75,14,3,8,8,167,579
24040,"Laval--Les Îles/Laval--Les Îles"," 9","Laval",13,147,37,37,4,20,4,262,528
24040,"Laval--Les Îles/Laval--Les Îles"," 10","Laval",16,169,29,49,4,20,1,288,551
24040,"Laval--Les Îles/Laval--Les Îles"," 11","Laval",4,59,47,21,2,18,0,151,320
24040,"Laval--Les Îles/Laval--Les Îles"," 12","Laval",3,111,43,22,9,18,7,213,470
24040,"Laval--Les Îles/Laval--Les Îles"," 13","Laval",5,83,51,38,2,15,3,197,445
24040,"Laval--Les Îles/Laval--Les Îles"," 14","Laval",8,119,30,33,5,16,2,213,497
24040,"Laval--Les Îles/Laval--Les Îles"," 15","Laval",9,41,45,17,5,9,3,129,363
24040,"Laval--Les Îles/Laval--Les Îles"," 16","Laval",5,97,49,19,2,26,1,199,432
24040,"Laval--Les Îles/Laval--Les Îles"," 17","Laval",9,61,51,20,6,8,6,161,415
24040,"Laval--Les Îles/Laval--Les Îles"," 18","Laval",10,96,31,14,2,20,2,175,492
24040,"Laval--Les Îles/Laval--Les Îles"," 19","Laval",10,75,18,29,0,20,1,153,515
24040,"Laval--Les Îles/Laval--Les Îles"," 20","Laval",8,104,8,27,1,15,1,164,394
24040,"Laval--Les Îles/Laval--Les Îles"," 21","Laval",11,124,6,44,2,11,4,202,544
