Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathalie Boisclair,Nancy Cardin,Pierre Chénier,Kalden Dhatsenpa,Isabelle Lalonde,Tiny Olinga,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 1","Longueuil",68,5,0,16,15,2,34,9,149,412
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 2","Longueuil",47,8,1,13,7,3,30,4,113,423
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 3","Longueuil",31,2,2,13,11,2,35,4,100,369
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 4","Longueuil",38,4,0,14,4,13,45,5,123,354
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 5","Longueuil",65,1,0,19,5,7,86,2,185,463
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 6","Longueuil",54,5,0,10,9,4,50,6,138,408
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 7","Longueuil",79,2,1,15,9,3,67,7,183,323
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 8","Longueuil",63,2,0,9,9,11,45,4,143,381
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 9","Longueuil",63,1,1,14,12,1,64,2,158,418
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 10","Longueuil",30,3,0,15,3,8,39,1,99,313
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 11","Longueuil",50,6,1,19,1,4,44,2,127,443
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 12","Longueuil",35,1,0,7,3,4,29,3,82,289
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 13","Longueuil",50,3,0,12,6,6,30,3,110,417
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 14","Longueuil",56,4,3,20,8,7,62,7,167,445
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 15","Longueuil",37,1,0,23,8,2,37,9,117,351
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 16","Longueuil",40,2,0,18,8,2,41,2,113,367
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 17","Longueuil",17,3,0,7,5,0,29,3,64,316
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 18","Longueuil",18,1,0,4,7,0,24,2,56,308
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 19","Longueuil",35,6,0,9,3,2,60,8,123,445
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 20","Longueuil",30,3,0,29,10,2,34,3,111,309
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 21","Longueuil",46,3,1,21,5,13,56,9,154,403
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 22","Longueuil",50,3,1,12,11,6,52,7,142,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 23","Longueuil",35,9,0,22,13,3,58,1,141,601
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 24","Longueuil",63,5,1,29,10,2,65,4,179,427
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 25","Longueuil",59,6,0,30,12,5,45,3,160,388
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 26","Longueuil",27,4,1,20,8,7,38,1,106,420
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 27","Longueuil",53,7,0,20,5,3,33,3,124,393
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 28","Longueuil",33,3,1,23,4,0,46,2,112,362
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 29","Longueuil",33,4,0,17,13,2,93,5,167,496
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 30","Longueuil",46,2,0,7,21,7,76,1,160,581
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 31","Longueuil",14,2,0,12,11,3,32,2,76,248
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 32","Longueuil",44,1,0,20,15,5,40,3,128,387
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 33","Longueuil",32,3,0,14,11,4,47,3,114,414
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 34","Longueuil",28,0,0,15,7,1,52,1,104,353
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 35","Longueuil",54,4,1,13,12,4,33,4,125,376
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 36","Longueuil",28,0,0,8,9,6,53,2,106,319
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 37","Longueuil",54,3,1,18,9,6,60,6,157,469
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 38","Longueuil",40,8,0,17,8,5,42,6,126,351
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 39","Longueuil",62,4,1,22,15,5,68,6,183,474
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 40A","Longueuil",28,1,0,6,4,3,26,2,70,308
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 40B","Longueuil",53,3,1,13,8,5,67,7,157,463
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 41","Longueuil",36,5,0,17,7,3,54,10,132,367
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 42","Longueuil",68,7,1,20,11,3,56,2,168,424
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 43","Longueuil",71,4,2,14,14,5,68,5,183,469
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 44","Longueuil",45,0,0,16,15,1,43,2,122,334
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 45","Longueuil",40,0,1,11,7,4,65,2,130,371
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 46","Longueuil",37,2,0,18,15,4,32,3,111,362
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 47","Longueuil",42,2,0,20,20,10,48,5,147,440
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 48","Longueuil",44,7,1,21,12,3,39,5,132,403
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 49","Longueuil",55,6,0,13,7,3,27,0,111,329
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 50","Longueuil",41,4,0,15,5,6,32,3,106,363
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 51","Longueuil",44,5,0,13,7,4,40,2,115,373
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 52","Longueuil",48,6,0,24,10,8,34,5,135,433
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 53","Longueuil",34,2,0,25,10,7,39,2,119,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 54","Longueuil",32,6,0,19,7,12,23,2,101,318
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 55","Longueuil",49,3,1,26,14,2,58,4,157,458
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 56","Longueuil",50,3,1,36,5,7,36,2,140,441
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 57","Longueuil",46,1,1,20,9,5,32,3,117,420
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 58","Longueuil",61,4,1,18,18,3,55,3,163,462
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 59","Longueuil",57,5,0,16,5,5,41,4,133,428
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 60","Longueuil",47,2,1,25,12,9,57,2,155,424
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 61","Longueuil",61,3,2,16,3,8,46,4,143,399
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 62","Longueuil",30,5,2,19,9,4,26,3,98,345
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 63","Longueuil",49,4,3,24,3,4,46,9,142,432
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 64","Longueuil",53,0,0,20,2,3,45,3,126,397
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 65","Longueuil",46,2,0,22,9,6,51,0,136,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 66","Longueuil",42,4,0,26,10,4,53,3,142,375
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 67","Longueuil",64,11,1,30,9,0,51,4,170,425
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 68","Longueuil",55,8,2,29,14,9,51,5,173,405
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 69","Longueuil",45,4,0,22,18,6,52,5,152,469
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 70","Longueuil",41,7,0,25,15,9,38,1,136,414
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 71","Longueuil",40,2,0,15,12,5,40,2,116,331
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 72","Longueuil",31,5,0,15,10,2,43,0,106,390
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 73","Longueuil",32,2,1,9,6,9,42,4,105,442
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 74","Longueuil",28,2,1,11,4,2,38,0,86,406
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 75","Longueuil",33,5,0,9,7,3,17,1,75,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 76","Longueuil",31,3,0,13,8,0,29,3,87,364
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 77","Longueuil",44,6,1,31,10,5,49,2,148,444
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 78","Longueuil",72,5,0,18,19,3,57,1,175,417
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 79","Longueuil",51,7,0,20,19,6,51,3,157,427
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 80","Longueuil",59,5,0,12,9,5,40,3,133,396
