Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thierry Bilodeau,Daniel Chicoine,Guillaume Côté,Gérard Deltell,Mélanie Fortin,Yu-Ti Eva Huang,Nathanielle Morin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 1","Québec",27,1,9,95,0,10,9,8,159,327
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 2","Wendake",17,2,8,68,6,10,41,5,157,425
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 3","Wendake",10,3,5,84,4,10,47,3,166,456
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 4","Wendake",20,0,3,64,2,16,38,3,146,432
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 5","Wendake",22,4,4,86,3,13,27,4,163,483
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 6","Québec",26,4,6,105,2,16,23,0,182,473
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 7","Québec",38,8,5,121,1,13,28,1,215,454
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 8","Québec",48,2,9,85,3,19,32,2,200,628
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 9","Québec",41,5,5,49,2,9,27,2,140,342
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 10","Québec",56,2,4,93,4,19,46,1,225,540
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 11","Québec",20,2,2,66,1,5,23,3,122,350
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 12","Québec",72,1,3,104,9,5,71,1,266,762
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 13","Québec",39,2,4,102,4,6,34,2,193,520
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 14","Québec",29,5,5,53,2,9,27,3,133,399
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 15","Québec",32,3,4,47,2,22,36,6,152,350
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 16","Québec",47,3,0,57,3,16,34,1,161,376
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 17","Québec",38,2,3,96,4,10,34,1,188,553
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 18","Québec",41,3,2,51,2,17,33,7,156,475
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 19","Québec",55,0,3,97,6,8,56,3,228,684
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 20","Québec",36,2,5,40,2,7,28,3,123,348
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 21","Québec",30,1,4,43,1,5,26,1,111,385
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 22","Québec",28,0,0,40,2,2,37,2,111,450
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 23","Québec",26,3,3,75,6,17,23,2,155,341
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 24","Québec",34,1,0,52,2,3,36,4,132,438
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 25","Québec",31,6,2,50,2,5,19,1,116,344
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 26","Québec",42,4,1,64,0,10,30,7,158,379
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 27","Québec",41,1,5,67,1,8,37,1,161,363
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 28","Québec",34,3,7,102,0,9,21,3,179,452
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 29","Québec",26,5,5,55,3,7,22,0,123,341
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 30","Québec",29,2,8,124,1,29,51,5,249,564
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 31","Québec",43,3,4,73,3,10,28,1,165,395
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 32","Québec",35,0,4,34,2,5,27,2,109,415
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 33","Québec",25,0,4,102,5,7,31,2,176,479
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 34","Québec",31,5,0,45,3,8,21,5,118,370
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 35A","Québec",24,5,4,40,0,9,21,1,104,232
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 35B","Québec",30,1,0,51,4,0,45,4,135,190
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 36","Québec",22,2,6,87,3,20,35,3,178,500
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 37","Québec",21,4,2,59,0,14,22,5,127,347
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 38","Québec",29,0,3,109,2,10,29,1,183,405
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 39","Québec",52,5,1,82,5,22,32,4,203,447
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 40","Québec",27,5,4,67,2,9,31,6,151,490
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 41","Québec",22,5,4,52,1,14,17,5,120,389
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 42","Québec",37,2,2,112,2,13,45,2,215,714
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 43","Québec",29,0,5,74,3,9,23,0,143,345
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 44","Québec",26,5,10,109,1,23,16,2,192,449
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 45","Québec",15,1,2,45,1,12,11,2,89,331
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 46","Québec",34,1,7,78,6,4,24,2,156,353
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 47","Québec",31,2,4,112,2,16,21,2,190,516
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 48","Québec",32,2,7,84,7,13,39,3,187,549
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 49","Québec",28,1,5,110,3,14,22,2,185,465
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 50","Québec",28,2,2,97,1,9,14,2,155,374
24045,"Louis-Saint-Laurent/Louis-Saint-Laurent"," 51","Québec",44,3,8,96,0,5,26,6,188,434
