Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Benoit Bourassa,Ariane Croteau,Jean-Denis Garon,Mario Guay,Catherine Lefebvre,François Loza,Christian Montpetit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Mirabel/Mirabel"," 1","Sainte-Anne-des-Plaines",9,10,93,6,43,58,15,1,235,553
24048,"Mirabel/Mirabel"," 2","Sainte-Anne-des-Plaines",8,2,106,6,27,49,5,4,207,435
24048,"Mirabel/Mirabel"," 3","Sainte-Anne-des-Plaines",14,3,105,3,29,41,19,16,230,538
24048,"Mirabel/Mirabel"," 4","Sainte-Anne-des-Plaines",18,4,80,5,26,22,6,5,166,414
24048,"Mirabel/Mirabel"," 5","Sainte-Anne-des-Plaines",10,7,58,4,13,37,7,10,146,315
24048,"Mirabel/Mirabel"," 6","Sainte-Anne-des-Plaines",13,1,66,3,13,27,7,3,133,418
24048,"Mirabel/Mirabel"," 7","Sainte-Anne-des-Plaines",16,2,99,7,11,42,5,2,184,405
24048,"Mirabel/Mirabel"," 8","Sainte-Anne-des-Plaines",6,4,48,2,18,33,5,3,119,300
24048,"Mirabel/Mirabel"," 9","Sainte-Anne-des-Plaines",16,4,84,2,22,38,8,13,187,383
24048,"Mirabel/Mirabel"," 10","Sainte-Anne-des-Plaines",15,5,66,4,22,17,10,5,144,399
24048,"Mirabel/Mirabel"," 11","Sainte-Anne-des-Plaines",12,3,73,2,14,27,5,9,145,345
24048,"Mirabel/Mirabel"," 12","Sainte-Anne-des-Plaines",19,3,73,7,29,40,9,3,183,430
24048,"Mirabel/Mirabel"," 13","Sainte-Anne-des-Plaines",25,2,95,5,21,44,4,6,202,374
24048,"Mirabel/Mirabel"," 14","Sainte-Anne-des-Plaines",20,4,100,3,37,50,2,14,230,431
24048,"Mirabel/Mirabel"," 15","Sainte-Anne-des-Plaines",22,2,114,4,26,44,10,3,225,463
24048,"Mirabel/Mirabel"," 16","Sainte-Anne-des-Plaines",15,2,99,1,18,42,10,3,190,383
24048,"Mirabel/Mirabel"," 17","Sainte-Anne-des-Plaines",16,4,88,5,24,26,6,2,171,501
24048,"Mirabel/Mirabel"," 18","Sainte-Anne-des-Plaines",4,5,66,7,14,23,6,5,130,354
24048,"Mirabel/Mirabel"," 19","Sainte-Anne-des-Plaines",11,1,45,5,17,24,4,9,116,349
24048,"Mirabel/Mirabel"," 20","Sainte-Anne-des-Plaines",15,2,68,2,22,27,10,3,149,358
24048,"Mirabel/Mirabel"," 21","Sainte-Anne-des-Plaines",18,6,105,6,19,56,12,4,226,497
24048,"Mirabel/Mirabel"," 22","Sainte-Anne-des-Plaines",8,2,96,4,20,40,3,9,182,399
24048,"Mirabel/Mirabel"," 23","Sainte-Anne-des-Plaines",13,3,82,6,31,25,12,4,176,473
24048,"Mirabel/Mirabel"," 24","Sainte-Anne-des-Plaines",10,1,64,1,14,29,5,4,128,397
24048,"Mirabel/Mirabel"," 25","Sainte-Anne-des-Plaines",11,2,43,3,14,41,3,2,119,413
24048,"Mirabel/Mirabel"," 26","Sainte-Anne-des-Plaines",10,6,87,6,17,47,12,4,189,391
24048,"Mirabel/Mirabel"," 27","Mirabel",15,6,76,8,18,32,3,2,160,456
24048,"Mirabel/Mirabel"," 28","Mirabel",4,4,94,4,32,25,11,4,178,410
24048,"Mirabel/Mirabel"," 29","Mirabel",10,0,68,0,20,23,6,6,133,373
24048,"Mirabel/Mirabel"," 30","Mirabel",22,6,102,12,35,74,8,6,265,569
24048,"Mirabel/Mirabel"," 31","Mirabel",10,1,47,3,10,26,4,3,104,221
24048,"Mirabel/Mirabel"," 32","Mirabel",17,2,79,4,22,27,6,3,160,394
24048,"Mirabel/Mirabel"," 33","Mirabel",22,0,113,2,27,43,10,9,226,488
24048,"Mirabel/Mirabel"," 34","Mirabel",16,5,52,4,22,25,7,4,135,354
