Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bruno Beaudry,Robert Bellerose,Gisèle Desroches,Oulai B. Goué,Mathieu Goyette,Javeria Qureshi,Luc Thériault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24050,"Montcalm/Montcalm"," 1","Saint-Liguori",4,7,18,10,3,19,69,0,130,345
24050,"Montcalm/Montcalm"," 2","Saint-Liguori",8,3,25,13,5,31,108,7,200,428
24050,"Montcalm/Montcalm"," 3","Saint-Liguori",7,12,19,8,8,36,149,4,243,464
24050,"Montcalm/Montcalm"," 4","Saint-Liguori",11,2,27,7,5,20,117,6,195,373
24050,"Montcalm/Montcalm"," 5","Sainte-Julienne",7,3,11,6,3,12,50,0,92,403
24050,"Montcalm/Montcalm"," 6","Sainte-Julienne",14,2,8,12,3,35,88,3,165,439
24050,"Montcalm/Montcalm"," 7","Sainte-Julienne",6,3,5,7,3,26,35,1,86,282
24050,"Montcalm/Montcalm"," 8","Sainte-Julienne",11,2,19,7,4,42,80,3,168,515
24050,"Montcalm/Montcalm"," 9","Sainte-Julienne",6,4,6,7,1,16,31,1,72,286
24050,"Montcalm/Montcalm"," 10","Sainte-Julienne",17,2,23,13,6,27,93,2,183,508
24050,"Montcalm/Montcalm"," 11","Sainte-Julienne",11,4,18,5,3,27,71,10,149,409
24050,"Montcalm/Montcalm"," 12","Sainte-Julienne",10,7,17,9,6,15,71,2,137,432
24050,"Montcalm/Montcalm"," 13","Saint-Jacques",7,0,21,9,3,23,53,4,120,408
24050,"Montcalm/Montcalm"," 14","Saint-Jacques",10,0,13,8,5,18,78,0,132,331
24050,"Montcalm/Montcalm"," 15","Saint-Alexis",7,4,12,23,12,14,94,5,171,442
24050,"Montcalm/Montcalm"," 16","Saint-Alexis",7,4,20,5,1,21,80,1,139,286
24050,"Montcalm/Montcalm"," 17","Saint-Alexis",1,1,10,9,2,16,64,2,105,282
24050,"Montcalm/Montcalm"," 18","Sainte-Julienne",3,5,15,13,6,19,77,0,138,359
24050,"Montcalm/Montcalm"," 19","Sainte-Julienne",16,4,25,24,7,24,104,7,211,532
24050,"Montcalm/Montcalm"," 20","Sainte-Julienne",8,0,15,9,2,19,76,5,134,443
24050,"Montcalm/Montcalm"," 21","Sainte-Julienne",3,3,6,6,2,14,31,5,70,287
24050,"Montcalm/Montcalm"," 22","Sainte-Marie-Salomé",6,3,9,7,4,16,101,5,151,262
24050,"Montcalm/Montcalm"," 23","Sainte-Marie-Salomé",5,3,13,11,5,24,110,14,185,325
24050,"Montcalm/Montcalm"," 24","Sainte-Marie-Salomé",6,4,21,4,8,34,118,9,204,398
24050,"Montcalm/Montcalm"," 25","Saint-Jacques",12,2,18,27,6,36,118,6,225,539
24050,"Montcalm/Montcalm"," 26","Saint-Jacques",3,3,10,5,2,25,58,1,107,315
24050,"Montcalm/Montcalm"," 27","Saint-Jacques",5,3,15,4,4,31,80,6,148,410
24050,"Montcalm/Montcalm"," 28","Saint-Jacques",4,0,3,7,4,13,69,1,101,302
24050,"Montcalm/Montcalm"," 29","Saint-Jacques",6,6,19,4,6,20,64,4,129,315
24050,"Montcalm/Montcalm"," 30","Saint-Jacques",12,2,13,12,3,18,74,1,135,387
24050,"Montcalm/Montcalm"," 31","Saint-Jacques",5,2,16,12,6,9,78,1,129,326
24050,"Montcalm/Montcalm"," 32","Saint-Jacques",5,3,8,8,6,16,58,2,106,278
24050,"Montcalm/Montcalm"," 33","Sainte-Julienne",5,3,5,10,6,14,34,8,85,342
24050,"Montcalm/Montcalm"," 34","Sainte-Julienne",8,1,31,9,6,31,101,0,187,511
24050,"Montcalm/Montcalm"," 35","Sainte-Julienne",9,2,8,11,2,19,40,5,96,385
24050,"Montcalm/Montcalm"," 36","Sainte-Julienne",5,4,13,13,3,14,52,4,108,377
24050,"Montcalm/Montcalm"," 37","Sainte-Julienne",8,4,14,7,6,17,63,2,121,392
24050,"Montcalm/Montcalm"," 38","Sainte-Julienne",12,11,25,15,6,34,89,7,199,672
24050,"Montcalm/Montcalm"," 39","Sainte-Julienne",9,2,22,0,6,19,62,9,129,363
24050,"Montcalm/Montcalm"," 40","Sainte-Julienne",7,3,12,5,11,78,4,3,123,358
24050,"Montcalm/Montcalm"," 41","Sainte-Julienne",7,2,7,12,4,17,47,9,105,327
24050,"Montcalm/Montcalm"," 42","Sainte-Julienne",10,2,21,18,2,32,94,9,188,550
24050,"Montcalm/Montcalm"," 43","Saint-Calixte",4,0,8,6,4,11,37,2,72,417
24050,"Montcalm/Montcalm"," 44","Saint-Calixte",7,4,15,8,1,21,68,5,129,487
24050,"Montcalm/Montcalm"," 45","Saint-Calixte",11,9,16,12,5,18,65,7,143,520
24050,"Montcalm/Montcalm"," 46","Saint-Calixte",15,5,16,15,4,23,55,7,140,456
