Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jordan Craig Larouche,Emma Elbourne-Weinstock,Sam Fairbrother,David Freiheit,Marc Garneau,Rachel Hoffman,Mathew Kaminski,Geofryde Wandji,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 1","Montréal",7,20,3,4,54,0,20,0,2,110,301
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 2","Montréal",6,11,6,4,53,2,15,0,0,97,315
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 3","Montréal",2,7,5,2,54,0,19,0,2,91,291
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 4","Montréal",7,35,4,4,60,0,15,0,2,127,343
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 5","Montréal",5,14,7,3,73,1,46,0,1,150,440
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 6","Montréal",1,11,1,2,60,0,21,0,0,96,331
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 7","Montréal",5,12,5,2,53,0,12,0,0,89,374
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 8","Westmount",8,8,9,4,60,1,28,0,1,119,352
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 9","Westmount",1,12,5,2,44,0,30,1,0,95,421
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 10","Westmount",10,10,3,6,46,0,41,0,2,118,360
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 11","Westmount",0,5,1,3,31,0,55,0,0,95,408
