Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sophie Chatel,Gabrielle Desjardins,Michel Gauthier,Denise Giroux,David Bruce Gottfred,Geneviève Labonté-Chartrand,Shaughn McArthur,James McNair,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 1","Lac-Rapide",Results combined with no. 2/Résultats combinés au n° 2,,,,,,,,,,193
24057,"Pontiac/Pontiac"," 2","Grand-Remous",41,47,34,3,8,2,6,0,7,148,340
24057,"Pontiac/Pontiac"," 3","Grand-Remous",Merged with No./Fusionné avec le n°2,,,,,,,,,,284
24057,"Pontiac/Pontiac"," 4","Grand-Remous",29,41,21,4,2,4,1,1,2,105,373
24057,"Pontiac/Pontiac"," 5","Bois-Franc",22,44,69,13,6,0,1,0,5,160,354
24057,"Pontiac/Pontiac"," 6","Aumond",Merged with No./Fusionné avec le n°7,,,,,,,,,,324
24057,"Pontiac/Pontiac"," 7","Aumond",83,65,65,20,7,2,4,2,3,251,328
24057,"Pontiac/Pontiac"," 8","Lytton",Merged with No./Fusionné avec le n°9,,,,,,,,,,205
24057,"Pontiac/Pontiac"," 9","Montcerf",59,79,59,7,6,3,5,0,8,226,383
24057,"Pontiac/Pontiac"," 10","Déléage",27,20,29,2,2,1,1,0,0,82,314
24057,"Pontiac/Pontiac"," 11","Maniwaki",40,52,33,10,5,3,2,0,2,147,316
24057,"Pontiac/Pontiac"," 12","Maniwaki",Merged with No./Fusionné avec le n°11,,,,,,,,,,295
24057,"Pontiac/Pontiac"," 13","Maniwaki",29,20,33,9,2,3,3,0,3,102,318
24057,"Pontiac/Pontiac"," 14","Maniwaki",Merged with No./Fusionné avec le n°15,,,,,,,,,,252
24057,"Pontiac/Pontiac"," 15","Déléage",29,44,38,6,5,2,2,1,2,129,285
24057,"Pontiac/Pontiac"," 16","Maniwaki",Merged with No./Fusionné avec le n°17,,,,,,,,,,272
24057,"Pontiac/Pontiac"," 17","Maniwaki",40,23,28,9,5,0,5,0,2,112,274
24057,"Pontiac/Pontiac"," 18","Maniwaki",26,20,17,3,1,2,2,0,1,72,300
24057,"Pontiac/Pontiac"," 19","Déléage",18,28,20,6,4,0,2,0,4,82,368
24057,"Pontiac/Pontiac"," 20","Egan-Sud",32,47,67,6,5,0,2,0,1,160,402
24057,"Pontiac/Pontiac"," 21","Déléage",18,15,32,1,3,3,1,0,0,73,343
24057,"Pontiac/Pontiac"," 22","Déléage",24,24,25,2,1,0,0,0,5,81,296
24057,"Pontiac/Pontiac"," 23","Kitigan Zibi",Merged with No./Fusionné avec le n°28,,,,,,,,,,151
24057,"Pontiac/Pontiac"," 24","Maniwaki",40,51,52,8,4,2,6,2,4,169,291
24057,"Pontiac/Pontiac"," 25","Maniwaki",Merged with No./Fusionné avec le n°24,,,,,,,,,,293
24057,"Pontiac/Pontiac"," 26","Maniwaki",38,53,59,6,4,3,7,1,6,177,304
24057,"Pontiac/Pontiac"," 27","Maniwaki",Merged with No./Fusionné avec le n°26,,,,,,,,,,274
24057,"Pontiac/Pontiac"," 28","Kitigan Zibi",8,0,1,19,2,1,0,0,0,31,322
24057,"Pontiac/Pontiac"," 29","Kitigan Zibi",17,1,0,15,2,2,0,0,0,37,437
24057,"Pontiac/Pontiac"," 30","Rapides-des-Joachims",8,2,11,4,3,0,3,0,0,31,113
24057,"Pontiac/Pontiac"," 31","Sainte-Thérèse-de-la-Gatineau",66,60,62,12,9,0,5,0,4,218,436
24057,"Pontiac/Pontiac"," 32","Cayamant",56,41,18,2,8,2,3,0,0,130,337
24057,"Pontiac/Pontiac"," 33","Cayamant",55,36,17,1,7,5,1,0,4,126,375
24057,"Pontiac/Pontiac"," 34","Messines",22,52,35,4,2,0,3,0,0,118,359
24057,"Pontiac/Pontiac"," 35","Messines",28,20,37,6,4,1,0,0,0,96,321
24057,"Pontiac/Pontiac"," 36","Messines",21,37,24,3,5,1,1,0,1,93,357
24057,"Pontiac/Pontiac"," 37","Messines",36,31,28,6,6,0,2,0,2,111,374
24057,"Pontiac/Pontiac"," 38","Bouchette",Merged with No./Fusionné avec le n°39,,,,,,,,,,258
24057,"Pontiac/Pontiac"," 39","Bouchette",78,93,51,12,3,2,3,0,7,249,301
24057,"Pontiac/Pontiac"," 40","Blue Sea",62,46,33,15,2,0,1,0,4,163,361
24057,"Pontiac/Pontiac"," 41","Blue Sea",44,33,25,7,3,1,0,0,1,114,259
24057,"Pontiac/Pontiac"," 42","Gracefield",Merged with No./Fusionné avec le n°43,,,,,,,,,,278
24057,"Pontiac/Pontiac"," 43","Gracefield",59,39,31,7,9,4,2,0,2,153,317
24057,"Pontiac/Pontiac"," 44","Gracefield",Merged with No./Fusionné avec le n°46,,,,,,,,,,243
24057,"Pontiac/Pontiac"," 45","Gracefield",19,22,25,5,7,0,4,1,0,83,340
24057,"Pontiac/Pontiac"," 46","Gracefield",59,32,38,9,10,0,4,1,0,153,302
24057,"Pontiac/Pontiac"," 47","Gracefield",50,15,21,6,3,1,3,0,7,106,289
24057,"Pontiac/Pontiac"," 48","Gracefield",Merged with No./Fusionné avec le n°47,,,,,,,,,,263
24057,"Pontiac/Pontiac"," 49","Waltham",64,3,53,23,12,1,4,0,0,160,300
24057,"Pontiac/Pontiac"," 50","Lac-Sainte-Marie",105,46,68,11,14,2,3,1,3,253,521
24057,"Pontiac/Pontiac"," 51","Kazabazua",54,30,43,14,12,2,3,0,2,160,394
24057,"Pontiac/Pontiac"," 52","Kazabazua",50,20,72,20,7,0,8,0,1,178,413
