Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Valérie Beauséjour,Julius Bute,Luc Desilets,Michael Dionne,Marc Duffy-Vincelette,Joseph Hakizimana,Linda Lapointe,Hans Roker Jr,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 1","Rosemère",2,0,32,0,26,9,78,3,4,1,155,410
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 2","Rosemère",5,0,35,0,44,11,81,1,2,3,182,442
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 3","Rosemère",1,0,36,0,30,15,68,7,0,0,157,407
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 4","Rosemère",4,0,56,0,34,11,97,3,4,4,213,462
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 5","Rosemère",3,0,55,0,20,14,60,4,7,1,164,448
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 6","Rosemère",2,1,55,0,11,14,36,7,5,2,133,507
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 7","Rosemère",4,0,47,0,31,23,69,0,9,0,183,447
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 8","Rosemère",1,0,62,0,19,18,58,4,3,1,166,411
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 9","Rosemère",4,0,32,0,21,6,91,2,2,3,161,437
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 10","Rosemère",2,0,49,0,10,19,52,2,9,1,144,367
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 11","Rosemère",0,0,51,0,19,11,59,0,4,0,144,395
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 12","Rosemère",8,0,62,0,23,11,105,18,6,2,235,538
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 13","Rosemère",4,0,41,0,12,8,68,5,3,0,141,311
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 14","Rosemère",0,0,76,0,15,13,60,2,4,2,172,408
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 15","Rosemère",9,1,41,0,16,11,52,5,6,6,147,417
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 16","Rosemère",1,0,47,0,13,17,53,9,4,2,146,342
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 17","Rosemère",2,0,87,0,17,11,56,1,4,4,182,450
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 18","Rosemère",0,0,48,0,15,17,61,8,1,2,152,359
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 19","Rosemère",0,0,65,0,16,28,47,1,5,0,162,360
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 20","Rosemère",0,0,55,0,11,20,60,3,6,2,157,363
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 21","Rosemère",2,0,62,0,18,14,84,2,4,2,188,391
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 22","Rosemère",5,0,69,0,16,20,78,2,8,2,200,409
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 23","Rosemère",3,1,71,0,14,7,88,5,7,5,201,475
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 24","Rosemère",1,0,57,0,19,19,82,3,5,2,188,461
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 25","Rosemère",1,0,52,0,14,10,56,4,4,1,142,334
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 26","Rosemère",2,0,40,0,28,24,77,5,1,2,179,409
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 27","Rosemère",2,0,40,0,29,9,66,6,2,4,158,372
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 28","Boisbriand",4,0,68,1,19,14,50,6,3,5,170,403
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 29","Boisbriand",2,1,70,0,13,20,56,7,1,5,175,447
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 30","Boisbriand",3,0,80,0,11,22,45,0,3,3,167,465
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 31","Boisbriand",7,1,47,1,13,8,82,6,6,4,175,418
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 32","Boisbriand",3,0,61,1,12,11,54,2,3,3,150,399
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 33","Boisbriand",3,0,63,0,12,15,80,3,3,8,187,412
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 34","Boisbriand",1,0,31,0,13,8,58,2,4,0,117,388
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 35","Boisbriand",1,0,54,0,9,14,46,3,5,4,136,383
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 36","Boisbriand",7,0,90,0,22,23,87,6,8,4,247,756
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 37","Boisbriand",2,1,27,0,16,8,38,1,1,0,94,385
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 38","Boisbriand",1,0,64,0,14,6,33,11,2,0,131,423
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 39","Boisbriand",2,0,42,0,13,9,36,4,1,0,107,451
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 40","Boisbriand",5,0,65,1,17,26,37,5,2,0,158,386
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 41","Boisbriand",4,1,52,0,11,11,36,4,1,0,120,389
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 42","Boisbriand",3,1,57,0,11,22,45,5,4,1,149,424
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 43","Boisbriand",3,1,46,0,9,11,48,2,2,0,122,390
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 44","Boisbriand",1,0,48,1,12,9,33,7,1,1,113,397
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 45","Boisbriand",0,1,57,0,12,18,29,5,10,4,136,296
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 46","Boisbriand",2,3,57,2,11,24,44,11,2,3,159,414
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 47","Boisbriand",2,1,62,0,18,17,36,12,6,3,157,363
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 48","Boisbriand",3,1,19,0,12,14,28,5,1,8,91,381
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 49","Boisbriand",1,0,74,0,19,10,49,8,2,0,163,343
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 50","Boisbriand",4,0,47,1,21,18,59,7,2,1,160,384
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 51","Boisbriand",2,0,62,0,19,13,67,2,1,2,168,478
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 52","Boisbriand",2,0,69,0,26,14,76,4,1,2,194,510
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 53","Boisbriand",0,0,59,0,19,11,34,6,1,1,131,375
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 54","Boisbriand",1,0,62,0,17,14,38,4,1,2,139,420
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 55","Boisbriand",1,1,58,1,11,25,41,3,0,2,143,390
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 56","Boisbriand",1,0,48,0,14,12,54,8,0,3,140,419
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 57","Boisbriand",3,0,46,0,18,16,53,2,3,2,143,476
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 58","Boisbriand",2,0,56,0,14,10,40,4,2,3,131,375
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 59","Boisbriand",2,0,69,1,28,13,70,4,3,5,195,500
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 60","Boisbriand",2,0,60,0,18,18,64,6,6,2,176,473
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 61","Boisbriand",3,0,48,0,12,12,58,4,2,7,146,417
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 62","Boisbriand",2,0,62,0,7,9,66,1,6,4,157,368
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 63","Boisbriand",0,0,53,0,21,16,36,3,3,1,133,382
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 64","Boisbriand",2,1,53,0,6,7,47,1,8,2,127,404
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 65","Boisbriand",3,0,64,0,13,14,66,4,4,0,168,417
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 66","Boisbriand",1,0,60,0,20,11,50,11,5,0,158,477
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 67","Boisbriand",0,1,5,0,6,1,17,8,0,1,39,226
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 68","Boisbriand",5,3,10,2,22,1,57,13,2,1,116,512
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 69","Boisbriand",1,1,4,2,3,0,33,7,0,1,52,395
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 70","Boisbriand",6,0,47,0,20,16,44,7,8,2,150,417
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 71","Boisbriand",3,0,46,0,19,6,36,1,1,0,112,360
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 72","Boisbriand",1,0,69,0,19,3,33,3,3,0,131,370
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 73","Boisbriand",3,0,69,0,21,20,55,5,1,3,177,452
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 74","Boisbriand",1,0,32,0,10,5,42,3,4,1,98,334
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 75","Boisbriand",1,0,62,0,18,23,71,10,2,3,190,448
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 76","Boisbriand",0,0,54,1,21,12,54,4,1,4,151,395
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 77","Boisbriand",2,0,66,0,24,18,56,16,3,4,189,453
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 78","Boisbriand",2,1,58,2,11,11,64,5,0,5,159,485
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 79","Saint-Eustache",5,1,70,1,22,5,58,2,4,1,169,426
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 80","Saint-Eustache",1,0,51,1,13,6,40,4,5,4,125,362
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 81","Saint-Eustache",2,0,69,0,19,18,39,6,3,3,159,382
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 82","Saint-Eustache",6,0,75,0,21,22,52,4,1,4,185,412
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 83","Saint-Eustache",4,0,57,1,20,10,55,11,3,2,163,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 84","Saint-Eustache",3,1,106,2,12,16,49,7,6,9,211,440
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 85","Saint-Eustache",3,3,95,1,24,12,54,8,1,2,203,421
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 86","Saint-Eustache",2,0,82,0,21,10,59,12,3,1,190,431
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 87","Saint-Eustache",4,0,81,1,24,14,78,4,4,4,214,411
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 88","Saint-Eustache",2,1,66,0,20,14,56,1,5,4,169,467
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 89","Saint-Eustache",2,1,72,0,17,23,38,8,6,6,173,445
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 90","Saint-Eustache",2,0,62,0,10,7,38,6,2,5,132,398
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 91","Saint-Eustache",7,1,56,1,13,12,41,7,3,3,144,380
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 92","Saint-Eustache",1,0,48,0,11,8,56,4,4,4,136,353
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 93","Saint-Eustache",4,0,64,0,4,5,31,4,1,1,114,400
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 94","Saint-Eustache",2,0,50,0,12,10,37,9,0,2,122,422
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 95","Saint-Eustache",1,0,51,0,23,10,39,4,5,4,137,407
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 96","Saint-Eustache",3,0,70,0,19,8,41,7,9,1,158,406
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 97A","Saint-Eustache",4,0,65,0,23,10,37,7,6,9,161,591
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 97B","Mobile poll/Bureau itinérant",0,0,0,0,1,0,1,0,0,5,7,14
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 98","Saint-Eustache",2,0,88,2,14,15,49,4,1,4,179,343
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 99","Saint-Eustache",3,0,60,2,23,16,43,5,3,3,158,346
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 100","Saint-Eustache",3,0,112,0,21,27,64,2,6,4,239,443
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 101","Saint-Eustache",2,0,58,0,12,18,100,5,6,1,202,407
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 102","Saint-Eustache",1,0,56,0,15,16,42,3,0,2,135,333
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 103","Saint-Eustache",3,0,73,0,15,20,39,4,3,5,162,378
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 104","Saint-Eustache",6,1,83,1,25,16,57,1,2,2,194,406
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 105","Saint-Eustache",2,0,90,2,13,15,70,1,0,4,197,403
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 106","Saint-Eustache",3,0,91,1,18,14,59,1,2,4,193,389
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 107","Saint-Eustache",1,1,50,2,13,11,52,2,1,2,135,352
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 108","Saint-Eustache",2,0,98,0,17,5,39,4,1,1,167,355
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 109","Saint-Eustache",2,0,66,0,17,9,29,6,8,3,140,372
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 110","Saint-Eustache",0,0,45,0,3,11,27,3,4,3,96,397
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 111","Saint-Eustache",2,0,34,0,12,10,42,2,1,0,103,386
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 112","Saint-Eustache",0,0,54,0,17,9,33,1,2,4,120,407
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 113","Saint-Eustache",2,0,68,0,23,11,38,6,2,6,156,412
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 114","Saint-Eustache",1,0,43,0,10,5,43,0,3,5,110,345
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 115","Saint-Eustache",4,0,61,0,13,10,49,2,4,3,146,410
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 116","Saint-Eustache",2,0,69,0,13,5,48,3,4,3,147,586
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 117","Saint-Eustache",0,0,71,3,17,16,44,6,0,8,165,367
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 118","Saint-Eustache",4,1,74,1,15,2,38,9,17,6,167,386
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 119","Saint-Eustache",0,0,75,0,16,17,54,3,3,5,173,399
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 120","Saint-Eustache",7,0,55,0,10,18,53,4,8,0,155,422
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 121","Saint-Eustache",2,0,52,2,21,25,44,3,4,3,156,334
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 122","Saint-Eustache",1,0,88,2,25,6,31,4,4,1,162,409
