Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Caroline-Joan Boucher,Sébastien Desautels,André Lepage,Sylvain Pariseau,Brigitte Sansoucy,Simon-Pierre Savard-Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 1","Saint-Marcel-de-Richelieu",49,9,38,11,16,97,9,229,406
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 2","Saint-Louis",30,2,29,6,16,95,9,187,353
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 3","Saint-Louis",13,2,17,8,8,58,0,106,253
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 4","Saint-Hugues",38,7,31,7,34,88,10,215,339
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 5","Saint-Hugues",49,11,23,8,26,90,2,209,299
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 6","Saint-Hugues",35,9,30,11,31,130,6,252,376
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 7","Saint-Nazaire-d'Acton",33,1,38,9,25,67,4,177,317
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 8","Saint-Nazaire-d'Acton",39,6,37,11,25,88,8,214,370
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 9","Saint-Bernard-de-Michaudville",41,2,17,7,9,84,5,165,255
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 10","Saint-Bernard-de-Michaudville",25,1,11,3,4,70,2,116,223
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 11","Sainte-Hélène-de-Bagot",28,3,28,6,11,57,7,140,326
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 12","Sainte-Hélène-de-Bagot",23,4,23,15,18,74,11,168,409
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 13","Sainte-Hélène-de-Bagot",20,2,8,3,14,50,3,100,220
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 14","Sainte-Hélène-de-Bagot",16,3,24,2,12,79,6,142,348
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 15","Saint-Théodore-d'Acton",32,3,28,10,17,82,3,175,290
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 16","Saint-Théodore-d'Acton",28,1,35,7,9,86,3,169,346
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 17","Saint-Théodore-d'Acton",29,2,35,5,24,105,6,206,338
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 18","Saint-Théodore-d'Acton",24,2,17,8,14,82,4,151,251
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot"," 19","Saint-Jude",17,1,20,5,12,58,9,122,287
